出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","4","1240","茂生農經","909639.00","678233.00","1587872.00","625142.00","43040.00","668182.00","300580.00","13794.00","249767.00","355549.00","0.00","--","0.00","--","--","919690.00","--","0.00","0.00","30.60"
"114/11/30","106","4","1259","安心","2388168.00","565671.00","2953839.00","1136696.00","36210.00","1172906.00","323895.00","809816.00","617583.00","-4897.00","-10123.00","1736274.00","--","--","44659.00","1780933.00","0.00","0.00","117000.00","53.80"
"114/11/30","106","4","1264","德麥","2198802.00","889899.00","3088701.00","450033.00","60275.00","510308.00","336960.00","706936.00","1173943.00","-31299.00","--","2186540.00","--","--","391853.00","2578393.00","0.00","0.00","0.00","64.89"
"114/11/30","106","4","1268","漢來美食","2047324.00","1165884.00","3213208.00","1215225.00","90900.00","1306125.00","379910.00","999409.00","464873.00","62891.00","--","1907083.00","--","--","--","1907083.00","--","0.00","0.00","50.20"
"114/11/30","106","4","1336","台翰","1179120.00","1242492.00","2421612.00","752559.00","69362.00","821921.00","831934.00","804865.00","19846.00","-56954.00","--","1599691.00","--","--","--","1599691.00","--","0.00","0.00","19.23"
"114/11/30","106","4","1565","精華","4642709.00","3960237.00","8602946.00","2175802.00","1035455.00","3211257.00","504165.00","526000.00","4362760.00","-1236.00","--","5391689.00","--","--","--","5391689.00","0.00","0.00","0.00","106.94"
"114/11/30","106","4","1569","濱川","3090063.00","2737475.00","5827538.00","2665153.00","754064.00","3419217.00","1027133.00","790669.00","599434.00","-111344.00","--","2305892.00","--","--","102429.00","2408321.00","0.00","589283.00","0.00","22.45"
"114/11/30","106","4","1570","力肯","651732.00","246612.00","898344.00","193470.00","10987.00","204457.00","515008.00","--","180679.00","-1800.00","--","693887.00","--","--","0.00","693887.00","0.00","0.00","0.00","13.47"
"114/11/30","106","4","1580","新麥","2426043.00","878888.00","3304931.00","1055361.00","204918.00","1260279.00","485316.00","74943.00","1512331.00","-84646.00","--","1987944.00","--","--","56708.00","2044652.00","0.00","0.00","0.00","40.96"
"114/11/30","106","4","1584","精剛","871420.00","1494513.00","2365933.00","684184.00","677470.00","1361654.00","824705.00","286822.00","-77992.00","-72683.00","--","960852.00","--","--","43427.00","1004279.00","--","0.00","0.00","11.65"
"114/11/30","106","4","1586","和勤","1865618.00","1107394.00","2973012.00","1335551.00","140606.00","1476157.00","757315.00","512309.00","287381.00","-60150.00","0.00","1496855.00","--","--","--","1496855.00","--","0.00","0.00","20.50"
"114/11/30","106","4","1591","駿吉-KY","268876.00","357110.00","625986.00","240962.00","16127.00","257089.00","331648.00","22159.00","144439.00","-129349.00","--","368897.00","--","--","0.00","368897.00","0.00","0.00","0.00","11.12"
"114/11/30","106","4","1593","祺驊","720793.00","332101.00","1052894.00","239486.00","7807.00","247293.00","304320.00","263239.00","271194.00","-38964.00","0.00","799789.00","--","--","5812.00","805601.00","0.00","0.00","0.00","26.28"
"114/11/30","106","4","1595","川寶","2695462.00","1181480.00","3876942.00","1052744.00","436745.00","1489489.00","466218.00","515474.00","1413913.00","-8152.00","--","2387453.00","--","--","--","2387453.00","--","0.00","0.00","51.21"
"114/11/30","106","4","1599","宏佳騰","1312607.00","775854.00","2088461.00","638000.00","28476.00","666476.00","620025.00","487161.00","410884.00","-41605.00","-54480.00","1421985.00","--","--","--","1421985.00","0.00","0.00","1205000.00","23.39"
"114/11/30","106","4","1742","台蠟","452053.00","407657.00","859710.00","235185.00","52143.00","287328.00","463000.00","4530.00","98151.00","6701.00","--","572382.00","--","--","0.00","572382.00","0.00","0.00","0.00","12.36"
"114/11/30","106","4","1777","生泰","852925.00","702930.00","1555855.00","516415.00","43205.00","559620.00","300595.00","314322.00","381980.00","-662.00","--","--","--","--","--","996235.00","0.00","0.00","0.00","33.14"
"114/11/30","106","4","1781","合世","330266.00","243331.00","573597.00","179335.00","1222.00","180557.00","474076.00","0.00","-76978.00","-4058.00","--","393040.00","--","--","--","393040.00","--","0.00","0.00","8.29"
"114/11/30","106","4","1784","訊聯","805874.00","1019074.00","1824948.00","164894.00","288438.00","453332.00","496889.00","623541.00","5160.00","-6272.00","-1797.00","1117521.00","--","--","254095.00","1371616.00","0.00","0.00","62000.00","22.52"
"114/11/30","106","4","1785","光洋科","10254394.00","8800832.00","19055226.00","6616864.00","7854150.00","14471014.00","3985012.00","611790.00","100574.00","-54991.00","-222557.00","4419828.00","--","--","164384.00","4584212.00","0.00","0.00","8938146.00","11.35"
"114/11/30","106","4","1788","杏昌","1977950.00","635402.00","2613352.00","975740.00","12538.00","988278.00","350000.00","658219.00","621437.00","-4582.00","--","1625074.00","--","--","0.00","1625074.00","0.00","0.00","0.00","46.43"
"114/11/30","106","4","1796","金穎生技","236259.00","272488.00","508747.00","145634.00","48160.00","193794.00","249564.00","15639.00","51323.00","-1573.00","--","314953.00","--","--","--","314953.00","0.00","0.00","0.00","12.62"
"114/11/30","106","4","1799","易威","585058.00","753527.00","1338585.00","110591.00","125369.00","235960.00","988427.00","262496.00","-298054.00","463.00","--","953332.00","--","--","149293.00","1102625.00","--","0.00","0.00","9.64"
"114/11/30","106","4","1813","寶利徠","568432.00","754137.00","1322569.00","277951.00","33835.00","311786.00","466355.00","262855.00","209798.00","-15654.00","--","923354.00","--","--","87429.00","1010783.00","0.00","0.00","0.00","19.80"
"114/11/30","106","4","1815","富喬","3617074.00","9747694.00","13364768.00","1597129.00","4242843.00","5839972.00","4337588.00","1763168.00","1572081.00","-22182.00","-125859.00","7524796.00","--","--","--","7524796.00","--","0.00","10761000.00","17.79"
"114/11/30","106","4","2035","唐榮公司","4680016.00","14975099.00","19655115.00","4501392.00","8993898.00","13495290.00","3500000.00","46.00","2539660.00","120119.00","--","--","--","--","--","6159825.00","--","0.00","0.00","17.60"
"114/11/30","106","4","2061","風青","1038817.00","219374.00","1258191.00","586659.00","15525.00","602184.00","620751.00","926.00","35266.00","-936.00","0.00","656007.00","--","--","--","656007.00","0.00","0.00","0.00","10.57"
"114/11/30","106","4","2063","世鎧精密","810170.00","640578.00","1450748.00","564837.00","194267.00","759104.00","450000.00","28778.00","212890.00","-24.00","--","691644.00","--","--","--","691644.00","0.00","0.00","0.00","15.37"
"114/11/30","106","4","2064","晉椿","1962042.00","1665121.00","3627163.00","1795340.00","359031.00","2154371.00","700000.00","93653.00","592609.00","-8786.00","--","1377476.00","--","--","95316.00","1472792.00","0.00","0.00","0.00","19.68"
"114/11/30","106","4","2065","世豐","557636.00","878602.00","1436238.00","293404.00","75092.00","368496.00","326792.00","235531.00","297424.00","207995.00","0.00","--","--","--","--","1067742.00","0.00","0.00","0.00","32.67"
"114/11/30","106","4","2066","世德","1627210.00","482473.00","2109683.00","1043787.00","10276.00","1054063.00","365029.00","38699.00","651892.00","--","--","--","--","--","--","1055620.00","0.00","0.00","0.00","28.92"
"114/11/30","106","4","2067","嘉鋼","659394.00","726721.00","1386115.00","651318.00","237313.00","888631.00","448662.00","72768.00","-51369.00","-3455.00","--","466606.00","0.00","--","30878.00","497484.00","--","0.00","0.00","10.40"
"114/11/30","106","4","2070","精湛","1033270.00","583922.00","1617192.00","620311.00","186373.00","806684.00","322828.00","100010.00","401753.00","-14083.00","--","810508.00","--","--","--","810508.00","0.00","0.00","0.00","25.11"
"114/11/30","106","4","2221","大甲","780831.00","464404.00","1245235.00","348786.00","177863.00","526649.00","424250.00","52135.00","219850.00","584.00","-1573.00","695246.00","0.00","--","23340.00","718586.00","0.00","0.00","100000.00","16.43"
"114/11/30","106","4","2230","泰茂","649088.00","376590.00","1025678.00","490234.00","60397.00","550631.00","396173.00","63639.00","25356.00","-10121.00","--","475047.00","--","--","0.00","475047.00","--","0.00","0.00","11.99"
"114/11/30","106","4","2235","謚源","614465.00","1055396.00","1669861.00","672989.00","9936.00","682925.00","318780.00","206882.00","461274.00","0.00","0.00","--","0.00","0.00","--","986936.00","--","0.00","0.00","30.96"
"114/11/30","106","4","2596","綠意","2719622.00","134495.00","2854117.00","561699.00","--","561699.00","973812.00","185311.00","758366.00","0.00","--","1917489.00","--","--","374929.00","2292418.00","--","0.00","0.00","19.69"
"114/11/30","106","4","2640","大車隊","869328.00","1448999.00","2318327.00","877000.00","116826.00","993826.00","487574.00","451275.00","384593.00","-318.00","--","1323124.00","--","--","1377.00","1324501.00","--","0.00","0.00","27.14"
"114/11/30","106","4","2641","正德","877937.00","3374622.00","4252559.00","586234.00","2289060.00","2875294.00","1850115.00","15207.00","-393087.00","-94970.00","--","1377265.00","--","--","--","1377265.00","0.00","0.00","0.00","7.44"
"114/11/30","106","4","2643","捷迅","946334.00","159751.00","1106085.00","403184.00","100715.00","503899.00","262300.00","72277.00","282834.00","-15225.00","--","602186.00","--","--","--","602186.00","--","0.00","0.00","22.96"
"114/11/30","106","4","2718","全心投控","209829.00","545498.00","755327.00","46348.00","127172.00","173520.00","225760.00","82463.00","276293.00","-2709.00","--","--","--","--","--","581807.00","0.00","0.00","0.00","25.77"
