出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","2","2855","統一證","81121816.00","4779083.00","85900899.00","61730158.00","32585.00","61762743.00","13904281.00","142702.00","10003653.00","41462.00","0.00","24092098.00","--","--","24138156.00","0.00","0.00","0.00","18.04"
"114/11/30","106","2","6005","群益證","118827847.00","13563006.00","132390853.00","99030670.00","1722551.00","100753221.00","21690730.00","2852299.00","5026528.00","189396.00","0.00","29758953.00","--","--","31637632.00","0.00","0.00","0.00","13.72"
"114/11/30","106","2","6024","群益期","32724003.00","495394.00","33219397.00","28950110.00","11079.00","28961189.00","1603979.00","1207735.00","1449432.00","-27840.00","0.00","4233306.00","--","--","4258208.00","0.00","0.00","0.00","26.39"
