出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/30","106","2","1409","新纖","81004418.00","53444393.00","134448811.00","89900646.00","10441159.00","100341805.00","16184093.00","1575571.00","6681846.00","1676171.00","-29834.00","26087847.00","--","8019159.00","34107006.00","--","0.00","4680487.00","16.17"
"114/11/30","106","2","1718","中纖","527821214.00","139139881.00","666961095.00","593895982.00","22130830.00","616026812.00","14294934.00","1681992.00","5583000.00","-242199.00","-1273586.00","20044141.00","--","30890142.00","50934283.00","0.00","0.00","297505145.00","17.71"
"114/11/30","106","2","2207","和泰車","132814224.00","62247773.00","195061997.00","117094387.00","27936146.00","145030533.00","5461792.00","263060.00","35533036.00","590933.00","--","41848821.00","--","8182643.00","50031464.00","0.00","0.00","0.00","76.62"
"114/11/30","106","2","2905","三商","177835682.00","836081628.00","1013917310.00","16764819.00","959195671.00","975960490.00","7654708.00","1057973.00","7907695.00","746.00","-532672.00","16088450.00","0.00","21868370.00","37956820.00","0.00","0.00","41322000.00","23.87"
