出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/12","114","3","6516","勤崴國際","911384.00","283372.00","1194756.00","169272.00","43518.00","212790.00","563369.00","--","348646.00","114659.00","-5362.00","-39346.00","--","--","--","--","981966.00","--","0.00","500000.00","17.59"
"114/11/12","114","3","6527","明達醫","550339.00","629067.00","1179406.00","180613.00","7976.00","188589.00","254586.00","--","215176.00","534605.00","-6974.00","-6576.00","990817.00","--","--","--","990817.00","--","0.00","117000.00","39.10"
"114/11/12","114","3","6530","創威","515685.00","16464.00","532149.00","64111.00","554.00","64665.00","337500.00","--","46856.00","83128.00","--","--","--","--","--","--","467484.00","--","0.00","0.00","13.85"
"114/11/12","114","3","6532","瑞耘","556357.00","809777.00","1366134.00","294540.00","3025.00","297565.00","374451.00","--","248450.00","453327.00","-7659.00","--","1068569.00","--","--","--","1068569.00","0.00","0.00","0.00","28.54"
"114/11/12","114","3","6535","順藥","1015683.00","716945.00","1732628.00","128342.00","1744.00","130086.00","1688168.00","--","300276.00","-284910.00","-55321.00","-56802.00","1591411.00","--","--","11131.00","1602542.00","0.00","0.00","335000.00","9.45"
"114/11/12","114","3","6538","倉和","1567484.00","1299916.00","2867400.00","453170.00","548141.00","1001311.00","380730.00","--","501092.00","1070085.00","-85818.00","--","1866089.00","--","--","--","1866089.00","--","0.00","0.00","49.01"
"114/11/12","114","3","6542","隆中","865519.00","114066.00","979585.00","179397.00","4672.00","184069.00","420006.00","--","287147.00","11209.00","-2823.00","--","715539.00","--","--","79977.00","795516.00","0.00","0.00","0.00","17.04"
"114/11/12","114","3","6546","正基","1883517.00","1146908.00","3030425.00","1011255.00","74458.00","1085713.00","668484.00","--","932478.00","398843.00","-71227.00","--","1928578.00","--","--","16134.00","1944712.00","--","0.00","0.00","28.85"
"114/11/12","114","3","6548","長科*","14404917.00","7704682.00","22109599.00","5952940.00","5264159.00","11217099.00","380195.00","--","6061839.00","4609050.00","394548.00","-951578.00","10494054.00","--","--","398446.00","10892500.00","--","0.00","27433705.00","11.37"
"114/11/12","114","3","6556","勝品","1146101.00","899686.00","2045787.00","453419.00","18952.00","472371.00","287500.00","--","407097.00","844710.00","555.00","--","1539862.00","--","--","33554.00","1573416.00","--","0.00","0.00","53.56"
"114/11/12","114","3","6561","是方","1001923.00","6154126.00","7156049.00","950142.00","2363376.00","3313518.00","779584.00","--","1379929.00","1663682.00","11506.00","--","3834701.00","--","--","7830.00","3842531.00","0.00","0.00","0.00","49.19"
"114/11/12","114","3","6568","宏觀","1322795.00","364427.00","1687222.00","196399.00","920.00","197319.00","308290.00","--","385036.00","833183.00","-36606.00","0.00","1489903.00","--","--","--","1489903.00","0.00","0.00","0.00","48.33"
"114/11/12","114","3","6569","醫揚","813325.00","1306469.00","2119794.00","394431.00","205677.00","600108.00","390707.00","--","757340.00","367962.00","3677.00","--","1519686.00","--","--","0.00","1519686.00","0.00","0.00","0.00","38.90"
"114/11/12","114","3","6570","維田","510523.00","837640.00","1348163.00","212821.00","348636.00","561457.00","371191.00","--","295942.00","134234.00","-14661.00","--","786706.00","--","--","--","786706.00","--","0.00","0.00","21.19"
"114/11/12","114","3","6577","勁豐","1594728.00","435821.00","2030549.00","610170.00","59989.00","670159.00","600602.00","--","371367.00","455469.00","-67048.00","--","1360390.00","--","--","--","1360390.00","--","0.00","0.00","22.65"
"114/11/12","114","3","6578","達邦蛋白","283055.00","907582.00","1190637.00","138653.00","25387.00","164040.00","719419.00","--","338702.00","-10957.00","-20567.00","--","1026597.00","--","--","--","1026597.00","0.00","0.00","0.00","14.27"
"114/11/12","114","3","6584","南俊國際","1610080.00","2811798.00","4421878.00","848104.00","1116572.00","1964676.00","667625.00","--","1007846.00","834648.00","-50341.00","-2576.00","2457202.00","--","--","--","2457202.00","0.00","0.00","23000.00","36.82"
"114/11/12","114","3","6590","普鴻","570333.00","550877.00","1121210.00","191649.00","153074.00","344723.00","249640.00","--","242434.00","192678.00","-10571.00","--","674181.00","--","--","102306.00","776487.00","--","0.00","0.00","30.98"
"114/11/12","114","3","6593","台灣銘板","356600.00","553056.00","909656.00","135034.00","26158.00","161192.00","277199.00","--","313149.00","156804.00","-813.00","--","746339.00","--","--","2125.00","748464.00","--","0.00","0.00","26.92"
"114/11/12","114","3","6596","寬宏藝術","2033704.00","549176.00","2582880.00","969236.00","736.00","969972.00","380000.00","--","499434.00","736182.00","-2708.00","--","1612908.00","--","--","--","1612908.00","--","0.00","0.00","42.44"
"114/11/12","114","3","6597","立誠","642614.00","500843.00","1143457.00","355778.00","1111.00","356889.00","300423.00","--","391960.00","161965.00","--","-67780.00","--","--","--","--","786568.00","0.00","0.00","840000.00","26.94"
"114/11/12","114","3","6603","富強鑫","5312133.00","2952157.00","8264290.00","3143842.00","2578404.00","5722246.00","1674430.00","--","80754.00","815842.00","-174552.00","-29720.00","2366754.00","--","--","175290.00","2542044.00","--","222354.00","1754000.00","14.28"
"114/11/12","114","3","6612","奈米醫材","1675666.00","1465101.00","3140767.00","861634.00","390199.00","1251833.00","479843.00","--","893743.00","432260.00","-55412.00","0.00","1750434.00","--","--","138500.00","1888934.00","--","130500.00","0.00","36.84"
"114/11/12","114","3","6613","朋億*","9787279.00","1348891.00","11136170.00","3725002.00","623148.00","4348150.00","389007.00","--","1857476.00","2683952.00","135705.00","--","5066140.00","--","--","1721880.00","6788020.00","0.00","0.00","0.00","65.12"
"114/11/12","114","3","6616","特昇-KY","580652.00","161352.00","742004.00","288996.00","30186.00","319182.00","354785.00","--","98252.00","-36410.00","9065.00","--","425692.00","--","--","-2870.00","422822.00","--","0.00","0.00","12.00"
"114/11/12","114","3","6624","萬年清","671959.00","264154.00","936113.00","330866.00","172855.00","503721.00","208800.00","--","192741.00","31759.00","-3143.00","--","430157.00","--","--","2235.00","432392.00","--","0.00","0.00","20.60"
"114/11/12","114","3","6637","醫影","1093479.00","731817.00","1825296.00","458244.00","289768.00","748012.00","268100.00","--","316316.00","502493.00","-9625.00","--","1077284.00","--","--","--","1077284.00","--","0.00","0.00","40.18"
"114/11/12","114","3","6640","均華","2422024.00","1974566.00","4396590.00","2104298.00","446808.00","2551106.00","282765.00","--","432853.00","493536.00","806376.00","-174315.00","1841215.00","--","--","4269.00","1845484.00","0.00","0.00","250000.00","65.70"
"114/11/12","114","3","6642","富致","688124.00","742450.00","1430574.00","126668.00","267473.00","394141.00","373996.00","--","356834.00","323936.00","-18333.00","--","1036433.00","--","--","--","1036433.00","0.00","0.00","0.00","27.71"
"114/11/12","114","3","6643","M31","1027598.00","901412.00","1929010.00","118345.00","11705.00","130050.00","417982.00","--","744643.00","642324.00","-2581.00","-3408.00","1798960.00","--","--","--","1798960.00","--","0.00","7000.00","43.05"
"114/11/12","114","3","6649","台生材","444059.00","323077.00","767136.00","36555.00","49249.00","85804.00","420000.00","--","192668.00","68664.00","--","--","--","--","--","--","681332.00","0.00","0.00","0.00","16.22"
"114/11/12","114","3","6651","全宇昕","1299066.00","259898.00","1558964.00","351892.00","979.00","352871.00","346016.00","--","295400.00","564677.00","0.00","--","--","--","--","--","1206093.00","0.00","0.00","0.00","34.86"
"114/11/12","114","3","6654","天正國際","1101910.00","1136878.00","2238788.00","910234.00","476405.00","1386639.00","369627.00","--","455607.00","36240.00","-13664.00","--","847810.00","--","--","4339.00","852149.00","--","0.00","0.00","22.94"
"114/11/12","114","3","6661","威健生技","349000.00","205575.00","554575.00","133457.00","127653.00","261110.00","233043.00","--","50932.00","21944.00","-17097.00","--","288822.00","--","--","4643.00","293465.00","--","0.00","0.00","12.39"
"114/11/12","114","3","6664","群翊","7119535.00","1595364.00","8714899.00","3473466.00","1280940.00","4754406.00","608066.00","--","904295.00","2483400.00","-35268.00","--","3960493.00","0.00","--","0.00","3960493.00","--","0.00","0.00","65.13"
"114/11/12","114","3","6679","鈺太","3682896.00","1658708.00","5341604.00","210792.00","29038.00","239830.00","549753.00","--","3701885.00","777675.00","436878.00","-364417.00","5101774.00","--","--","--","5101774.00","--","0.00","1688000.00","95.74"
"114/11/12","114","3","6680","鑫創電子","506656.00","944544.00","1451200.00","204922.00","721311.00","926233.00","238712.00","--","167949.00","118906.00","-600.00","0.00","524967.00","--","--","--","524967.00","--","0.00","0.00","21.99"
"114/11/12","114","3","6683","雍智科技","2143195.00","966187.00","3109382.00","538264.00","15508.00","553772.00","273772.00","--","398984.00","1937626.00","-54772.00","--","2555610.00","--","--","--","2555610.00","--","0.00","0.00","93.35"
"114/11/12","114","3","6684","安格","866401.00","1032019.00","1898420.00","140764.00","34364.00","175128.00","445595.00","--","1345976.00","-50772.00","-30174.00","--","1710625.00","--","--","12667.00","1723292.00","--","0.00","0.00","38.39"
"114/11/12","114","3","6690","安�硌穈T","2272502.00","2258975.00","4531477.00","808153.00","678329.00","1486482.00","299997.00","--","2289805.00","490480.00","-35287.00","--","3044995.00","--","--","--","3044995.00","0.00","0.00","0.00","101.50"
"114/11/12","114","3","6693","廣閎科","1043687.00","569351.00","1613038.00","382026.00","202500.00","584526.00","457200.00","--","570003.00","42674.00","-2470.00","-38895.00","1028512.00","--","--","0.00","1028512.00","0.00","0.00","674000.00","22.83"
"114/11/12","114","3","6697","東捷資訊","774309.00","181085.00","955394.00","340776.00","9307.00","350083.00","273234.00","--","158042.00","177441.00","-3406.00","--","605311.00","--","--","--","605311.00","0.00","0.00","0.00","22.15"
"114/11/12","114","3","6712","長聖","610443.00","1199358.00","1809801.00","361087.00","59070.00","420157.00","875970.00","--","509311.00","98749.00","-94386.00","0.00","1389644.00","--","--","--","1389644.00","--","0.00","0.00","15.86"
"114/11/12","114","3","6716","應廣","977210.00","128413.00","1105623.00","367234.00","32619.00","399853.00","300083.00","--","183364.00","282103.00","-59780.00","0.00","705770.00","--","--","--","705770.00","--","0.00","0.00","23.52"
