出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/22","112","1","2880","華南金","30112222.00","245147663.00","102672589.00","361804242.00","724924691.00","--","2249207.00","51272746.00","232491.00","--","--","2076637728.00","6837322.00","349180.00","--","17276812.00","12563362.00","32740223.00","2107581.00","1002097.00","3877354.00","5116292.00","3676923802.00","206267197.00","0.00","4516535.00","--","81651640.00","24687336.00","41152148.00","4450662.00","--","2931070420.00","79585214.00","1625000.00","--","24400601.00","69593417.00","2138974.00","6119324.00","6672469.00","3483930937.00","136427459.00","17758986.00","53932732.00","-15128518.00","--","--","192990659.00","2206.00","192992865.00","--","0.00","0.00","14.15"
"114/11/22","112","1","2881","富邦金","226605917.00","405003298.00","1506673721.00","691255996.00","3731520474.00","16223929.00","106346503.00","242158990.00","2424109.00","--","--","2555299154.00","50527785.00","57521680.00","--","507510686.00","308387538.00","65324631.00","9495559.00","33748917.00","52828313.00","60762211.00","10629619411.00","147393414.00","2222151.00","65132202.00","13872448.00","86792457.00","61133990.00","149615542.00","7509250.00","--","3672954676.00","263590565.00","21268809.00","--","4690937510.00","603754358.00","21023974.00","30132047.00","70096275.00","9907429668.00","139952026.00","170933870.00","494747571.00","-92519265.00","--","--","713114202.00","9075541.00","722189743.00","0.00","0.00","0.00","50.95"
"114/11/22","112","1","2882","國泰金","424399997.00","367448806.00","1762976288.00","908659837.00","4480740539.00","103678.00","30714619.00","215802304.00","5347205.00","0.00","--","2549486779.00","15726701.00","33134382.00","--","685478378.00","449882148.00","108840710.00","5188427.00","51059230.00","75117517.00","78116647.00","12248224192.00","150581874.00","0.00","128793295.00","3436279.00","43988999.00","76899211.00","75657769.00","5741041.00","--","3236475625.00","132146179.00","12661567.00","--","6856818289.00","743537208.00","19414697.00","40650413.00","25574584.00","11552377030.00","162025102.00","215335184.00","461828927.00","-156777802.00","0.00","0.00","682411411.00","13435751.00","695847162.00","--","0.00","0.00","42.12"
"114/11/22","112","1","2883","凱基金","92202111.00","38210402.00","510134061.00","245672065.00","1648770298.00","1957858.00","41423264.00","139184286.00","140408.00","--","--","422023715.00","915587.00","21191527.00","--","170577797.00","57557240.00","34290391.00","12554357.00","18196209.00","16100953.00","83699191.00","3554801720.00","9469026.00","0.00","56212198.00","883574.00","113409289.00","21595267.00","104019777.00","1020680.00","--","523359535.00","91592489.00","26716610.00","--","2089018179.00","208899186.00","4575681.00","11722655.00","59244304.00","3321738450.00","184252310.00","33618500.00","68458639.00","-53391020.00","0.00","--","232938429.00","124841.00","233063270.00","2300000.00","0.00","0.00","12.64"
"114/11/22","112","1","2884","玉山金","45517957.00","164709280.00","321304338.00","356093805.00","416758048.00","--","99749.00","118966103.00","24547.00","--","--","1929348089.00","--","--","--","6888285.00","1825819.00","34597628.00","7090132.00","6167181.00","3347303.00","14532792.00","3427271056.00","65890134.00","0.00","74429038.00","8170.00","15065933.00","3967692.00","37162089.00","2894179.00","--","2864529096.00","45750000.00","2810317.00","--","1077955.00","98826188.00","4228114.00","2080747.00","3668006.00","3222387658.00","142930000.00","26345824.00","39626840.00","-4188297.00","--","--","204714367.00","169031.00","204883398.00","--","0.00","0.00","14.34"
"114/11/22","112","1","2885","元大金","71737125.00","80013767.00","458026771.00","354687043.00","566814482.00","--","72742477.00","227262991.00","3105666.00","81469.00","--","1003428183.00","1359065.00","3256803.00","2301182.00","113501086.00","10682580.00","25570730.00","11509936.00","30840550.00","4966886.00","63657311.00","3105546103.00","18509189.00","0.00","139873522.00","--","229131967.00","50932749.00","160397007.00","5217107.00","--","1502095943.00","102187753.00","42164672.00","--","366514360.00","134827157.00","4715758.00","4575642.00","55300456.00","2816443282.00","125015590.00","38066502.00","105954051.00","-525291.00","--","--","268510852.00","20591969.00","289102821.00","0.00","0.00","0.00","21.48"
"114/11/22","112","1","2886","兆豐金","111824874.00","438067831.00","209131711.00","542336585.00","587999590.00","--","3546189.00","84534486.00","331980.00","220.00","--","2039363902.00","17579184.00","5142494.00","--","6360188.00","1540659.00","21545752.00","1897350.00","1259370.00","6953990.00","6354807.00","4085771162.00","508677989.00","7020237.00","21825371.00","--","236383076.00","33138387.00","85029993.00","11376255.00","--","2763403844.00","20500000.00","14060802.00","--","29053590.00","25196317.00","1948049.00","2853629.00","10186378.00","3770653917.00","139398196.00","68194233.00","118205195.00","-10680379.00","0.00","0.00","315117245.00","0.00","315117245.00","0.00","0.00","0.00","22.61"
"114/11/22","112","1","2887","台新新光金","34189578.00","122040174.00","165329849.00","141620933.00","722900910.00","--","13049917.00","148426536.00","0.00","--","--","1448161455.00","515701.00","341247.00","--","38454472.00","3804678.00","25910106.00","2512364.00","3496754.00","7711646.00","13931289.00","2892397609.00","24844543.00","0.00","41923692.00","--","85507410.00","18599114.00","46249905.00","2649657.00","--","2010538160.00","68050887.00","12018491.00","--","229172477.00","131995965.00","2630458.00","1327755.00","5996208.00","2681504722.00","130741476.00","38197778.00","46205593.00","-4278119.00","--","--","210866728.00","26159.00","210892887.00","--","0.00","0.00","16.13"
"114/11/22","112","1","2889","國票金","3470106.00","30560.00","173351624.00","116201907.00","699488.00","--","149964.00","31474719.00","56.00","--","--","--","--","5897592.00","--","13383012.00","264820.00","7240866.00","147192.00","256940.00","475744.00","4799695.00","357844285.00","--","32511560.00","1834287.00","--","229546348.00","19237707.00","14826564.00","488970.00","--","--","--","--","--","1742288.00","9597508.00","144898.00","25388.00","4254019.00","314209537.00","34473840.00","234007.00","5046461.00","-1705802.00","0.00","--","38048506.00","5586242.00","43634748.00","0.00","0.00","0.00","11.04"
"114/11/22","112","1","2890","永豐金","35811371.00","282842337.00","89496379.00","332334986.00","246318495.00","--","91080718.00","99184714.00","244263.00","--","--","1409606190.00","--","1064311.00","--","47967891.00","2360831.00","13213378.00","3539563.00","2325197.00","1936152.00","24836765.00","2684163541.00","83700541.00","0.00","49353171.00","--","66133854.00","22858420.00","54339484.00","2351513.00","--","2051033722.00","71243595.00","6660713.00","18437.00","2976226.00","81406388.00","3019951.00","1356159.00","13950232.00","2510402406.00","121337646.00","6129361.00","56802005.00","-10507877.00","--","--","173761135.00","0.00","173761135.00","--","0.00","0.00","14.32"
"114/11/22","112","1","2891","中信金","112687606.00","421163279.00","640130117.00","464145718.00","2259055538.00","193065.00","9857053.00","229126237.00","8034175.00","--","--","3263187316.00","4091251.00","16282276.00","--","156178115.00","104036146.00","48762425.00","17021768.00","39213458.00","13941065.00","54744129.00","7861850737.00","58991035.00","36440979.00","65653796.00","4491.00","192777262.00","32290006.00","109439171.00","9554449.00","--","4689759462.00","134426641.00","--","--","1846846817.00","211108023.00","16337940.00","7413158.00","25937483.00","7436980713.00","200837908.00","59395602.00","196382946.00","-55304758.00","--","--","401311698.00","23558326.00","424870024.00","0.00","0.00","0.00","19.98"
