出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","108","1","2801","彰銀","50807365.00","210256545.00","8892021.00","95753735.00","260258988.00","261845.00","--","25871665.00","1290979.00","--","--","1338709421.00","--","--","50986526.00","21051054.00","1883055.00","13741151.00","718729.00","3878385.00","1872858.00","2086234322.00","114730982.00","--","11171677.00","--","3634684.00","36325948.00","789974.00","--","1685252580.00","49568558.00","--","--","4913856.00","5190220.00","1657241.00","9010869.00","3185340.00","1925431929.00","97895207.00","--","58430362.00","4476824.00","0.00","160802393.00","--","--","--","160802393.00","--","0.00","0.00","16.43"
"114/10/29","108","1","2812","台中銀","13823472.00","33965896.00","26176003.00","29141470.00","102756672.00","--","12386734.00","12964286.00","331.00","--","--","445731622.00","153602.00","457741.00","429.00","9417264.00","998798.00","108927.00","157774.00","783117.00","1734281.00","690758419.00","7529607.00","5176340.00","141707.00","--","11107726.00","11749736.00","550345.00","--","580725424.00","20000000.00","--","--","1190911.00","1435674.00","1003617.00","111034.00","844943.00","641567064.00","35255084.00","726981.00","12257058.00","952232.00","--","49191355.00","--","--","--","49191355.00","--","0.00","0.00","13.95"
"114/10/29","108","1","2820","華票","315644.00","0.00","99158081.00","96334247.00","--","--","300000.00","1496079.00","265504.00","--","--","--","--","--","549362.00","151255.00","15057.00","--","--","72951.00","47749.00","198705929.00","10479210.00","--","5221.00","--","159879409.00","1250954.00","--","--","--","--","--","--","1499465.00","1390931.00","15088.00","5629.00","358767.00","174884674.00","13429600.00","7333.00","9908302.00","476020.00","--","--","--","--","--","23821255.00","0.00","0.00","0.00","17.74"
"114/10/29","108","1","2834","臺企銀","43960475.00","70487038.00","19857283.00","80954953.00","261948456.00","--","43820251.00","25713610.00","64880.00","--","--","1113128111.00","--","--","17692.00","14338914.00","827723.00","--","268177.00","1434403.00","4993404.00","1681815370.00","103714109.00","679554.00","9232025.00","--","1406238.00","39541771.00","1096247.00","--","1367689645.00","53250000.00","--","--","10669192.00","3268910.00","819357.00","887764.00","1725255.00","1593980067.00","63938802.00","0.00","20163838.00","3732663.00","0.00","87835303.00","0.00","--","0.00","87835303.00","0.00","0.00","0.00","13.74"
"114/10/29","108","1","2836","高雄銀","3034457.00","10039754.00","269324.00","17582198.00","44043731.00","--","4873397.00","1165582.00","19143.00","--","--","179838017.00","--","--","51072.00","2874145.00","311761.00","--","125091.00","257556.00","128261.00","264613489.00","10227628.00","--","75377.00","--","9947846.00","3781964.00","0.00","--","218628408.00","6300000.00","--","--","236.00","356628.00","324966.00","--","102881.00","249745934.00","10403431.00","1487157.00","2681357.00","295610.00","--","--","--","--","--","14867555.00","--","0.00","0.00","14.29"
"114/10/29","108","1","2838","聯邦銀","11785289.00","23362176.00","40668159.00","38845114.00","95206672.00","--","42566071.00","18927789.00","85182.00","--","--","350847013.00","1614016.00","--","5100561.00","7953656.00","1234440.00","5405782.00","2152971.00","665670.00","8230706.00","654651267.00","15314768.00","--","417632.00","--","59736903.00","7385286.00","35471.00","--","499792037.00","8200000.00","1480848.00","--","4014460.00","328426.00","1207081.00","1414618.00","3070693.00","602398223.00","28900129.00","8032413.00","11991852.00","3073301.00","--","51997695.00","--","--","255349.00","52253044.00","--","0.00","0.00","17.99"
"114/10/29","108","1","2845","遠東銀","7227762.00","23358568.00","51520923.00","126127908.00","2598334.00","--","9553266.00","20113072.00","107.00","--","--","379896174.00","1806915.00","--","4455454.00","2727875.00","891375.00","--","1693231.00","278654.00","179418.00","632429036.00","9145594.00","--","2968532.00","--","11333381.00","6912856.00","304974.00","--","515352981.00","20501900.00","--","--","16904176.00","1213664.00","895599.00","--","641919.00","586175576.00","32691859.00","456426.00","12772380.00","332795.00","--","46253460.00","--","--","--","46253460.00","--","0.00","0.00","14.15"
"114/10/29","108","1","2849","安泰銀","3173856.00","13002634.00","22946596.00","38062929.00","33215529.00","--","1378202.00","6089898.00","51249.00","--","--","192294865.00","--","--","0.00","707586.00","781831.00","--","190867.00","860881.00","1177383.00","313934306.00","5492230.00","--","720283.00","--","1343605.00","3880939.00","20100.00","--","264073975.00","--","--","398284.00","2368683.00","458344.00","795525.00","38169.00","349217.00","279939354.00","18187938.00","1052639.00","14306442.00","447933.00","0.00","--","--","--","--","33994952.00","0.00","0.00","0.00","18.69"
"114/10/29","108","1","2897","王道銀行","6055568.00","26564189.00","166995053.00","144311061.00","499968.00","--","300000.00","17921549.00","356046.00","--","--","196600313.00","--","--","1335384.00","2917773.00","501758.00","--","2418276.00","681164.00","930248.00","568388350.00","32543390.00","--","475034.00","--","163879603.00","4984563.00","169989.00","--","276896595.00","17850000.00","--","--","15818645.00","1887958.00","503683.00","364590.00","2579474.00","517953524.00","27130063.00","9757.00","5527430.00","251586.00","--","32918836.00","--","--","17515990.00","50434826.00","--","0.00","0.00","12.13"
"114/10/29","108","1","5876","上海商銀","42023620.00","230796997.00","13666986.00","444181724.00","109705582.00","--","1074934.00","17505747.00","40900.00","--","--","1042776996.00","1838814.00","--","4452591.00","21474872.00","1998013.00","5693411.00","1887824.00","812200.00","3066024.00","1942997235.00","66075438.00","--","3662906.00","--","18584908.00","31176503.00","1813212.00","--","1539820331.00","74013389.00","--","--","4065748.00","2196756.00","2024195.00","9534307.00","3549223.00","1756516916.00","41016031.00","5893238.00","82491645.00","8037353.00","-83144.00","137355123.00","--","--","49125196.00","186480319.00","--","11397439.00","0.00","33.58"
