出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","108","2","2855","統一證","88873857.00","5843267.00","94717124.00","68684728.00","201109.00","68885837.00","13723900.00","91261.00","11127619.00","819838.00","0.00","25762618.00","--","--","68669.00","25831287.00","0.00","0.00","0.00","18.77"
"114/10/29","108","2","6005","群益證","110331995.00","16941318.00","127273313.00","88958333.00","2346596.00","91304929.00","23209081.00","2852299.00","6238472.00","1555808.00","0.00","33855660.00","--","--","2112724.00","35968384.00","0.00","0.00","0.00","14.59"
"114/10/29","108","2","6024","群益期","40337849.00","555661.00","40893510.00","36084288.00","22490.00","36106778.00","1764376.00","1047338.00","1957168.00","-11689.00","--","4757193.00","--","--","29539.00","4786732.00","--","0.00","0.00","26.96"
