出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","108","4","2855","統一證","90081974.00","5672426.00","95754400.00","68821260.00","167368.00","68988628.00","13723900.00","91261.00","12362704.00","521815.00","0.00","26699680.00","--","--","66092.00","26765772.00","0.00","0.00","0.00","19.45"
"114/10/29","108","4","6005","群益證","116002501.00","17167912.00","133170413.00","94684661.00","2269623.00","96954284.00","23209081.00","2852299.00","7927126.00","1578134.00","-1574000.00","33992640.00","--","--","2223489.00","36216129.00","0.00","0.00","147191000.00","15.64"
"114/10/29","108","4","6024","群益期","40602721.00","558189.00","41160910.00","36092258.00","27368.00","36119626.00","1764376.00","1047338.00","2246703.00","-45421.00","--","5012996.00","--","--","28288.00","5041284.00","--","0.00","0.00","28.41"
