出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/11/30","114","3","2801","彰銀","40341683.00","256563508.00","124133394.00","332656318.00","517000245.00","--","--","24631461.00","282043.00","--","--","2014382480.00","--","--","17486.00","21778911.00","1982926.00","14020609.00","958051.00","4721616.00","1652504.00","3355123235.00","359734803.00","--","3101259.00","--","1420182.00","38493654.00","1157540.00","--","2676985245.00","41790234.00","--","--","1369723.00","2427151.00","1852943.00","10779883.00","3525029.00","3142637646.00","117660462.00","--","24.00","82881493.00","11943610.00","0.00","212485589.00","--","--","--","212485589.00","--","0.00","0.00","18.06"
"114/11/30","114","3","2812","台中銀","11286668.00","47411661.00","38336166.00","99226956.00","103534593.00","--","14634862.00","23510381.00","390467.00","--","--","628606758.00","185458.00","217870.00","7752.00","20934220.00","951869.00","541020.00","548462.00","270671.00","3590891.00","994186725.00","10683318.00","12105609.00","3173876.00","--","3570450.00","9410860.00","59326.00","--","839251597.00","14650000.00","--","--","9826923.00","1309809.00","984690.00","109486.00","1286770.00","906422714.00","59216258.00","--","1528256.00","25517983.00","1501514.00","0.00","87764011.00","--","--","0.00","87764011.00","0.00","0.00","0.00","14.82"
"114/11/30","114","3","2820","華票","305981.00","0.00","147999057.00","99936588.00","2691011.00","--","3628615.00","1105910.00","331173.00","--","--","--","--","--","117074.00","155098.00","29466.00","--","--","68364.00","619930.00","256988267.00","35442119.00","--","19725.00","--","191830859.00","570364.00","150208.00","--","--","--","--","--","--","1492500.00","29720.00","51104.00","248454.00","229835053.00","13429600.00","--","16737.00","12724715.00","982162.00","--","--","--","--","--","27153214.00","--","0.00","0.00","20.22"
"114/11/30","114","3","2834","臺企銀","25323207.00","175994433.00","99883628.00","194015926.00","240738125.00","--","29769682.00","13048872.00","503731.00","--","--","1655139894.00","0.00","--","6189.00","13769475.00","1015865.00","--","1300738.00","2084136.00","7758264.00","2460352165.00","222446774.00","1583053.00","9527144.00","--","1321195.00","30430960.00","85704.00","--","1985408984.00","51910000.00","--","--","1667065.00","2440693.00","1044497.00","895136.00","8333306.00","2317094511.00","97180618.00","--","816129.00","41339303.00","3921604.00","--","143257654.00","--","--","--","143257654.00","0.00","0.00","0.00","14.74"
"114/11/30","114","3","2836","高雄銀","3458647.00","21418795.00","3647432.00","32232454.00","54365219.00","--","10193164.00","1588782.00","--","--","--","228220604.00","--","--","225745.00","3496407.00","314659.00","--","128188.00","97473.00","398567.00","359786136.00","10621373.00","--","47424.00","--","5820131.00","7442077.00","60116.00","--","302200896.00","6327000.00","--","--","--","393313.00","312077.00","8845.00","169905.00","333403157.00","18799170.00","--","1436134.00","5016752.00","1130923.00","--","--","--","--","--","26382979.00","--","--","--","14.03"
"114/11/30","114","3","2838","聯邦銀","8213879.00","42353978.00","80214577.00","66501070.00","77772733.00","--","59563995.00","49233439.00","702668.00","--","--","623168360.00","445892.00","--","1643033.00","16623624.00","2140511.00","4495530.00","2153189.00","874070.00","9712337.00","1045812885.00","12276563.00","1530200.00","279812.00","--","77027548.00","11499987.00","909592.00","--","827761751.00","6000000.00","867589.00","375000.00","13772163.00","524696.00","2141167.00","2579989.00","3708185.00","961254242.00","45405518.00","--","8236992.00","20463200.00","8360184.00","--","82465894.00","--","--","2092749.00","84558643.00","--","0.00","0.00","18.16"
"114/11/30","114","3","2845","遠東銀","11571371.00","47649758.00","50956359.00","58434569.00","163262073.00","--","1742456.00","20007283.00","--","--","--","504607641.00","2919092.00","--","9065087.00","5185020.00","1451240.00","--","1538210.00","140730.00","687371.00","879218260.00","3367837.00","2907667.00","7129162.00","--","962005.00","9125993.00","191391.00","--","715493072.00","25301720.00","--","--","43693444.00","654390.00","1466148.00","--","645164.00","810937993.00","48652847.00","--","830560.00","18035471.00","761389.00","--","68280267.00","--","--","--","68280267.00","--","0.00","0.00","14.03"
"114/11/30","114","3","2849","安泰銀","2345398.00","17674126.00","27311789.00","43739093.00","33215768.00","--","1075248.00","5655722.00","0.00","--","--","249338673.00","--","--","4510.00","736662.00","907035.00","--","281662.00","605211.00","1530738.00","384421635.00","6838401.00","--","847331.00","--","0.00","2366189.00","60548.00","--","333438893.00","--","--","--","4007026.00","218216.00","901677.00","47001.00","163042.00","348888324.00","19576094.00","--","406342.00","15806065.00","-255190.00","0.00","--","--","--","--","35533311.00","--","0.00","0.00","18.15"
"114/11/30","114","3","2897","王道銀行","8885037.00","14924886.00","179486198.00","164152575.00","28696492.00","--","14306940.00","3666348.00","356743.00","--","--","258521746.00","6367839.00","--","1048976.00","2601764.00","397187.00","--","1651976.00","623573.00","1673417.00","687361697.00","60861016.00","--","676025.00","--","210519743.00","5636623.00","285646.00","--","312653452.00","14660000.00","--","--","14583573.00","2101515.00","414655.00","883926.00","473223.00","623749397.00","30553579.00","--","573641.00","13213496.00","-591095.00","-221695.00","43527926.00","--","--","20084374.00","63612300.00","--","22939000.00","0.00","14.35"
"114/11/30","114","3","5876","上海商銀","39461087.00","400492940.00","6017645.00","498064775.00","210376697.00","--","18323502.00","24604786.00","590056.00","963196.00","--","1158079633.00","1655271.00","--","17841.00","23643214.00","1656862.00","5246234.00","2049308.00","5805368.00","12777378.00","2409825793.00","36689793.00","--","4001905.00","--","6861913.00","41879901.00","1998475.00","--","1959418938.00","64546295.00","--","--","13439005.00","3330400.00","1682084.00","8401611.00","3637912.00","2145888232.00","48616031.00","--","27867109.00","112770666.00","8016353.00","-83144.00","197187015.00","--","--","66750546.00","263937561.00","0.00","11397439.00","0.00","40.66"
