出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/02/07","114","3","2855","統一證","204725886.00","10348277.00","215074163.00","176395721.00","1814680.00","178210401.00","16014145.00","--","91201.00","18036584.00","2561485.00","--","36703415.00","--","--","160347.00","36863762.00","0.00","0.00","0.00","22.92"
"115/02/07","114","3","6005","群益證","307981938.00","25103751.00","333085689.00","274784378.00","10298562.00","285082940.00","21709081.00","--","2781067.00","15910444.00","3138509.00","--","43539101.00","--","--","4463648.00","48002749.00","--","0.00","0.00","20.06"
"115/02/07","114","3","6024","群益期","68050643.00","884399.00","68935042.00","58866400.00","50061.00","58916461.00","2499376.00","--","3358679.00","4135793.00","22258.00","--","10016106.00","--","--","2475.00","10018581.00","0.00","0.00","0.00","40.07"
