出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/11/22","114","1","2855","統一證","200377899.00","10605491.00","210983390.00","175276579.00","230722.00","175507301.00","14558313.00","--","88963.00","18359585.00","2309158.00","--","35316019.00","--","--","160070.00","35476089.00","0.00","0.00","0.00","24.26"
"114/11/22","114","1","6005","群益證","292896619.00","25894460.00","318791079.00","258031039.00","12947492.00","270978531.00","21709081.00","--","2781095.00","15987715.00","2810742.00","--","43288633.00","--","--","4523915.00","47812548.00","--","0.00","0.00","19.94"
"114/11/22","114","1","6024","群益期","65140028.00","963552.00","66103580.00","55877338.00","74560.00","55951898.00","2499376.00","--","3358729.00","4165623.00","123707.00","--","10147435.00","--","--","4247.00","10151682.00","0.00","0.00","0.00","40.60"
