股票代號,股票名稱,收盤價,收盤日,配股方式,近一年股利,近一年股利值利率,115現金股利,114現金股利,113現金股利,112現金股利,111現金股利,110現金股利,109現金股利,108現金股利,107現金股利,115殖利率,114殖利率,113殖利率,112殖利率,111殖利率,110殖利率,109殖利率,108殖利率,107殖利率,115ROE,114ROE,113ROE,112ROE,111ROE,110ROE,109ROE,108ROE,107ROE,115EPS_年度,114EPS_年度,113EPS_年度,112EPS_年度,111EPS_年度,110EPS_年度,109EPS_年度,108EPS_年度,107EPS_年度,近3年平均股息,近5年平均股息,近8年平均股息,近3年平均殖利率,近5年平均殖利率,近8年平均殖利率,近3年平均ROE,近5年平均ROE,近8年平均ROE,近3年平均配息率,近5年平均配息率,近8年平均配息率,114Q4_EPS,114Q3_EPS,114Q2_EPS,114Q1_EPS,113Q4_EPS,113Q3_EPS,113Q2_EPS,113Q1_EPS,114Q4_vs_113Q4_EPS差率,114Q3_vs_113Q3_EPS差率,114Q2_vs_113Q2_EPS差率,114Q1_vs_113Q1_EPS差率,近四季EPS總合,近四季_vs_前年度_EPS差率
2642,宅配通,22.3,2026-04-24,年配,0.5,2.24,,0.5,0.5,0.8,1.5,2.1,1.8,1.2,0.6,,2.24,2.24,3.59,6.73,9.42,8.07,5.38,2.69,,-4.85,-0.44,4.27,7.13,10.16,11.26,9.67,4.18,,-1.04,-0.1,0.99,1.85,2.52,2.19,1.69,0.72,0.6,1.08,1.12,2.69,4.84,5.04,-0.34,3.25,5.17,-155.76,-60.57,-8.29,-1.04,-0.64,-0.39,-0.5,-0.1,0.3,0.29,0.16,-940.0,-313.33,-234.48,-412.5,-1.04,-940.0
2643,捷迅,66.1,2026-04-27,年配,4.5,6.81,,,4.5,5.0,7.0,5.0,4.0,2.0,2.0,,,6.81,7.56,10.59,7.56,6.05,3.03,3.03,,,11.19,13.84,37.8,28.21,25.91,18.1,11.85,,,6.11,7.53,16.68,9.72,7.15,4.6,2.81,4.75,5.38,4.21,7.18,8.13,6.38,12.52,22.76,20.99,70.03,58.36,57.72,,4.7,1.91,1.78,6.11,4.25,2.85,1.35,,10.59,-32.98,31.85,4.7,-23.08
2645,長榮航太,163.5,2026-04-24,年配,5.0,3.06,,5.0,4.5,4.5,4.0,2.0,,,,,3.06,2.75,2.75,2.45,1.22,,,,,15.26,14.03,15.36,15.32,8.95,11.79,,,,5.46,4.9,4.95,4.48,2.5,1.85,,,4.67,4.0,4.0,2.85,2.45,2.45,14.88,13.78,13.45,91.44,88.72,88.72,5.46,4.16,2.21,1.49,4.9,3.78,2.7,1.36,11.43,10.05,-18.15,9.56,5.46,11.43
2646,星宇航空,20.15,2026-04-24,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.89,6.48,1.76,-101.96,-68.1,,,,,0.09,0.53,0.08,-3.47,-2.69,,,,,,,,,,3.04,-32.19,-32.19,,,,0.09,0.16,0.31,0.3,0.53,0.64,0.39,0.3,-83.02,-75.0,-20.51,0.0,0.09,-83.02
2701,萬企,10.7,2026-04-24,年配,0.28,2.62,,0.28,0.28,0.28,0.25,0.165,0.25,0.4,0.4,,2.62,2.62,2.62,2.34,1.54,2.34,3.74,3.74,,2.99,2.74,2.93,2.74,1.12,2.27,5.26,4.55,,0.56,0.51,0.53,0.47,0.19,0.39,0.89,0.73,0.28,0.25,0.29,2.62,2.35,2.7,2.89,2.5,3.08,52.58,59.55,57.7,0.56,0.49,0.26,0.1,0.51,0.5,0.24,0.06,9.8,-2.0,8.33,66.67,0.56,9.8
2702,華園,15.6,2026-04-24,年配,0.0,0.0,,,,,0.2,1.0,,,0.2,,,,,1.28,6.41,,,1.28,,-1.65,1.24,0.81,13.52,98.18,-24.01,-0.36,17.45,,-0.35,0.26,0.16,2.7,16.53,-2.45,-0.04,2.08,,0.6,0.47,,3.84,2.99,0.13,22.42,13.15,,6.73,7.69,-0.35,-0.61,-0.85,0.21,0.26,0.33,0.52,0.29,-234.62,-284.85,-263.46,-27.59,-0.35,-234.62
2704,國賓,41.75,2026-04-24,年配,0.5,1.2,,0.5,0.5,1.0,0.5,,,,0.4,,1.2,1.2,2.4,1.2,,,,0.96,,0.79,4.26,2.97,8.58,-0.76,0.03,3.7,4.11,,0.57,2.77,1.34,2.97,-0.24,0.01,1.05,1.1,0.67,0.62,0.58,1.6,1.5,1.39,2.67,3.17,2.96,60.13,49.31,46.72,0.57,0.97,-0.42,-1.05,2.77,3.36,4.27,4.29,-79.42,-71.13,-109.84,-124.48,0.57,-79.42
2705,六福,17.2,2026-04-24,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,3.37,1.83,-2.01,-6.25,-8.56,-26.12,-28.89,-46.23,,0.87,0.46,-0.51,-1.66,-1.46,-2.01,-2.93,-3.87,,,,,,,1.06,-2.32,-14.11,,,,0.87,-0.45,-0.32,-0.23,0.46,-0.11,-0.26,0.0,89.13,-309.09,-23.08,,0.87,89.13
2706,第一店,12.25,2026-04-24,年配,0.35,2.86,,0.35,0.35,0.35,0.35,0.14,0.15,0.45,0.45,,2.86,2.86,2.86,2.86,1.14,1.22,3.67,3.67,,3.21,2.77,3.08,3.24,0.87,1.75,5.8,4.96,,0.65,0.56,0.6,0.6,0.16,0.32,1.06,0.86,0.35,0.31,0.32,2.86,2.52,2.64,3.02,2.63,3.21,58.23,64.1,57.77,0.65,0.56,0.32,0.12,0.56,0.54,0.26,0.05,16.07,3.7,23.08,140.0,0.65,16.07
2707,晶華,174.0,2026-04-24,季配,10.75,6.18,,10.7496,14.3612,11.3821,9.0073,12.3925,4.38912,10.045399999999999,11.075,,6.18,8.25,6.54,5.18,7.12,2.52,5.77,6.36,,31.55,27.29,31.63,20.59,50.83,20.33,35.19,34.67,,11.42,10.57,11.11,7.09,17.09,5.18,10.58,10.8,12.16,11.58,10.43,6.99,6.65,5.99,30.16,32.38,31.51,110.82,106.4,101.78,11.42,7.93,5.6,3.16,10.57,7.39,5.65,3.33,8.04,7.31,-0.88,-5.11,11.42,8.04
2712,遠雄來,17.2,2026-04-24,年配,0.0,0.0,,,,0.41809767,0.0888517,,0.7,,,,,,2.43,0.52,,4.07,,,,-3.86,-12.84,3.96,2.0,-1.68,7.9,-1.34,-2.57,,-0.38,-1.42,0.47,0.23,-0.2,0.93,-0.15,-0.3,0.42,0.25,0.4,2.43,1.48,2.34,-4.25,-2.48,-1.05,88.96,63.8,67.62,-0.38,-0.11,-0.33,-0.19,-1.42,-1.16,-0.81,-0.09,73.24,90.52,59.26,-111.11,-0.38,73.24
2718,全心投控,43.7,2026-04-27,季配,5.5,12.59,,5.5,3.0,3.0,,,,,,,12.59,6.86,6.86,,,,,,,,81.69,34.88,-3.41,-3.71,-13.97,0.1,-1.84,,,35.33,7.9,-0.57,-0.55,-2.89,0.02,-0.47,3.83,3.83,3.83,8.77,8.77,8.77,58.28,27.36,13.39,23.23,23.23,23.23,,15.47,9.2,0.68,35.33,34.49,1.24,1.16,,-55.15,641.94,-41.38,15.47,-56.21
2719,燦星旅,27.6,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,13.05,18.7,-15.98,-71.56,-120.76,-81.29,-45.75,,,1.26,1.53,-1.16,-1.29,-4.28,-5.72,-2.96,,,,,,,15.88,-13.95,-43.37,,,,,-0.47,-0.28,0.16,1.26,1.9,1.85,0.41,,-124.74,-115.14,-60.98,-0.47,-137.3
2722,夏都,23.9,2026-04-24,年配,0.0,0.0,,,0.15,0.25,0.6,0.2,0.5,0.2,0.2,,,0.63,1.05,2.51,0.84,2.09,0.84,0.84,,-3.2,-0.68,3.69,7.32,0.78,4.46,1.96,1.12,,-0.49,0.03,0.69,1.38,0.18,0.79,0.36,0.19,0.2,0.3,0.3,0.84,1.26,1.26,-0.06,1.58,1.93,268.12,172.7,130.7,-0.49,-0.33,-0.27,-0.17,0.03,0.32,0.21,0.21,-1733.33,-203.12,-228.57,-180.95,-0.49,-1733.33
2723,美食-KY,63.9,2026-04-24,年配,0.0,0.0,,,3.0,3.5,2.5,5.0,4.0,3.0,5.0,,,4.69,5.48,3.91,7.82,6.26,4.69,7.82,,-4.07,5.41,6.83,4.32,9.91,9.56,9.03,16.27,,-2.47,3.28,4.2,2.68,6.07,5.64,5.18,9.26,3.25,3.5,3.71,5.09,5.48,5.81,2.72,4.48,7.16,87.4,87.61,76.18,-2.47,-4.23,1.83,1.18,3.28,2.16,1.32,0.89,-175.3,-295.83,38.64,32.58,-2.47,-175.3
2724,藝舍-KY,15.75,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,51.64,10.53,-13.95,-31.57,-1941.76,-112.39,-9.56,,,2.96,-0.06,-0.6,-1.09,-2.21,-0.43,-0.06,,,,,,,31.08,4.16,-292.44,,,,,-0.35,-0.1,-0.04,2.96,2.68,-0.53,-0.84,,-113.06,81.13,95.24,-0.35,-111.82
2726,雅茗-KY,10.6,2026-04-27,年配,0.0,0.0,,,,,,,0.5,2.50051358,2.0,,,,,,,4.72,23.59,18.87,,,33.29,-39.1,-72.92,-16.02,4.67,17.15,12.94,,,3.58,-4.06,-7.92,-2.65,1.09,3.8,3.11,,,1.67,,,15.73,-2.91,-23.69,-8.57,,,58.66,,-1.77,-1.39,-0.67,3.58,3.88,3.72,3.69,,-145.62,-137.37,-118.16,-1.77,-149.44
2727,王品,223.5,2026-04-24,年配,16.12,7.21,,16.11714977,14.5925781,14.94369495,3.86639449,,4.3040913,3.53702858,3.85514831,,7.21,6.53,6.69,1.73,,1.93,1.58,1.72,,27.08,26.7,32.97,7.42,-4.6,6.06,7.92,8.51,,16.02,15.66,16.79,5.15,-1.4,4.61,4.77,4.52,15.22,12.38,8.75,6.81,5.54,3.91,28.92,17.91,14.01,94.26,89.47,87.24,16.02,12.01,7.88,4.41,15.66,12.41,8.01,3.77,2.3,-3.22,-1.62,16.98,16.02,2.3
2729,瓦城,168.5,2026-04-27,年配,5.8,3.44,,5.8,8.0,10.0,3.5,4.0,14.5,10.0,13.6,,3.44,4.75,5.93,2.08,2.37,8.61,5.93,8.07,,,13.32,18.2,5.31,7.75,16.82,17.37,17.82,,,9.01,12.37,3.62,7.04,15.95,15.51,15.17,7.93,6.26,8.68,4.71,3.71,5.15,15.76,11.14,13.8,84.82,80.78,81.17,,6.52,4.47,2.56,9.01,7.56,4.67,2.52,,-13.76,-4.28,1.59,6.52,-27.64
2731,雄獅,157.5,2026-04-24,年配,12.8,8.13,,12.8,7.5,8.0,,,,2.0,3.8,,8.13,4.76,5.08,,,,1.27,2.41,,35.11,23.11,54.64,-47.52,-29.11,-20.86,10.67,11.52,,17.49,9.81,15.21,-8.91,-6.43,-5.9,3.14,3.66,9.43,9.43,6.82,5.99,5.99,4.33,37.62,7.25,4.7,67.41,67.41,73.95,17.49,13.31,8.51,4.57,9.81,7.54,6.64,3.49,78.29,76.53,28.16,30.95,17.49,78.29
2732,六角,65.9,2026-04-27,季配,3.5,5.31,,3.5,5.0,6.5,6.3,2.3,3.0,7.95312455,3.74938721,,5.31,7.59,9.86,9.56,3.49,4.55,12.07,5.69,,,9.51,14.93,13.96,5.9,7.46,24.31,13.75,,,4.79,6.42,6.56,3.08,3.08,9.7,4.46,5.0,4.72,4.79,7.59,7.16,7.26,12.22,11.08,12.83,102.82,94.09,91.4,,0.28,-0.32,0.26,4.79,4.17,2.72,1.23,,-93.29,-111.76,-78.86,0.28,-94.15
2734,易飛網,16.55,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,7.0,7.84,-17.03,-34.15,-32.72,-15.07,-23.15,,,1.0,0.56,-1.26,-2.29,-2.51,-1.38,-2.75,,,,,,,7.42,-9.09,-15.33,,,,,-1.11,-0.62,-0.33,1.0,1.8,1.66,0.1,,-161.67,-137.35,-430.0,-1.11,-211.0
2736,富野,12.95,2026-04-27,年配,0.0,0.0,,,,,,,0.2,,0.1,,,,,,,1.54,,0.77,,,-9.05,-2.11,1.01,-2.82,0.7,-0.51,-2.35,,,-1.77,-0.4,0.24,-0.69,0.18,-0.13,-0.62,,,0.15,,,1.16,-5.58,-3.24,-2.16,,,47.49,,-1.67,-0.81,-0.15,-1.77,-2.13,-1.18,-0.13,,21.6,31.36,-15.38,-1.67,5.65
2739,寒舍,34.2,2026-04-24,年配,2.58,7.54,,2.58,1.0,,,,,1.0,1.0,,7.54,2.92,,,,,2.92,2.92,,13.7,36.27,43.47,-44.46,-62.39,-20.8,6.6,6.13,,2.36,5.39,4.52,-3.69,-6.45,-3.15,1.11,1.02,1.79,1.79,1.4,5.23,5.23,4.08,31.15,-2.68,-2.68,63.93,63.93,79.0,2.36,1.01,1.06,0.62,5.39,4.69,5.67,1.82,-56.22,-78.46,-81.31,-65.93,2.36,-56.22
2740,華軒,43.55,2026-04-27,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-51.01,-29.1,-55.75,-89.44,-78.36,-93.85,-52.24,,,-4.65,-2.15,-3.34,-2.65,-3.36,-8.62,-4.34,,,,,,,-40.06,-56.32,-64.25,,,,,-2.52,-2.11,-0.53,-4.65,-2.03,-1.66,-1.0,,-24.14,-27.11,47.0,-2.52,45.81
2743,山富,70.2,2026-04-27,年配,3.2,4.56,,3.2,2.0,3.0,,,,0.8,0.8,,4.56,2.85,4.27,,,,1.14,1.14,,,26.99,48.62,-12.74,-10.57,-7.41,11.13,6.43,,,7.24,9.66,-1.99,-1.64,-1.25,2.04,1.14,2.73,2.73,1.96,3.89,3.89,2.79,37.8,13.08,8.92,29.34,29.34,42.02,,4.26,3.36,4.82,7.24,6.49,5.91,5.4,,-34.36,-43.15,-10.74,4.26,-41.16
2745,五福,102.0,2026-04-27,年配,7.5,7.35,,7.5,6.5,3.5,,,,0.3,0.3,,7.35,6.37,3.43,,,,0.29,0.29,,,40.47,57.43,-25.69,-32.43,-16.58,4.78,2.29,,,9.07,7.87,-2.59,-4.41,-2.88,0.89,0.41,5.83,5.83,3.62,5.72,5.72,3.55,48.95,9.95,4.32,58.06,58.06,55.75,,8.23,5.29,4.29,9.07,8.5,5.86,3.11,,-3.18,-9.73,37.94,8.23,-9.26
2748,雲品,39.6,2026-04-24,年配,1.75,4.42,,1.75,2.0,2.0,1.3,0.5,1.0,1.0,2.75,,4.42,5.05,5.05,3.28,1.26,2.53,2.53,6.94,,7.65,11.44,11.67,10.65,-1.92,8.39,14.43,17.2,,2.17,3.13,2.76,2.2,-0.38,1.44,2.8,3.22,1.92,1.51,1.54,4.84,3.81,3.88,10.25,7.9,9.94,72.34,28.9,41.88,2.17,1.11,0.77,1.03,3.13,1.94,1.68,1.35,-30.67,-42.78,-54.17,-23.7,2.17,-30.67
2751,王座,55.0,2026-04-27,半年配,4.0,7.27,,4.0,4.5,5.0,,,,,,,7.27,8.18,9.09,,,,,,,,22.33,55.1,10.61,-46.97,-37.25,-7.92,-17.25,,,4.55,6.83,0.89,-4.86,-6.05,-0.83,-2.08,4.5,4.5,4.5,8.18,8.18,8.18,38.72,10.27,-3.05,86.06,86.06,86.06,,3.33,1.92,0.89,4.55,3.48,1.97,0.88,,-4.31,-2.54,1.14,3.33,-26.81
2752,豆府,187.5,2026-04-27,年配,13.5,7.2,,13.5,14.0,13.3,10.0,4.5,9.0,5.0,4.8,,7.2,7.47,7.09,5.33,2.4,4.8,2.67,2.56,,,32.42,34.39,27.22,16.79,27.22,21.29,31.72,,,15.66,14.78,10.36,6.68,10.29,6.66,7.36,13.6,11.06,9.26,7.25,5.9,4.94,33.4,27.7,27.29,89.7,85.82,81.58,,11.18,6.85,3.84,15.66,11.19,7.67,3.9,,-0.09,-10.69,-1.54,11.18,-28.61
2753,八方雲集,179.0,2026-04-24,半年配,11.5,6.42,,11.5,8.00450148,7.00451164,7.51059166,6.72711858,6.5,6.0,5.0,,6.42,4.47,3.91,4.2,3.76,3.63,3.35,2.79,,20.75,16.27,15.79,20.17,20.54,34.66,30.9,31.27,,12.84,9.05,8.35,10.0,8.74,10.55,8.09,8.17,8.84,8.15,7.28,4.93,4.55,4.07,17.6,18.7,23.79,87.3,82.8,76.37,12.84,9.34,5.81,2.93,9.05,6.64,4.46,2.36,41.88,40.66,30.27,24.15,12.84,41.88
2754,亞洲藏壽司,65.9,2026-04-27,年配,0.8,1.21,,,0.8,1.5,1.5,0.45,0.5,0.5,0.34024171,,,1.21,2.28,2.28,0.68,0.76,0.76,0.52,,,6.51,13.54,17.42,1.76,3.16,15.03,24.12,,,2.31,4.54,5.21,0.49,0.79,2.47,3.4,1.15,1.06,0.8,1.74,1.61,1.21,10.02,9.81,11.65,33.84,47.08,40.26,,1.84,0.56,-0.34,2.31,2.0,1.75,2.02,,-8.0,-68.0,-116.83,1.84,-20.35
2755,揚秦,132.5,2026-04-27,年配,3.5,2.64,,3.5,3.0,3.6,1.6,2.0,2.0,1.0,2.22,,2.64,2.26,2.72,1.21,1.51,1.51,0.75,1.68,,,22.36,18.82,18.72,12.97,15.61,18.08,16.64,,,5.84,4.4,5.25,3.65,3.9,3.48,3.1,3.37,2.74,2.37,2.54,2.07,1.78,20.59,18.22,17.6,66.6,54.61,52.87,,4.67,3.45,1.67,5.84,4.29,2.63,1.16,,8.86,31.18,43.97,4.67,-20.03
2756,聯發國際,67.7,2026-04-27,季配,4.6,6.79,,3.3,2.5,4.5,4.5,4.0,0.19,8.5,6.2,,4.87,3.69,6.65,6.65,5.91,0.28,12.56,9.16,,,10.88,20.58,35.86,49.9,9.57,57.85,47.06,,,2.41,4.56,7.12,7.58,1.47,9.89,10.41,3.43,3.76,4.21,5.07,5.55,6.22,15.73,29.3,33.1,101.21,79.6,68.12,,2.71,1.21,0.53,2.41,1.93,1.53,0.76,,40.41,-20.92,-30.26,2.71,12.45
2762,世界健身-KY,73.0,2026-04-24,季配,5.95,8.15,,5.95118199,5.9355232,5.77777778,12.2,,,,,,8.15,8.13,7.91,16.71,,,,,,13.58,12.88,14.21,11.07,1.1,,,,,3.75,3.19,3.5,6.08,0.67,,,,5.89,7.47,7.47,8.06,10.23,10.23,13.56,10.57,10.57,169.95,177.63,177.63,3.75,2.22,1.18,0.45,3.19,2.64,2.07,0.86,17.55,-15.91,-43.0,-47.67,3.75,17.55
2801,彰銀,21.05,2026-04-24,年配,0.5,2.38,,,0.5,0.55,0.55,0.5,0.36,0.4,0.64,,,2.38,2.61,2.61,2.38,1.71,1.9,3.04,,8.43,7.68,7.27,6.44,5.23,4.3,7.26,8.39,,1.51,1.33,1.2,1.04,0.84,0.68,1.16,1.29,0.52,0.52,0.5,2.5,2.5,2.38,7.79,7.01,6.88,41.71,48.96,47.55,1.51,1.2,0.78,0.37,1.33,1.0,0.66,0.35,13.53,20.0,18.18,5.71,1.51,13.53
2812,台中銀,19.95,2026-04-24,年配,0.39,1.95,,0.39,0.39,0.4,0.3,0.25,0.24,0.28,0.28,,1.95,1.95,2.01,1.5,1.25,1.2,1.4,1.4,,10.42,10.46,9.36,8.06,7.94,7.41,8.72,8.79,,1.53,1.5,1.31,1.12,1.1,1.03,1.16,1.18,0.39,0.35,0.32,1.97,1.73,1.58,10.08,9.25,8.9,27.34,26.31,25.34,1.53,1.13,0.76,0.39,1.5,1.15,0.78,0.4,2.0,-1.74,-2.56,-2.5,1.53,2.0
2816,旺旺保,30.4,2026-04-24,年配,1.5,4.93,,1.5,1.5,,,1.0,0.8,0.88,0.9,,4.93,4.93,,,3.29,2.63,2.89,2.96,,13.56,18.21,22.01,-23.51,11.34,12.44,13.64,13.11,,4.66,5.46,5.37,-5.91,3.12,3.14,3.3,2.84,1.5,1.33,1.1,4.93,4.38,3.6,17.93,8.32,10.1,29.83,30.57,29.26,4.66,2.67,1.01,0.14,5.46,3.78,3.13,1.81,-14.65,-29.37,-67.73,-92.27,4.66,-14.65
2820,華票,16.8,2026-04-24,年配,0.9,5.36,,0.9,0.78,0.73,0.5,0.9,0.87,0.72,0.79,,5.36,4.64,4.35,2.98,5.36,5.18,4.29,4.7,,6.77,5.48,5.49,4.38,7.28,6.4,5.28,5.77,,1.34,1.02,0.96,0.77,1.38,1.18,0.93,0.99,0.8,0.76,0.77,4.78,4.54,4.61,5.91,5.88,5.86,73.22,69.97,72.6,1.34,1.05,0.72,0.3,1.02,0.81,0.5,0.32,31.37,29.63,44.0,-6.25,1.34,31.37
2832,台產,51.0,2026-04-24,年配,3.5,6.86,,3.5,2.0,1.3,1.0,0.75,1.1,1.0,0.9,,6.86,3.92,2.55,1.96,1.47,2.16,1.96,1.76,,10.31,9.91,9.26,6.68,3.78,7.37,8.03,6.62,,3.91,3.21,2.7,1.86,1.03,1.9,1.94,1.55,2.27,1.71,1.44,4.44,3.35,2.83,9.83,7.99,7.74,66.66,65.31,61.76,3.91,2.75,1.56,0.94,3.21,2.73,1.92,1.11,21.81,0.73,-18.75,-15.32,3.91,21.81
2834,臺企銀,16.3,2026-04-24,年配,0.3,1.84,,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.3,,1.84,1.23,1.23,0.61,0.61,0.61,1.23,1.84,,8.79,8.93,9.43,9.84,5.09,4.84,7.47,9.51,,1.26,1.23,1.29,1.26,0.66,0.63,0.98,1.19,0.23,0.18,0.19,1.43,1.1,1.15,9.05,8.42,7.99,18.52,15.73,17.52,1.26,1.01,0.66,0.32,1.23,0.97,0.76,0.35,2.44,4.12,-13.16,-8.57,1.26,2.44
2836,高雄銀,11.85,2026-04-24,年配,0.4,3.38,,0.4,0.3,0.3,,0.4,0.3,0.15,0.11,,3.38,2.53,2.53,,3.38,2.53,1.27,0.93,,4.94,4.41,5.0,5.54,5.37,4.82,5.18,3.35,,0.68,0.55,0.7,0.75,0.78,0.68,0.72,0.46,0.33,0.35,0.28,2.81,2.96,2.36,4.78,5.05,4.83,52.08,51.88,42.34,0.68,0.49,0.31,0.15,0.55,0.41,0.27,0.12,23.64,19.51,14.81,25.0,0.68,23.64
2836A,高雄銀甲特,24.65,2026-04-24,年配,0.78,3.16,,0.775,0.775,0.775,0.775,0.75164383,,,,,3.14,3.14,3.14,3.14,3.05,,,,,,,,,,,,,,,,,,,,,,0.78,0.77,0.77,3.14,3.12,3.12,,,,,,,,,,,,,,,,,,,,
2838,聯邦銀,20.05,2026-04-24,年配,0.46,2.29,,0.46,0.35,0.2,0.1,0.15,,0.1,,,2.29,1.75,1.0,0.5,0.75,,0.5,,,7.29,6.96,6.46,5.49,7.08,5.91,6.34,6.02,,1.29,1.16,1.02,0.85,1.21,0.96,1.0,1.07,0.34,0.25,0.23,1.68,1.26,1.13,6.9,6.66,6.44,28.48,21.92,19.93,1.29,0.91,0.49,0.3,1.16,0.94,0.56,0.35,11.21,-3.19,-12.5,-14.29,1.29,11.21
2838A,聯邦銀甲特,54.6,2026-04-24,年配,2.63,4.82,,2.630625,2.630625,2.55922602,2.4,2.4,2.4,2.4,2.4,,4.82,4.82,4.69,4.4,4.4,4.4,4.4,4.4,,,,,,,,,,,,,,,,,,,2.61,2.52,2.48,4.78,4.63,4.54,,,,,,,,,,,,,,,,,,,,
2845,遠東銀,12.35,2026-04-24,年配,0.51,4.13,,0.514,0.5,0.506,0.4089,0.43,0.326,0.468,0.45,,4.16,4.05,4.1,3.31,3.48,2.64,3.79,3.64,,6.36,7.15,7.33,7.03,5.97,5.25,7.89,8.05,,0.93,1.01,1.03,1.0,0.84,0.73,1.08,1.08,0.51,0.47,0.45,4.1,3.82,3.65,6.95,6.77,6.88,51.3,49.2,46.96,0.93,0.7,0.44,0.26,1.01,0.83,0.59,0.31,-7.92,-15.66,-25.42,-16.13,0.93,-7.92
2849,安泰銀,13.8,2026-04-24,年配,0.38,2.75,,,0.38,0.38,0.4,0.73,0.73,0.73,1.0,,,2.75,2.75,2.9,5.29,5.29,5.29,7.25,,4.37,3.91,3.32,3.15,6.7,6.37,6.21,6.78,,0.79,0.68,0.56,0.54,1.19,1.11,1.13,1.26,0.38,0.47,0.62,2.75,3.42,4.5,3.87,4.29,5.1,61.87,64.79,66.98,0.79,0.58,0.35,0.19,0.68,0.57,0.33,0.16,16.18,1.75,6.06,18.75,0.79,16.18
2850,新產,124.5,2026-04-24,年配,7.27,5.84,,7.27,7.15,4.99,2.54,3.2,1.95,1.8,2.65,,5.84,5.74,4.01,2.04,2.57,1.57,1.45,2.13,,19.4,18.01,17.91,13.23,15.83,13.09,14.03,17.35,,12.28,10.47,9.22,6.34,7.13,5.16,4.94,5.6,6.47,5.03,3.94,5.2,4.04,3.17,18.44,16.88,16.11,60.54,53.31,48.51,12.28,8.46,5.41,2.25,10.47,7.92,5.34,2.78,17.29,6.82,1.31,-19.06,12.28,17.29
2851,中再保,30.05,2026-04-24,年配,2.2,7.32,,2.2,1.9,1.4,,1.8,1.3,0.9,0.9,,7.32,6.32,4.66,,5.99,4.33,3.0,3.0,,13.77,12.59,11.59,1.51,13.78,11.92,9.51,9.35,,3.66,3.14,2.61,0.41,3.5,2.57,1.87,1.78,1.83,1.82,1.49,6.1,6.07,4.95,12.65,10.65,10.5,58.09,56.42,53.57,3.66,2.0,1.01,0.78,3.14,2.63,2.34,1.34,16.56,-23.95,-56.84,-41.79,3.66,16.56
2852,第一保,26.05,2026-04-24,年配,1.66,6.37,,1.66,2.1,1.13,0.72,1.21,0.35,0.96,0.49,,6.37,8.06,4.34,2.76,4.64,1.34,3.69,1.88,,9.86,10.74,8.11,7.53,7.88,2.25,9.09,8.42,,2.92,3.0,2.11,1.86,1.84,0.51,1.93,1.63,1.63,1.36,1.08,6.26,5.23,4.14,9.57,8.82,7.98,60.13,56.97,54.16,2.92,2.43,1.58,0.84,3.0,2.58,1.76,0.85,-2.67,-5.81,-10.23,-1.18,2.92,-2.67
2855,統一證,35.25,2026-04-24,年配,2.11,5.99,,2.11,1.1,1.32,0.39,1.89,1.5,1.0,0.69,,5.99,3.12,3.74,1.11,5.36,4.26,2.84,1.96,,12.89,12.99,9.33,2.39,13.1,12.85,9.05,4.76,,3.0,3.0,1.98,0.5,2.75,2.58,1.72,0.87,1.51,1.36,1.25,4.28,3.86,3.55,11.74,10.14,9.67,57.89,64.08,64.5,3.0,1.67,0.33,-0.05,3.0,2.48,2.11,1.19,0.0,-32.66,-84.36,-104.2,3.0,0.0
2867,三商壽,7.82,2026-04-24,年配,0.0,0.0,,,,,,,,,,,,,,,,,,,,2.88,5.35,-27.67,-38.87,2.61,3.51,16.36,-0.96,,0.2,0.42,-2.11,-4.34,0.42,0.61,2.29,-0.14,,,,,,,-6.48,-11.14,-4.6,,,,0.2,0.16,-0.12,0.03,0.42,0.52,1.24,0.6,-52.38,-69.23,-109.68,-95.0,0.2,-52.38
2880,華南金,35.0,2026-04-24,年配,1.35,3.86,,1.35,1.25,1.2,0.59,0.78,0.265,0.5603,0.545,,3.86,3.57,3.43,1.69,2.23,0.76,1.6,1.56,,11.57,10.81,11.01,8.98,8.82,4.58,8.79,8.64,,1.9,1.68,1.58,1.27,1.3,0.67,1.31,1.27,1.27,1.03,0.82,3.62,2.96,2.34,11.13,10.24,9.15,73.8,65.57,56.64,1.9,1.43,0.84,0.39,1.68,1.3,0.81,0.41,13.1,10.0,3.7,-4.88,1.9,13.1
2881,富邦金,87.8,2026-04-24,年配,4.25,4.84,,,4.25,2.5,1.5,3.5,3.0,2.0,2.0,,,4.84,2.85,1.71,3.99,3.42,2.28,2.28,,12.32,16.93,9.36,6.15,16.73,13.03,10.95,9.97,,8.37,10.77,4.8,3.54,12.49,8.54,5.46,4.52,3.38,2.94,2.68,3.84,3.35,3.05,12.87,12.3,11.93,45.77,40.48,39.71,8.37,6.23,3.49,3.0,10.77,8.61,5.97,2.34,-22.28,-27.64,-41.54,28.21,8.37,-22.28
