股票代號,股票名稱,收盤價,收盤日,配股方式,近一年股利,近一年股利值利率,115現金股利,114現金股利,113現金股利,112現金股利,111現金股利,110現金股利,109現金股利,108現金股利,107現金股利,115殖利率,114殖利率,113殖利率,112殖利率,111殖利率,110殖利率,109殖利率,108殖利率,107殖利率,115ROE,114ROE,113ROE,112ROE,111ROE,110ROE,109ROE,108ROE,107ROE,115EPS_年度,114EPS_年度,113EPS_年度,112EPS_年度,111EPS_年度,110EPS_年度,109EPS_年度,108EPS_年度,107EPS_年度,近3年平均股息,近5年平均股息,近8年平均股息,近3年平均殖利率,近5年平均殖利率,近8年平均殖利率,近3年平均ROE,近5年平均ROE,近8年平均ROE,近3年平均配息率,近5年平均配息率,近8年平均配息率,114Q4_EPS,114Q3_EPS,114Q2_EPS,114Q1_EPS,113Q4_EPS,113Q3_EPS,113Q2_EPS,113Q1_EPS,114Q4_vs_113Q4_EPS差率,114Q3_vs_113Q3_EPS差率,114Q2_vs_113Q2_EPS差率,114Q1_vs_113Q1_EPS差率,近四季EPS總合,近四季_vs_前年度_EPS差率
1210,大成,53.1,2026-04-24,年配,3.0,5.65,,3.0,2.82844991,2.2223535,1.5,1.5,2.7,2.2,1.5,,5.65,5.33,4.19,2.82,2.82,5.08,4.14,2.82,,12.25,13.31,15.82,10.06,8.13,15.6,12.78,10.98,,4.33,4.21,4.81,2.59,2.32,3.99,2.93,2.75,2.68,2.21,2.18,5.06,4.16,4.11,13.79,11.91,12.37,60.89,61.05,62.82,4.33,2.67,1.74,1.05,4.21,2.94,1.94,1.0,2.85,-9.18,-10.31,5.0,4.33,2.85
1213,大飲,9.03,2026-04-24,年配,0.0,0.0,,,0.35,,,,,,,,,3.88,,,,,,,,-7.05,104.1,-46.77,-18.77,-19.31,-4.96,-7.37,-13.76,,-0.85,8.71,-2.45,-1.34,-1.67,-0.48,-0.76,-1.58,0.35,0.35,0.35,3.88,3.88,3.88,16.76,2.44,-1.74,4.02,4.02,4.02,-0.85,-0.65,-0.45,-0.23,8.71,-0.75,-0.43,-0.43,-109.76,13.33,-4.65,46.51,-0.85,-109.76
1215,卜蜂,140.0,2026-04-24,年配,7.0,5.0,,7.0,4.5,5.5,3.5,3.0,4.5,4.0,3.0,,5.0,3.21,3.93,2.5,2.14,3.21,2.86,2.14,,25.62,17.76,22.9,17.15,15.16,18.89,22.96,14.0,,10.39,6.55,7.7,5.28,5.06,6.18,5.46,3.55,5.67,4.7,4.38,4.05,3.36,3.12,22.09,19.72,19.3,69.17,66.62,70.46,10.39,7.94,4.95,2.38,6.55,4.27,2.53,1.25,58.63,85.95,95.65,90.4,10.39,58.63
1216,統一,71.5,2026-04-24,年配,3.0,4.2,,3.0,3.0,3.0,3.15,2.7,2.7,2.5,2.5,,4.2,4.2,4.2,4.41,3.78,3.78,3.5,3.5,,14.86,15.98,15.64,14.22,15.93,17.37,16.55,14.9,,3.45,3.64,3.23,3.02,3.5,3.79,3.35,3.07,3.0,2.97,2.82,4.2,4.16,3.95,15.49,15.33,15.68,87.42,88.74,83.88,3.45,2.93,1.88,0.91,3.64,3.09,2.01,0.97,-5.22,-5.18,-6.47,-6.19,3.45,-5.22
1217,愛之味,10.05,2026-04-24,年配,0.25,2.49,,0.25,0.37,0.23,0.4,0.3,,,,,2.49,3.68,2.29,3.98,2.99,,,,,2.59,3.82,2.89,3.86,3.05,3.75,1.03,1.01,,0.42,0.58,0.41,0.56,0.41,0.47,0.1,0.1,0.28,0.31,0.31,2.82,3.09,3.09,3.1,3.24,2.75,59.8,64.8,64.8,0.42,0.31,-0.05,-0.19,0.58,0.62,0.4,0.16,-27.59,-50.0,-112.5,-218.75,0.42,-27.59
1218,泰山,18.8,2026-04-24,季配,1.35,7.18,,1.32,1.35,,0.56985663,1.0,1.4,0.9,0.8,,7.02,7.18,,3.03,5.32,7.45,4.79,4.26,,6.03,5.96,-0.65,60.52,8.44,12.49,8.95,9.09,,1.59,1.53,-0.17,12.17,1.22,1.75,1.2,0.98,1.34,1.06,1.05,7.1,5.64,5.58,3.78,16.06,13.85,85.63,64.48,70.65,1.59,1.07,0.66,0.37,1.53,1.29,0.74,0.32,3.92,-17.05,-10.81,15.62,1.59,3.92
1219,福壽,13.6,2026-04-24,年配,0.5,3.68,,0.5,0.5,0.5,0.5,1.1,1.0,0.4,0.1,,3.68,3.68,3.68,3.68,8.09,7.35,2.94,0.74,,-0.01,2.33,7.32,6.86,6.31,13.45,3.64,-2.46,,0.45,0.53,0.94,1.0,1.0,1.91,0.63,-0.03,0.5,0.62,0.57,3.68,4.56,4.23,3.21,4.56,4.68,86.21,83.73,25.15,0.45,0.25,0.06,0.1,0.53,0.36,0.32,0.15,-15.09,-30.56,-81.25,-33.33,0.45,-15.09
1220,台榮,12.45,2026-04-24,年配,0.2,1.61,,0.2,0.7,0.4,0.2,1.0,1.0,0.6,0.46,,1.61,5.62,3.21,1.61,8.03,8.03,4.82,3.69,,1.65,9.07,6.35,2.85,8.1,7.55,5.72,4.69,,0.08,1.18,0.76,0.26,1.0,1.02,0.71,0.53,0.43,0.5,0.57,3.48,4.02,4.58,5.69,5.6,5.75,120.65,107.77,101.03,0.08,0.13,-0.11,-0.1,1.18,1.06,0.72,0.29,-93.22,-87.74,-115.28,-134.48,0.08,-93.22
1225,福懋油,31.5,2026-04-24,年配,1.0,3.17,,1.0,0.14,1.4,1.5,1.6,1.4,1.3,1.15,,3.17,0.44,4.44,4.76,5.08,4.44,4.13,3.65,,11.2,9.91,10.51,8.99,12.8,11.32,10.91,8.3,,1.62,1.5,1.6,1.69,2.07,1.72,1.55,1.17,0.85,1.13,1.19,2.68,3.58,3.76,10.54,10.68,10.49,52.85,64.92,73.52,1.62,1.12,0.8,0.38,1.5,1.2,0.9,0.31,8.0,-6.67,-11.11,22.58,1.62,8.0
1227,佳格,29.2,2026-04-24,年配,1.34,4.59,,1.34,1.4,1.25,1.29,1.9,2.5,2.65,2.5,,4.59,4.79,4.28,4.42,6.51,8.56,9.08,8.56,,6.56,9.9,7.14,6.85,13.71,18.62,20.94,19.11,,1.33,1.91,1.35,1.34,2.7,3.54,3.76,3.25,1.33,1.44,1.85,4.55,4.92,6.35,7.87,8.83,12.85,88.88,86.66,81.41,1.33,0.94,0.52,0.39,1.91,1.39,0.85,0.52,-30.37,-32.37,-38.82,-25.0,1.33,-30.37
