出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","1233","天仁","805449.00","1304105.00","2109554.00","510275.00","121395.00","631670.00","905919.00","45204.00","450611.00","74884.00","-2754.00","1473864.00","--","--","4020.00","1477884.00","0.00","0.00","60000.00","16.28"
"114/10/29","107","2","1234","黑松","8018199.00","15440509.00","23458708.00","3845170.00","2358863.00","6204033.00","4018711.00","184583.00","13113240.00","-61859.00","0.00","17254675.00","--","--","0.00","17254675.00","--","0.00","0.00","42.94"
"114/10/29","107","2","1235","興泰","5199480.00","1855682.00","7055162.00","1705633.00","54790.00","1760423.00","879603.00","41515.00","523788.00","3859786.00","-9953.00","5294739.00","--","--","0.00","5294739.00","--","0.00","1978138.00","90.22"
"114/10/29","107","2","1236","宏亞","570034.00","2139015.00","2709049.00","300685.00","551432.00","852117.00","1083425.00","33759.00","417833.00","321915.00","0.00","1856932.00","--","--","0.00","1856932.00","0.00","0.00","0.00","17.14"
"114/10/29","107","2","1256","鮮活果汁-KY","1468553.00","1071860.00","2540413.00","799134.00","141687.00","940821.00","307656.00","425602.00","861433.00","-29698.00","--","1564993.00","--","--","34599.00","1599592.00","--","0.00","0.00","50.87"
"114/10/29","107","2","1301","台塑","210656944.00","333227158.00","543884102.00","107912136.00","67135216.00","175047352.00","63657408.00","11709426.00","178201786.00","115268130.00","--","368836750.00","--","--","--","368836750.00","--","0.00","0.00","57.94"
"114/10/29","107","2","1303","南亞","248364305.00","354080952.00","602445257.00","127306075.00","91727113.00","219033188.00","79308216.00","26732673.00","199563169.00","66623880.00","--","372227938.00","--","--","11184131.00","383412069.00","0.00","0.00","0.00","46.93"
"114/10/29","107","2","1304","台聚","32267437.00","33837866.00","66105303.00","13897405.00","16231158.00","30128563.00","11887635.00","249575.00","6785790.00","85026.00","-475606.00","18532420.00","--","--","17444320.00","35976740.00","--","0.00","114181936.00","17.63"
"114/10/29","107","2","1305","華夏","6622591.00","6665944.00","13288535.00","2460820.00","2372051.00","4832871.00","5067596.00","8234.00","2904481.00","40509.00","--","8020820.00","--","--","434844.00","8455664.00","0.00","0.00","0.00","16.30"
"114/10/29","107","2","1307","三芳","7837302.00","6788307.00","14625609.00","3751418.00","2827635.00","6579053.00","3978181.00","140028.00","3968356.00","-40009.00","--","8046556.00","--","--","--","8046556.00","--","0.00","0.00","20.23"
"114/10/29","107","2","1308","亞聚","5446293.00","9553079.00","14999372.00","2475906.00","2742062.00","5217968.00","5543827.00","16434.00","3972930.00","248213.00","0.00","9781404.00","0.00","--","--","9781404.00","0.00","0.00","0.00","18.88"
"114/10/29","107","2","1309","台達化","6021599.00","3387783.00","9409382.00","3696642.00","1457451.00","5154093.00","3276518.00","765.00","897039.00","80967.00","--","4255289.00","--","--","--","4255289.00","0.00","0.00","0.00","12.99"
"114/10/29","107","2","1310","台苯","4407770.00","6651653.00","11059423.00","3040480.00","637384.00","3677864.00","5278698.00","68142.00","2021245.00","-249030.00","--","7119055.00","--","--","262504.00","7381559.00","--","0.00","0.00","13.49"
"114/10/29","107","2","1312","國喬","11260131.00","19115159.00","30375290.00","3943914.00","1391236.00","5335150.00","9266203.00","177444.00","11421497.00","1328656.00","-55577.00","22138223.00","--","--","2901917.00","25040140.00","--","0.00","2023473.00","23.94"
"114/10/29","107","2","1313","聯成","21143262.00","25794201.00","46937463.00","16210568.00","9480064.00","25690632.00","12939216.00","1263279.00","4765925.00","2469712.00","-191301.00","21246831.00","--","--","--","21246831.00","0.00","0.00","20000000.00","18.01"
"114/10/29","107","2","1314","中石化","20179234.00","65332932.00","85512166.00","4562405.00","15060956.00","19623361.00","26998573.00","1260386.00","38402603.00","-1054821.00","--","65606741.00","--","--","282064.00","65888805.00","--","0.00","0.00","24.30"
"114/10/29","107","2","1315","達新","4708032.00","5698609.00","10406641.00","1466398.00","905691.00","2372089.00","1980000.00","88312.00","3516635.00","2557291.00","-118879.00","8023359.00","0.00","--","11193.00","8034552.00","0.00","0.00","7137000.00","42.04"
"114/10/29","107","2","1316","上曜","3522047.00","1062250.00","4584297.00","1908900.00","27020.00","1935920.00","1289910.00","96607.00","257770.00","167125.00","-138215.00","1673197.00","0.00","--","975180.00","2648377.00","0.00","0.00","16118800.00","14.82"
"114/10/29","107","2","1319","東陽","9961038.00","28131813.00","38092851.00","9520664.00","7262316.00","16782980.00","5914771.00","4149368.00","10248187.00","33551.00","--","20345877.00","--","--","963994.00","21309871.00","--","0.00","0.00","34.40"
"114/10/29","107","2","1321","大洋","1917704.00","9926744.00","11844448.00","1112134.00","5293209.00","6405343.00","2272283.00","7792.00","2739898.00","455321.00","-36189.00","5439105.00","--","--","--","5439105.00","0.00","0.00","6542716.00","24.65"
