出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,按攤銷後成本衡量之債務工具投資,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","107","3","2801","彰銀","39841837.00","181113467.00","11917830.00","99532361.00","215841.00","253448208.00","--","31988454.00","14461.00","--","--","1368160468.00","0.00","0.00","--","--","57491150.00","20620294.00","13743307.00","339978.00","3510116.00","1091701.00","2083029473.00","113711658.00","--","12147889.00","--","10659008.00","42282957.00","127426.00","--","1683082828.00","46518342.00","--","--","4253268.00","5007098.00","7325434.00","3310848.00","1928426756.00","97895207.00","--","52846831.00","3860679.00","0.00","--","--","--","--","154602717.00","--","0.00","0.00","15.79"
"114/10/29","107","3","2812","台中銀","14931598.00","30528394.00","28136764.00","30461637.00","0.00","96475619.00","6068272.00","13852451.00","1785.00","0.00","0.00","448159448.00","0.00","0.00","155882.00","327354.00","21606.00","9389163.00","90973.00","164325.00","824533.00","2063734.00","681653538.00","14325033.00","5541420.00","315597.00","0.00","8402512.00","13215715.00","223887.00","0.00","572049454.00","18500000.00","0.00","0.00","1137747.00","1393306.00","111021.00","1028368.00","636244060.00","33755084.00","684156.00","10225190.00","745048.00","0.00","45409478.00","0.00","--","0.00","45409478.00","0.00","0.00","0.00","13.45"
"114/10/29","107","3","2820","華票","249501.00","0.00","90540731.00","100912603.00","--","--","2770305.00","1744924.00","309153.00","--","--","--","0.00","0.00","--","--","549150.00","151402.00","--","--","104355.00","68407.00","197400531.00","20001391.00","--","1468.00","--","149768163.00","1006295.00","8061.00","--","--","--","--","--","1999499.00","1404781.00","5576.00","99967.00","174295201.00","13429600.00","4113.00","9212531.00","459086.00","--","--","--","--","--","23105330.00","--","0.00","0.00","17.20"
"114/10/29","107","3","2834","臺企銀","47917393.00","85210407.00","10616376.00","75767942.00","--","248955782.00","20230414.00","34104468.00","91758.00","--","--","1075661227.00","0.00","0.00","--","--","92672.00","14171388.00","--","246271.00","1578687.00","2900037.00","1617544822.00","83079882.00","382210.00","9239001.00","--","1472018.00","51271736.00","724310.00","--","1325973743.00","47450000.00","--","--","8470013.00","3369167.00","880169.00","1627389.00","1533939638.00","63938802.00","0.00","16520815.00","3145567.00","0.00","83605184.00","0.00","--","0.00","83605184.00","0.00","0.00","0.00","13.08"
"114/10/29","107","3","2836","高雄銀","3029735.00","11265998.00","391247.00","20440818.00","--","45017962.00","9855897.00","1088682.00","33752.00","--","--","175477385.00","0.00","0.00","0.00","--","20016.00","2903852.00","--","126198.00","281363.00","189115.00","270122020.00","8146906.00","--","242830.00","--","10778209.00","4763249.00","0.00","--","224896880.00","6300000.00","--","--","638.00","383982.00","--","120531.00","255633225.00","10403431.00","1487157.00","2411577.00","186630.00","--","--","--","--","--","14488795.00","0.00","0.00","0.00","13.93"
"114/10/29","107","3","2838","聯邦銀","11621831.00","20899869.00","33221152.00","36423717.00","--","94489284.00","37504183.00","19078452.00","76384.00","--","--","330234904.00","0.00","0.00","1632847.00","--","2810896.00","8019151.00","5296617.00","2150329.00","872259.00","8076891.00","612408766.00","11975491.00","--","275182.00","--","44971615.00","7630996.00","52336.00","--","477238684.00","9700000.00","1432878.00","--","4166420.00","304693.00","1297663.00","2958755.00","562004713.00","28900129.00","8032413.00","10829083.00","2393852.00","--","50155477.00","--","--","248576.00","50404053.00","--","0.00","0.00","17.35"
"114/10/29","107","3","2845","遠東銀","7381730.00","43888018.00","37713755.00","116033591.00","--","2571272.00","2849225.00","22350598.00","2210.00","196256.00","--","389118168.00","0.00","0.00","1772008.00","--","5196400.00","2693387.00","--","1705973.00","551174.00","188680.00","634212445.00","13714914.00","--","3148209.00","--","9220137.00","9481051.00","220208.00","--","517635508.00","21501900.00","--","--","13565575.00","1182596.00","--","510271.00","590180369.00","32691859.00","456426.00","10891721.00","-7930.00","--","44032076.00","--","--","--","44032076.00","--","0.00","0.00","13.47"
"114/10/29","107","3","2849","安泰銀","3424124.00","14225224.00","18212601.00","39624811.00","--","38027597.00","391584.00","5178144.00","55385.00","0.00","--","190423389.00","0.00","0.00","--","--","52403.00","765513.00","--","190265.00","1107699.00","1346116.00","313024855.00","7103590.00","--","589506.00","--","3485667.00","2296476.00","--","--","263946426.00","0.00","--","396053.00","2014837.00","430651.00","77999.00","138601.00","280479806.00","17353240.00","1441228.00","13425532.00","325049.00","--","--","--","--","--","32545049.00","--","0.00","0.00","18.75"
"114/10/29","107","3","2897","王道銀行","8029528.00","27846533.00","140870916.00","153532738.00","--","499911.00","2970543.00","20775623.00","401326.00","--","--","196129041.00","0.00","0.00","--","--","985803.00","2938059.00","--","2455429.00","607052.00","1259226.00","559301728.00","58101637.00","--","1106642.00","--","153722301.00","5081898.00","148457.00","--","251158210.00","21200000.00","--","--","18371969.00","1900306.00","317159.00","2213713.00","513322292.00","24130063.00","8524.00","4946400.00","-84987.00","--","29000000.00","--","--","16979436.00","45979436.00","--","0.00","0.00","12.02"
"114/10/29","107","3","5876","上海商銀","70365291.00","211840511.00","14198240.00","401643697.00","--","95868572.00","144875.00","20895984.00","197906.00","--","--","1005598124.00","0.00","0.00","1573700.00","--","860.00","21489205.00","5457708.00","1478132.00","1192611.00","3313570.00","1855258986.00","57422943.00","--","2062314.00","--","25306706.00","31552165.00","2375139.00","--","1486492676.00","57723924.00","--","--","4099869.00","2312427.00","9087094.00","3868985.00","1682304242.00","40791031.00","5351666.00","75562752.00","5850614.00","-83144.00","127472919.00","--","--","45481825.00","172954744.00","--","11397439.00","0.00","31.34"
