出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","1240","茂生農經","907783.00","701817.00","1609600.00","575850.00","28369.00","604219.00","300580.00","13794.00","243169.00","447838.00","--","--","--","--","--","1005381.00","--","0.00","0.00","33.45"
"114/10/29","107","2","1259","安心","2383409.00","625206.00","3008615.00","1255596.00","26461.00","1282057.00","323895.00","809816.00","587699.00","-20756.00","-10123.00","1690531.00","--","--","36027.00","1726558.00","0.00","0.00","117000.00","52.38"
"114/10/29","107","2","1264","德麥","2380167.00","883727.00","3263894.00","714454.00","64122.00","778576.00","336960.00","706936.00","1033747.00","-24457.00","--","2053186.00","--","--","432132.00","2485318.00","0.00","0.00","0.00","60.93"
"114/10/29","107","2","1268","漢來美食","2045591.00","1156653.00","3202244.00","1342227.00","78958.00","1421185.00","392737.00","1005854.00","335843.00","46625.00","--","1781059.00","--","--","--","1781059.00","--","0.00","0.00","46.71"
"114/10/29","107","2","1336","台翰","1124810.00","1298023.00","2422833.00","797658.00","30834.00","828492.00","831934.00","754949.00","67144.00","-59686.00","--","1594341.00","--","--","--","1594341.00","--","0.00","0.00","19.16"
"114/10/29","107","2","1565","精華","5085674.00","4252538.00","9338212.00","3415469.00","957654.00","4373123.00","504165.00","526000.00","3934014.00","910.00","--","4965089.00","--","--","--","4965089.00","0.00","0.00","0.00","98.48"
"114/10/29","107","2","1569","濱川","3086601.00","3071642.00","6158243.00","2481938.00","923184.00","3405122.00","1127133.00","1039658.00","545372.00","-65335.00","--","2646828.00","--","--","106293.00","2753121.00","0.00","0.00","0.00","23.48"
"114/10/29","107","2","1570","力肯","657499.00","243184.00","900683.00","208220.00","6522.00","214742.00","515008.00","0.00","172871.00","-1938.00","--","685941.00","--","--","0.00","685941.00","0.00","0.00","0.00","13.32"
"114/10/29","107","2","1580","新麥","2321950.00","915849.00","3237799.00","1226844.00","152096.00","1378940.00","502302.00","74943.00","1292817.00","-68039.00","--","1802023.00","--","--","56836.00","1858859.00","--","0.00","0.00","37.13"
"114/10/29","107","2","1584","精剛","774561.00","1440266.00","2214827.00","711194.00","554056.00","1265250.00","824705.00","286822.00","-85995.00","-117861.00","--","907671.00","--","--","41906.00","949577.00","--","0.00","0.00","11.01"
"114/10/29","107","2","1586","和勤","2015484.00","1150186.00","3165670.00","1603462.00","134309.00","1737771.00","764888.00","512309.00","321705.00","-56548.00","-114455.00","1427899.00","--","--","--","1427899.00","--","0.00","3000000.00","19.63"
"114/10/29","107","2","1591","駿吉-KY","296839.00","366967.00","663806.00","218203.00","47304.00","265507.00","331648.00","22159.00","157996.00","-113504.00","--","398299.00","--","--","0.00","398299.00","0.00","0.00","0.00","12.01"
"114/10/29","107","2","1593","祺驊","743212.00","318997.00","1062209.00","258336.00","7260.00","265596.00","319484.00","285787.00","223722.00","-38298.00","0.00","790695.00","--","--","5918.00","796613.00","0.00","0.00","0.00","24.75"
"114/10/29","107","2","1595","川寶","2652283.00","1148617.00","3800900.00","1090985.00","383265.00","1474250.00","471481.00","545756.00","1315348.00","-5935.00","--","2326650.00","--","--","--","2326650.00","--","0.00","0.00","49.35"
"114/10/29","107","2","1599","宏佳騰","1460456.00","806620.00","2267076.00","888416.00","30251.00","918667.00","620025.00","487161.00","357899.00","-32096.00","-84580.00","1348409.00","--","--","--","1348409.00","0.00","0.00","1985000.00","22.47"
"114/10/29","107","2","1742","台蠟","508129.00","428152.00","936281.00","281712.00","51757.00","333469.00","550500.00","23080.00","34285.00","6381.00","-11434.00","602812.00","--","--","--","602812.00","0.00","0.00","598000.00","11.07"
