出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","2880","華南金","52706403.00","179420764.00","87543791.00","0.00","182747701.00","420281078.00","0.00","409651.00","56516668.00","542061.00","--","--","1590264840.00","4157349.00","0.00","58134.00","--","19454745.00","10126814.00","32416896.00","583755.00","3068724.00","2778987.00","2643078361.00","101404538.00","--","6142000.00","1108.00","49591770.00","22421073.00","53514907.00","1555618.00","--","2121199714.00","64637734.00","2789000.00","--","20208984.00","13991367.00","6099615.00","11677000.00","2475234428.00","115436133.00","17758986.00","30619287.00","4027494.00","--","--","167841900.00","2033.00","167843933.00","--","0.00","0.00","15.19"
"114/10/29","107","2","2881","富邦金","162261927.00","230652328.00","912499367.00","0.00","822182564.00","2417060516.00","4626433.00","57451262.00","180532237.00","529059.00","47754.00","--","1775491053.00","21191973.00","0.00","27911495.00","--","222873765.00","176526858.00","57408345.00","28249512.00","21873316.00","69468878.00","7188838642.00","168560900.00","2899167.00","101991434.00","3937194.00","186496140.00","10736611.00","135431736.00","9717293.00","--","2227728133.00","191547481.00","6279357.00","--","3385569793.00","196556190.00","10940169.00","44543940.00","6682935538.00","115002640.00","136979037.00","266940934.00","-13335498.00","--","--","505587113.00","315991.00","505903104.00","0.00","0.00","0.00","43.96"
"114/10/29","107","2","2882","國泰金","309655895.00","109711078.00","1423426036.00","0.00","1149474661.00","2496164317.00","217899.00","109042261.00","189220327.00","2536508.00","--","--","2119649909.00","7781759.00","0.00","42829463.00","--","583446775.00","319005665.00","165211367.00","54793271.00","39100999.00","87977919.00","9209246109.00","91802507.00","--","167696630.00","--","105689690.00","53847245.00","92897195.00","6869180.00","--","2121960307.00","90600000.00","218389.00","--","5177374930.00","654949610.00","28014899.00","17654575.00","8609575157.00","140965102.00","165452143.00","276958638.00","7114564.00","--","--","590490447.00","9180505.00","599670952.00","--","0.00","0.00","41.89"
"114/10/29","107","2","2883","凱基金","72988044.00","31087128.00","402915728.00","0.00","447197374.00","905571036.00","--","57444637.00","118147374.00","821578.00","--","--","363591273.00","567242.00","0.00","16477145.00","44740227.00","92608497.00","25293174.00","31199805.00","21620213.00","12317349.00","55835245.00","2700423069.00","34237060.00","--","123527547.00","--","138257733.00","23360687.00","104070264.00","1484257.00","--","407176069.00","24800000.00","30323783.00","--","1440860134.00","109195535.00","7427295.00","25600480.00","2470320844.00","149572949.00","1240569.00","20264903.00","-6505421.00","-3861394.00","--","160711606.00","69390619.00","230102225.00","--","0.00","479215700.00","11.10"
"114/10/29","107","2","2884","玉山金","50342321.00","68948408.00","462607884.00","0.00","157490081.00","4337284.00","--","--","106098425.00","12051.00","--","--","1262911423.00","--","0.00","--","--","8541868.00","2012592.00","28294202.00","6015429.00","990285.00","7511797.00","2166114050.00","98311947.00","--","52152821.00","--","11111595.00","6607986.00","38933846.00","1031578.00","--","1744576147.00","45550000.00","366163.00","--","877012.00","9294475.00","2042112.00","2305576.00","2013161258.00","108289000.00","24710706.00","18924688.00","923343.00","--","--","152847737.00","105055.00","152952792.00","--","0.00","0.00","15.01"
"114/10/29","107","2","2885","元大金","54871306.00","47725861.00","506296778.00","0.00","237859597.00","327710205.00","--","32290897.00","183709403.00","813450.00","0.00","--","755338054.00","393210.00","0.00","1759805.00","2415060.00","47562572.00","5020898.00","22512240.00","35496412.00","5847685.00","40984743.00","2308608176.00","25545134.00","--","109478792.00","--","208166030.00","68853418.00","173703330.00","5034944.00","0.00","1037092446.00","60418764.00","71266194.00","0.00","208595746.00","69524927.00","3921548.00","38948179.00","2080549452.00","118202325.00","37710996.00","52506844.00","4541001.00","-2116607.00","--","210844559.00","17214165.00","228058724.00","0.00","0.00","149621000.00","18.07"
"114/10/29","107","2","2886","兆豐金","100346842.00","499939421.00","200975765.00","0.00","446166696.00","283529859.00","--","10724573.00","102732196.00","848032.00","--","--","1835786645.00","4128887.00","0.00","3230494.00","--","3444336.00","1836418.00","21873171.00","402612.00","7297764.00","4583373.00","3527847084.00","338408824.00","48149527.00","26299695.00","--","232192786.00","13496543.00","86606848.00","10170042.00","--","2392721826.00","23599698.00","3041525.00","--","26887047.00","13961170.00","2434248.00","7646115.00","3225615894.00","135998240.00","68194233.00","90867106.00","7142419.00","0.00","0.00","302201998.00","29192.00","302231190.00","--","0.00","0.00","22.22"
"114/10/29","107","2","2887","台新新光金","19761557.00","68085966.00","120338515.00","0.00","303831820.00","7600.00","--","903217.00","156450939.00","364615.00","--","--","991874672.00","--","0.00","38829061.00","--","7069149.00","765183.00","18889282.00","2267649.00","3150015.00","16623577.00","1749212817.00","54099381.00","--","42117687.00","--","90750355.00","16800231.00","40156504.00","1870141.00","--","1216363114.00","61700000.00","11755338.00","--","1662334.00","52786651.00","226152.00","4129815.00","1594417703.00","111498028.00","25828163.00","17118461.00","216701.00","--","--","154661353.00","133761.00","154795114.00","--","92000.00","0.00","14.45"
"114/10/29","107","2","2889","國票金","2713705.00","50372.00","121686640.00","0.00","103730496.00","--","--","1390042.00","24926735.00","224062.00","--","--","--","--","--","1655796.00","--","4711542.00","--","1841082.00","220521.00","157438.00","1021568.00","264329999.00","--","34366391.00","359466.00","--","165246564.00","12851638.00","11972644.00","276617.00","--","--","--","--","--","1527601.00","2000097.00","30251.00","422907.00","229054176.00","28198659.00","122240.00","2834683.00","645672.00","-158123.00","--","31643131.00","3632692.00","35275823.00","0.00","0.00","20000000.00","11.44"
"114/10/29","107","2","2890","永豐金","26895906.00","81325798.00","121671401.00","0.00","238577061.00","79439937.00","--","23177579.00","86547956.00","326818.00","--","--","880440674.00","--","0.00","444762.00","--","35395716.00","2614662.00","12611985.00","2309664.00","2340885.00","21257177.00","1615377981.00","53634753.00","--","27308959.00","0.00","62209513.00","50364998.00","43551738.00","1029650.00","--","1137098764.00","42680788.00","13478093.00","18437.00","3296321.00","31261169.00","1458669.00","9875138.00","1477266990.00","112710541.00","2228771.00","22721596.00","446557.00","--","--","138107465.00","3526.00","138110991.00","--","0.00","0.00","12.50"
"114/10/29","107","2","2891","中信金","113026717.00","266666653.00","346121032.00","0.00","410320269.00","1615587089.00","148808.00","10849931.00","192939443.00","1560667.00","--","--","2268302128.00","2694272.00","0.00","34517617.00","--","74141739.00","57686897.00","53120859.00","23800710.00","14853529.00","57674273.00","5544012633.00","59834742.00","16957916.00","118068280.00","453506.00","56273699.00","17696022.00","105888121.00","4574993.00","--","3076643805.00","110833235.00","--","--","1464222860.00","181933919.00","2258821.00","15612658.00","5231252577.00","198303196.00","50368539.00","89008040.00","-25000524.00","0.00","--","312679251.00","80805.00","312760056.00","0.00","0.00","0.00","15.77"
"114/10/29","107","2","2892","第一金","54521789.00","266117360.00","150794102.00","0.00","205579950.00","406118162.00","--","200008.00","83720231.00","509726.00","--","--","1631560959.00","18428.00","0.00","2470040.00","--","23839956.00","9498180.00","27140191.00","379592.00","2618238.00","4555496.00","2869642408.00","223498398.00","69932.00","34957994.00","--","13826921.00","16944821.00","105929597.00","1638687.00","--","2146084263.00","30150000.00","1100000.00","--","24899662.00","60146528.00","6584112.00","6070706.00","2671901621.00","123385572.00","26107218.00","35223298.00","13024699.00","0.00","--","197740787.00","0.00","197740787.00","0.00","0.00","0.00","16.19"
"114/10/29","107","2","5880","合庫金","59967314.00","281988848.00","67655657.00","0.00","292098625.00","513973016.00","--","798397.00","35792412.00","1509199.00","--","--","2087036250.00","18902.00","0.00","124198.00","--","119974930.00","8774147.00","34157342.00","3536317.00","1879310.00","4286567.00","3513571431.00","262745757.00","--","17511785.00","--","39327825.00","18845751.00","59517519.00","1061799.00","--","2699186249.00","54610000.00","2184169.00","--","49831837.00","97431128.00","3647532.00","1719447.00","3307620798.00","125687847.00","57964343.00","15110400.00","3002325.00","--","--","201764915.00","4185718.00","205950633.00","--","0.00","0.00","16.53"
