出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","2855","統一證","79035548.00","5345138.00","84380686.00","58870368.00","49114.00","58919482.00","13904281.00","142702.00","10804283.00","547579.00","--","25398845.00","--","--","62359.00","25461204.00","0.00","0.00","0.00","18.27"
"114/10/29","107","2","6005","群益證","118524196.00","15369386.00","133893582.00","95164294.00","3567899.00","98732193.00","23209081.00","2852299.00","6251871.00","728023.00","0.00","33041274.00","--","--","2120115.00","35161389.00","0.00","0.00","0.00","15.23"
"114/10/29","107","2","6024","群益期","35162530.00","485561.00","35648091.00","30826097.00","16728.00","30842825.00","1764376.00","1047338.00","2001653.00","-36348.00","--","4777019.00","--","--","28247.00","4805266.00","--","0.00","0.00","29.78"
