出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","4","1240","茂生農經","953429.00","662222.00","1615651.00","420673.00","27291.00","447964.00","330000.00","134278.00","297396.00","406013.00","--","--","--","--","--","1167687.00","--","0.00","0.00","35.38"
"114/10/29","107","4","1259","安心","2358449.00","591859.00","2950308.00","1136192.00","25260.00","1161452.00","323895.00","809816.00","661867.00","-21260.00","-10123.00","1764195.00","--","--","24661.00","1788856.00","0.00","0.00","117000.00","54.67"
"114/10/29","107","4","1264","德麥","2371864.00","907109.00","3278973.00","484139.00","51848.00","535987.00","336960.00","706936.00","1268299.00","-33186.00","--","2279009.00","--","--","463977.00","2742986.00","0.00","0.00","0.00","67.63"
"114/10/29","107","4","1268","漢來美食","1628012.00","1148607.00","2776619.00","1196537.00","82917.00","1279454.00","373707.00","958747.00","230666.00","-145.00","-65810.00","1497165.00","--","--","--","1497165.00","--","0.00","500000.00","40.61"
"114/10/29","107","4","1336","台翰","1116771.00","1391103.00","2507874.00","824574.00","20574.00","845148.00","841524.00","762908.00","123609.00","-65155.00","-160.00","1662726.00","--","--","--","1662726.00","--","0.00","12000.00","19.76"
"114/10/29","107","4","1565","精華","4462217.00","4284753.00","8746970.00","2062215.00","878954.00","2941169.00","504165.00","526000.00","4774037.00","1599.00","--","5805801.00","--","--","--","5805801.00","0.00","0.00","0.00","115.16"
"114/10/29","107","4","1569","濱川","3251397.00","3064501.00","6315898.00","2694534.00","893467.00","3588001.00","1127133.00","1039658.00","570750.00","-118333.00","--","2619208.00","--","--","108689.00","2727897.00","--","0.00","0.00","23.24"
"114/10/29","107","4","1570","力肯","645428.00","240666.00","886094.00","143461.00","7175.00","150636.00","515008.00","--","222930.00","-2480.00","--","735458.00","--","--","0.00","735458.00","0.00","0.00","0.00","14.28"
"114/10/29","107","4","1580","新麥","2209816.00","1022151.00","3231967.00","933670.00","179822.00","1113492.00","502302.00","75738.00","1586294.00","-101655.00","--","2062679.00","--","--","55796.00","2118475.00","0.00","0.00","0.00","41.06"
"114/10/29","107","4","1584","精剛","634612.00","1392900.00","2027512.00","660772.00","485372.00","1146144.00","824705.00","286822.00","-114256.00","-153889.00","--","843382.00","--","--","37986.00","881368.00","--","0.00","0.00","10.23"
"114/10/29","107","4","1586","和勤","1876446.00","1224959.00","3101405.00","1511295.00","154441.00","1665736.00","764888.00","512998.00","365331.00","-87006.00","-120542.00","1435669.00","--","--","--","1435669.00","--","0.00","3242000.00","19.60"
"114/10/29","107","4","1591","駿吉-KY","364197.00","365297.00","729494.00","268231.00","38810.00","307041.00","331648.00","22159.00","192180.00","-123534.00","--","422453.00","--","--","0.00","422453.00","0.00","0.00","0.00","12.74"
"114/10/29","107","4","1593","祺驊","754474.00","339004.00","1093478.00","187425.00","7192.00","194617.00","319484.00","285787.00","305767.00","-18660.00","0.00","892378.00","--","--","6483.00","898861.00","0.00","0.00","0.00","27.93"
"114/10/29","107","4","1595","川寶","2472485.00","1155515.00","3628000.00","884248.00","322169.00","1206417.00","471481.00","545756.00","1422066.00","-7240.00","-10480.00","2421583.00","--","--","--","2421583.00","0.00","0.00","222000.00","51.60"
"114/10/29","107","4","1599","宏佳騰","1422084.00","782273.00","2204357.00","660298.00","33059.00","693357.00","620025.00","487161.00","563914.00","-38850.00","-121250.00","1511000.00","--","--","--","1511000.00","0.00","0.00","2956000.00","25.59"
"114/10/29","107","4","1742","台蠟","647936.00","469043.00","1116979.00","498205.00","42015.00","540220.00","550500.00","23080.00","8356.00","6257.00","-11434.00","576759.00","--","--","0.00","576759.00","0.00","0.00","598000.00","10.59"
"114/10/29","107","4","1777","生泰","1112443.00","712251.00","1824694.00","689156.00","36694.00","725850.00","300595.00","314322.00","486132.00","-2205.00","--","--","--","--","--","1098844.00","0.00","0.00","0.00","36.56"
"114/10/29","107","4","1781","合世","359877.00","236359.00","596236.00","243441.00","2205.00","245646.00","474076.00","0.00","-111433.00","-12053.00","--","350590.00","--","--","--","350590.00","0.00","0.00","0.00","7.40"
"114/10/29","107","4","1784","訊聯","789439.00","993826.00","1783265.00","188142.00","254944.00","443086.00","496269.00","613147.00","39357.00","-6165.00","-41940.00","1100668.00","--","--","239511.00","1340179.00","0.00","0.00","1642000.00","22.94"
"114/10/29","107","4","1785","光洋科","11450184.00","8382002.00","19832186.00","12997703.00","1664715.00","14662418.00","3984312.00","620004.00","508956.00","-126403.00","0.00","4986869.00","--","--","182899.00","5169768.00","0.00","0.00","0.00","12.52"
"114/10/29","107","4","1788","杏昌","2072618.00","896604.00","2969222.00","1294107.00","34105.00","1328212.00","350000.00","658219.00","635289.00","-2498.00","--","1641010.00","--","--","0.00","1641010.00","0.00","0.00","0.00","46.89"
"114/10/29","107","4","1796","金穎生技","283310.00","273894.00","557204.00","88175.00","52514.00","140689.00","277954.00","106672.00","34198.00","-2309.00","--","416515.00","--","--","--","416515.00","0.00","0.00","0.00","14.99"
"114/10/29","107","4","1799","易威","377987.00","629629.00","1007616.00","210565.00","3489.00","214054.00","988427.00","12560.00","-292895.00","8584.00","--","716676.00","--","--","76886.00","793562.00","--","0.00","0.00","7.25"
"114/10/29","107","4","1813","寶利徠","423413.00","738980.00","1162393.00","125058.00","19837.00","144895.00","466355.00","263085.00","227108.00","-8607.00","--","947941.00","--","--","69557.00","1017498.00","0.00","0.00","0.00","20.33"
"114/10/29","107","4","1815","富喬","3790704.00","10675341.00","14466045.00","1906722.00","5202864.00","7109586.00","4287844.00","1805588.00","1607483.00","-281635.00","-62821.00","7356459.00","--","--","--","7356459.00","--","0.00","5000000.00","17.36"
"114/10/29","107","4","2035","唐榮公司","4679857.00","14262897.00","18942754.00","4594915.00","9604991.00","14199906.00","3500000.00","46.00","1121165.00","121637.00","0.00","--","--","--","--","4742848.00","--","0.00","0.00","13.55"
"114/10/29","107","4","2061","風青","771336.00","225498.00","996834.00","384235.00","14625.00","398860.00","586609.00","926.00","16087.00","-2588.00","-3060.00","597974.00","--","--","--","597974.00","0.00","0.00","316000.00","10.25"
"114/10/29","107","4","2063","世鎧","950363.00","643497.00","1593860.00","681874.00","168257.00","850131.00","450000.00","28778.00","265620.00","-669.00","--","743729.00","--","--","--","743729.00","0.00","0.00","0.00","16.53"
"114/10/29","107","4","2064","晉椿","1709619.00","1554491.00","3264110.00","1583665.00","300740.00","1884405.00","700000.00","101974.00","591844.00","-15185.00","--","1378633.00","--","--","1072.00","1379705.00","0.00","0.00","0.00","19.69"
"114/10/29","107","4","2065","世豐","678383.00","766690.00","1445073.00","368707.00","45975.00","414682.00","326792.00","219191.00","358988.00","125420.00","0.00","--","--","--","--","1030391.00","0.00","0.00","0.00","31.53"
"114/10/29","107","4","2066","世德","2318477.00","657060.00","2975537.00","1614500.00","254144.00","1868644.00","365029.00","38699.00","695480.00","-1666.00","-19435.00","1078107.00","--","--","28786.00","1106893.00","0.00","0.00","247000.00","29.74"
"114/10/29","107","4","2067","嘉鋼","758607.00","664033.00","1422640.00","642661.00","210626.00","853287.00","451382.00","23641.00","64119.00","-8623.00","--","530519.00","--","--","38834.00","569353.00","--","0.00","0.00","11.75"
"114/10/29","107","4","2070","精湛","991293.00","594130.00","1585423.00","466268.00","152126.00","618394.00","367828.00","167124.00","448913.00","-16836.00","--","967029.00","--","--","--","967029.00","0.00","0.00","0.00","26.29"
"114/10/29","107","4","2221","大甲","970298.00","470049.00","1440347.00","403062.00","235501.00","638563.00","424250.00","52135.00","299125.00","-1175.00","-1573.00","772762.00","0.00","--","29022.00","801784.00","0.00","0.00","100000.00","18.26"
"114/10/29","107","4","2230","泰茂","635674.00","340738.00","976412.00","444713.00","49816.00","494529.00","396173.00","50582.00","48001.00","-12873.00","--","481883.00","--","--","0.00","481883.00","--","0.00","0.00","12.16"
"114/10/29","107","4","2235","謚源","497683.00","1066257.00","1563940.00","254549.00","9818.00","264367.00","358780.00","497802.00","442991.00","--","--","--","--","--","--","1299573.00","--","0.00","0.00","36.22"
"114/10/29","107","4","2596","綠意","2450435.00","195263.00","2645698.00","181370.00","--","181370.00","1000000.00","189208.00","901615.00","0.00","--","2090823.00","--","--","373505.00","2464328.00","--","0.00","0.00","20.91"
"114/10/29","107","4","2640","大車隊","960913.00","1585617.00","2546530.00","872972.00","295726.00","1168698.00","511953.00","451275.00","420342.00","-7381.00","--","1376189.00","--","--","1643.00","1377832.00","--","0.00","0.00","26.88"
"114/10/29","107","4","2641","正德","241909.00","4147899.00","4389808.00","626820.00","2195708.00","2822528.00","1511246.00","7274.00","81255.00","-32495.00","--","1567280.00","--","--","--","1567280.00","0.00","0.00","0.00","10.37"
"114/10/29","107","4","2643","捷迅","982565.00","155847.00","1138412.00","418949.00","80136.00","499085.00","262300.00","72277.00","305426.00","-676.00","--","639327.00","--","--","--","639327.00","--","0.00","0.00","24.37"
"114/10/29","107","4","2718","全心投控","1080125.00","520220.00","1600345.00","915938.00","115511.00","1031449.00","226644.00","82609.00","261278.00","-1635.00","--","--","--","--","--","568896.00","0.00","52017.00","0.00","25.14"
"114/10/29","107","4","2719","燦星旅","527562.00","70059.00","597621.00","416668.00","619.00","417287.00","362920.00","0.00","-177919.00","-616.00","-4051.00","180334.00","--","--","--","180334.00","0.00","0.00","228000.00","5.00"
