出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","3","1101","台泥","102799758.00","205569803.00","308369561.00","62799418.00","59918818.00","122718236.00","51080599.00","38546478.00","54267913.00","26446314.00","-218166.00","170123138.00","--","--","15528187.00","185651325.00","--","0.00","6000000.00","33.34"
"114/10/29","107","3","1102","亞泥","77813852.00","199296056.00","277109908.00","67123097.00","51921314.00","119044411.00","33614472.00","1360202.00","101161120.00","2082107.00","--","138217901.00","--","--","19847596.00","158065497.00","--","0.00","0.00","41.12"
"114/10/29","107","3","1103","嘉泥","11158180.00","21409276.00","32567456.00","2073517.00","7835606.00","9909123.00","7747805.00","703509.00","9855079.00","3568107.00","-1149426.00","20725074.00","--","--","1933259.00","22658333.00","--","0.00","131226016.00","32.20"
"114/10/29","107","3","1104","環泥","4027473.00","18295782.00","22323255.00","3174803.00","1323605.00","4498408.00","6536092.00","40862.00","10265137.00","867020.00","--","17709111.00","--","--","115736.00","17824847.00","--","0.00","0.00","27.09"
"114/10/29","107","3","1108","幸福","5164841.00","2067185.00","7232026.00","1510758.00","1344702.00","2855460.00","4047380.00","8.00","310548.00","-4822.00","0.00","4353114.00","--","--","23452.00","4376566.00","--","0.00","0.00","10.76"
"114/10/29","107","3","1109","信大","3337941.00","5655375.00","8993316.00","1323676.00","497112.00","1820788.00","3419579.00","22452.00","2575850.00","-134997.00","0.00","5882884.00","--","--","1289644.00","7172528.00","0.00","0.00","0.00","17.20"
"114/10/29","107","3","1110","東泥","2109873.00","7178756.00","9288629.00","351210.00","333784.00","684994.00","5720008.00","188057.00","2166215.00","512881.00","-12185.00","8574976.00","--","--","28659.00","8603635.00","--","0.00","2112865.00","15.05"
"114/10/29","107","3","1201","味全","9218954.00","13166646.00","22385600.00","10076763.00","6160037.00","16236800.00","5060629.00","688.00","1283316.00","-207979.00","--","6136654.00","--","--","12146.00","6148800.00","0.00","0.00","0.00","12.13"
"114/10/29","107","3","1203","味王","4304159.00","4896872.00","9201031.00","1959099.00","1520596.00","3479695.00","2400000.00","112965.00","2043115.00","141096.00","-38464.00","4658712.00","--","--","1062624.00","5721336.00","0.00","0.00","2293865.00","19.60"
"114/10/29","107","3","1210","大成","21342637.00","20835536.00","42178173.00","16735808.00","3809599.00","20545407.00","7879420.00","2656463.00","5083320.00","736865.00","-306199.00","16049869.00","--","--","5582897.00","21632766.00","--","0.00","56597318.00","21.95"
