出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","1409","新纖","90030216.00","57139575.00","147169791.00","102726745.00","8146039.00","110872784.00","16184093.00","1575732.00","7721637.00","2844995.00","-29834.00","28296623.00","--","8000384.00","36297007.00","--","0.00","4680487.00","17.53"
"114/10/29","107","2","1718","中纖","554368410.00","158485663.00","712854073.00","630322229.00","27139978.00","657462207.00","15224105.00","1677818.00","6559933.00","-100237.00","-1227909.00","22133710.00","--","33258156.00","55391866.00","--","0.00","291816145.00","19.46"
"114/10/29","107","2","2207","和泰車","157999240.00","65091052.00","223090292.00","131880792.00","37154945.00","169035737.00","5461792.00","263060.00","38971196.00","735895.00","--","45431943.00","--","8622612.00","54054555.00","0.00","0.00","0.00","83.18"
"114/10/29","107","2","2905","三商","160787437.00","981644614.00","1142432051.00","13203650.00","1089921170.00","1103124820.00","8266916.00","2034960.00","7748270.00","-1169071.00","-532672.00","16348403.00","0.00","22958828.00","39307231.00","0.00","0.00","44215000.00","22.67"
