出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,按攤銷後成本衡量之債務工具投資,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","107","4","2801","彰銀","51073179.00","197942600.00","10917490.00","91938199.00","244763.00","268059805.00","--","29933985.00","289771.00","--","--","1336701095.00","0.00","0.00","--","--","55045230.00","21071298.00","13742376.00","731364.00","3120664.00","999851.00","2081811670.00","113038541.00","--","11047488.00","--","5285890.00","36677779.00","241285.00","--","1689581112.00","49549055.00","--","--","4387078.00","5296332.00","7352277.00","2793202.00","1925250039.00","97895207.00","--","55271433.00","3394991.00","0.00","156561631.00","--","--","--","156561631.00","--","0.00","0.00","15.99"
"114/10/29","107","4","2812","台中銀","15874631.00","31768897.00","26336500.00","28933152.00","0.00","100462761.00","9294168.00","12780910.00","35.00","0.00","0.00","452594552.00","0.00","0.00","153423.00","447036.00","1111.00","9446769.00","108950.00","163172.00","781879.00","1684157.00","690832103.00","3378752.00","5495519.00","165360.00","0.00","9904467.00","12254764.00","380869.00","0.00","587967658.00","20000000.00","0.00","0.00","1000807.00","1421814.00","111021.00","927419.00","643008450.00","35255084.00","726981.00","11189018.00","652570.00","0.00","47823653.00","0.00","--","0.00","47823653.00","0.00","0.00","0.00","13.57"
"114/10/29","107","4","2820","華票","261832.00","0.00","97455257.00","98395152.00","--","--","991363.00","1291700.00","286330.00","--","--","--","0.00","0.00","--","--","548988.00","150208.00","--","--","101386.00","48815.00","199531031.00","26544504.00","--","5885.00","--","147046457.00","451695.00","--","--","--","--","--","--","499881.00","1396246.00","4898.00","282972.00","176232538.00","13429600.00","4113.00","9520568.00","344212.00","--","--","--","--","--","23298493.00","0.00","0.00","0.00","17.35"
"114/10/29","107","4","2834","臺企銀","46036673.00","86980274.00","7134604.00","73164201.00","--","261470496.00","2386518.00","45652981.00","64880.00","--","--","1074627748.00","0.00","0.00","--","--","17971.00","14309738.00","--","286054.00","1646991.00","5261326.00","1619040455.00","91314543.00","591988.00","9339273.00","--","1657706.00","58674131.00","1017575.00","--","1311041103.00","47450000.00","--","--","7507715.00","3565727.00","880738.00","1146937.00","1534187436.00","63938802.00","0.00","18007553.00","2906664.00","0.00","84853019.00","0.00","--","0.00","84853019.00","0.00","0.00","0.00","13.27"
"114/10/29","107","4","2836","高雄銀","2939455.00","12863177.00","384390.00","18366343.00","--","41341955.00","5242712.00","2174501.00","19095.00","--","--","181244224.00","0.00","--","--","--","41145.00","2887819.00","--","118803.00","258879.00","116603.00","267999101.00","8695456.00","--","199806.00","--","10430841.00","4105726.00","0.00","--","223286113.00","6300000.00","--","--","257.00","432830.00","--","103060.00","253554089.00","10403431.00","1487157.00","2505305.00","49119.00","--","--","--","--","--","14445012.00","0.00","0.00","0.00","13.88"
"114/10/29","107","4","2838","聯邦銀","14014731.00","29262634.00","36709925.00","33393507.00","--","94149872.00","68480765.00","18131482.00","81020.00","--","--","325015686.00","0.00","0.00","1623462.00","--","2301648.00","8007495.00","5398908.00","2162961.00","791550.00","8060448.00","647586094.00","12111895.00","--","307799.00","--","44334388.00","7013422.00","41221.00","--","513918075.00","9700000.00","1480976.00","--","4089464.00","262482.00","1269570.00","2998047.00","597527339.00","28900129.00","8032413.00","11220664.00","1659823.00","--","49813029.00","--","--","245726.00","50058755.00","--","0.00","0.00","17.24"
"114/10/29","107","4","2845","遠東銀","10023920.00","27543032.00","46507501.00","119779052.00","--","2588654.00","8289275.00","21484377.00","93.00","--","--","379688118.00","0.00","0.00","1776350.00","--","4695376.00","2732431.00","--","1699602.00","372184.00","171185.00","627351150.00","15726723.00","--","2752479.00","--","14665794.00","7265222.00","201032.00","--","508407972.00","18001900.00","--","--","13915274.00","1194774.00","--","475240.00","582606410.00","32691859.00","456426.00","11649127.00","-52672.00","--","44744740.00","--","--","--","44744740.00","--","0.00","0.00","13.69"
"114/10/29","107","4","2849","安泰銀","4170373.00","13259976.00","16810850.00","40513957.00","--","36637235.00","699143.00","5089734.00","51249.00","--","--","190940952.00","0.00","0.00","--","--","99084.00","720658.00","--","190673.00","988019.00","1319259.00","311491162.00","5137045.00","--","620947.00","--","2076334.00","2594116.00","11418.00","--","264155110.00","--","--","397179.00","2511258.00","423555.00","87559.00","166964.00","278181485.00","18187938.00","1052639.00","13746119.00","322981.00","0.00","--","--","--","--","33309677.00","0.00","0.00","0.00","18.31"
"114/10/29","107","4","2897","王道銀行","9227068.00","22607002.00","151512614.00","149952752.00","--","499939.00","991363.00","20829951.00","381082.00","--","--","197338050.00","0.00","0.00","--","--","1329918.00","2951660.00","--","2457300.00","672656.00","1090219.00","561841574.00","55529376.00","--","793272.00","--","151446900.00","5636437.00","17857.00","--","261803321.00","17850000.00","--","--","15034414.00","1869428.00","341015.00","2400842.00","512722862.00","27130063.00","8503.00","5010543.00","-159981.00","--","31989128.00","--","--","17129584.00","49118712.00","--","0.00","0.00","11.79"
"114/10/29","107","4","5876","上海商銀","60496417.00","191069205.00","13580032.00","436008517.00","--","106071194.00","438017.00","16993738.00","89235.00","--","--","1029803185.00","0.00","0.00","1738636.00","--","2461333.00","21546669.00","5661390.00","1837331.00","1325996.00","3288862.00","1892409757.00","60263330.00","--","3781474.00","--","14629530.00","30113575.00","1168875.00","--","1520625615.00","64785252.00","--","--","4211038.00","2385217.00","9411303.00","3012622.00","1714387831.00","41016031.00","5893238.00","78932844.00","5396978.00","-83144.00","131155947.00","--","--","46865979.00","178021926.00","--","11397439.00","0.00","32.07"
