出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","108","1","5864","致和證","3349527.00","1438068.00","4787595.00","1058936.00","78134.00","1137070.00","2240475.00","119608.00","1304776.00","-14334.00","--","--","--","--","--","3650525.00","0.00","0.00","0.00","16.29"
"114/10/29","108","1","6015","宏遠證","11031183.00","1040307.00","12071490.00","8015938.00","131166.00","8147104.00","3580008.00","283632.00","31119.00","44642.00","-15015.00","3924386.00","--","--","--","3924386.00","0.00","0.00","2253000.00","11.03"
"114/10/29","108","1","6016","康和證","23852420.00","3444286.00","27296706.00","19745723.00","444709.00","20190432.00","6060803.00","307997.00","611674.00","197876.00","-118906.00","7059444.00","--","--","46830.00","7106274.00","0.00","0.00","18000000.00","12.00"
"114/10/29","108","1","6020","大展證","3979108.00","773186.00","4752294.00","813415.00","12016.00","825431.00","2523532.00","461.00","1269098.00","133291.00","--","3926382.00","--","--","481.00","3926863.00","0.00","0.00","0.00","15.56"
"114/10/29","108","1","6021","美好證","6234886.00","867697.00","7102583.00","2065105.00","81207.00","2146312.00","3067559.00","12157.00","1830251.00","46304.00","--","4956271.00","--","--","--","4956271.00","0.00","0.00","0.00","16.16"
"114/10/29","108","1","6023","元大期貨","73397446.00","2874733.00","76272179.00","67607095.00","126813.00","67733908.00","2322763.00","940976.00","4032613.00","1241919.00","--","8538271.00","--","--","--","8538271.00","--","0.00","0.00","36.76"
"114/10/29","108","1","6026","福邦證","4664898.00","644925.00","5309823.00","1891978.00","23593.00","1915571.00","2436475.00","21991.00","536019.00","1567.00","--","2996052.00","--","--","398200.00","3394252.00","0.00","0.00","0.00","12.30"
