出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","108","4","6517","保勝光學","246746.00","129682.00","376428.00","92112.00","76231.00","168343.00","279641.00","1135.00","-72691.00","--","--","208085.00","--","--","--","208085.00","--","0.00","0.00","7.44"
"114/10/29","108","4","6523","達爾膚","1930155.00","122379.00","2052534.00","133300.00","35469.00","168769.00","450477.00","1142747.00","291149.00","-608.00","--","1883765.00","--","--","--","1883765.00","0.00","0.00","0.00","41.82"
"114/10/29","108","4","6527","明達醫","812744.00","87734.00","900478.00","155314.00","43640.00","198954.00","242760.00","200041.00","265578.00","-6855.00","0.00","--","--","--","--","701524.00","--","0.00","0.00","28.90"
"114/10/29","108","4","6530","創威","485972.00","13445.00","499417.00","43716.00","1524.00","45240.00","337500.00","79527.00","37150.00","--","--","--","--","--","--","454177.00","--","0.00","0.00","13.46"
"114/10/29","108","4","6532","瑞耘","565845.00","128783.00","694628.00","130467.00","5326.00","135793.00","316267.00","56553.00","186015.00","0.00","0.00","--","--","--","--","558835.00","0.00","0.00","0.00","17.67"
"114/10/29","108","4","6535","順藥","965397.00","358914.00","1324311.00","274167.00","4268.00","278435.00","1175648.00","402088.00","-534818.00","2958.00","--","1045876.00","--","--","--","1045876.00","0.00","0.00","0.00","8.90"
"114/10/29","108","4","6538","倉和","1575450.00","483219.00","2058669.00","475050.00","167329.00","642379.00","303000.00","412980.00","737146.00","-36836.00","--","1416290.00","--","--","--","1416290.00","--","0.00","0.00","46.74"
"114/10/29","108","4","6542","隆中","739575.00","320221.00","1059796.00","325529.00","28460.00","353989.00","420006.00","287613.00","-71477.00","-11423.00","--","624719.00","0.00","--","81088.00","705807.00","0.00","0.00","0.00","14.87"
"114/10/29","108","4","6546","正基","1623689.00","199238.00","1822927.00","733530.00","13010.00","746540.00","602329.00","302281.00","194947.00","-23170.00","--","1076387.00","--","--","--","1076387.00","--","0.00","0.00","17.87"
"114/10/29","108","4","6547","高端疫苗","518929.00","1758135.00","2277064.00","227827.00","682454.00","910281.00","1690056.00","294575.00","-617718.00","-130.00","--","1366783.00","--","--","--","1366783.00","0.00","12979829.00","0.00","8.09"
"114/10/29","108","4","6548","長科*","6502446.00","4041526.00","10543972.00","2963698.00","2593864.00","5557562.00","364131.00","4230789.00","841268.00","-93984.00","-437809.00","4904395.00","--","--","82015.00","4986410.00","--","0.00","10940000.00","13.89"
"114/10/29","108","4","6556","勝品","1082879.00","899465.00","1982344.00","668572.00","262240.00","930812.00","287500.00","407097.00","345366.00","217.00","0.00","1040180.00","--","--","11352.00","1051532.00","--","0.00","0.00","36.18"
"114/10/29","108","4","6560","欣普羅","391062.00","22884.00","413946.00","68846.00","17535.00","86381.00","174928.00","72467.00","80170.00","--","--","--","--","--","--","327565.00","--","0.00","0.00","18.73"
"114/10/29","108","4","6561","是方","2986347.00","1678933.00","4665280.00","531707.00","1266740.00","1798447.00","694621.00","1380763.00","785370.00","-5216.00","--","2855538.00","--","--","11295.00","2866833.00","--","0.00","0.00","41.11"
"114/10/29","108","4","6568","宏觀","1368627.00","313760.00","1682387.00","272960.00","8250.00","281210.00","251009.00","359368.00","808707.00","-17907.00","--","1401177.00","--","--","--","1401177.00","--","0.00","0.00","55.80"
"114/10/29","108","4","6569","醫揚","776699.00","602187.00","1378886.00","288720.00","70155.00","358875.00","220082.00","473856.00","354255.00","-40263.00","--","1007930.00","--","--","12081.00","1020011.00","0.00","0.00","0.00","45.80"
"114/10/29","108","4","6570","維田","490919.00","240066.00","730985.00","127645.00","116983.00","244628.00","271047.00","111898.00","111538.00","-8126.00","--","486357.00","--","--","--","486357.00","--","0.00","0.00","17.94"
"114/10/29","108","4","6574","霈方","702105.00","129389.00","831494.00","178549.00","26616.00","205165.00","219900.00","247860.00","158688.00","-119.00","--","626329.00","--","--","--","626329.00","0.00","0.00","0.00","28.48"
"114/10/29","108","4","6576","逸達","552252.00","457000.00","1009252.00","63480.00","49916.00","113396.00","1003337.00","2037747.00","-2140647.00","-4581.00","--","895856.00","--","--","--","895856.00","0.00","0.00","0.00","8.93"
"114/10/29","108","4","6577","勁豐","1419184.00","173042.00","1592226.00","439908.00","84745.00","524653.00","382549.00","396393.00","291359.00","-2728.00","0.00","1067573.00","--","--","--","1067573.00","--","0.00","0.00","27.91"
"114/10/29","108","4","6578","達邦蛋白","321026.00","598328.00","919354.00","146654.00","74309.00","220963.00","293624.00","247314.00","181944.00","-24491.00","--","698391.00","--","--","--","698391.00","0.00","0.00","0.00","23.79"
