出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","108","3","2801","彰銀","32586660.00","155394960.00","11113959.00","124472329.00","272616396.00","267177.00","--","35176730.00","1040261.00","--","--","1422234702.00","--","--","34609491.00","20700642.00","1642723.00","13874524.00","707733.00","2423062.00","1358473.00","2130219822.00","104986342.00","--","13411769.00","--","1968160.00","41832539.00","496191.00","--","1730495263.00","55538898.00","--","--","4451948.00","5148583.00","1445377.00","7552324.00","2979922.00","1970307316.00","99853111.00","--","56046565.00","4012830.00","0.00","159912506.00","--","--","--","159912506.00","--","0.00","0.00","16.01"
"114/10/29","108","3","2812","台中銀","11190168.00","30689801.00","25341825.00","29361895.00","106230844.00","--","12902163.00","17757109.00","65.00","--","--","434922590.00","151758.00","450879.00","429.00","10582847.00","901255.00","111415.00","148828.00","884135.00","1957485.00","683585491.00","6151791.00","6092248.00","196137.00","--","8524672.00","12495478.00","273000.00","--","574924445.00","20000000.00","--","--","1338770.00","1385084.00","912723.00","111047.00","892200.00","633297595.00","37088349.00","726981.00","11577003.00","895563.00","0.00","50287896.00","0.00","--","0.00","50287896.00","0.00","0.00","0.00","13.56"
"114/10/29","108","3","2820","華票","326591.00","1000000.00","103321364.00","98191100.00","--","--","2190130.00","1983632.00","344170.00","--","--","--","--","--","550269.00","151747.00","8758.00","--","--","66414.00","57966.00","208192141.00","18993954.00","--","790.00","--","162758889.00","1000898.00","0.00","--","--","--","--","--","0.00","1386036.00","8810.00","43358.00","427083.00","184619818.00","13429600.00","7311.00","9504625.00","630787.00","--","--","--","--","--","23572323.00","--","0.00","0.00","17.55"
"114/10/29","108","3","2834","臺企銀","39012963.00","100601682.00","17469396.00","95215148.00","268170790.00","--","6045080.00","22966211.00","64866.00","--","--","1130914106.00","--","--","19241.00","14483886.00","851289.00","--","342676.00","1509051.00","6897721.00","1704564106.00","129927954.00","920400.00","9626114.00","--","1274971.00","37414866.00","550964.00","--","1362641641.00","53250000.00","--","--","7740626.00","3211233.00","826510.00","892114.00","2022688.00","1610300081.00","71319842.00","815900.00","18333201.00","3795082.00","0.00","94264025.00","0.00","--","0.00","94264025.00","0.00","0.00","0.00","13.22"
"114/10/29","108","3","2836","高雄銀","2442625.00","9993878.00","234968.00","19292784.00","50424128.00","--","7560033.00","1540224.00","27648.00","--","--","173918284.00","--","--","35652.00","2845423.00","275442.00","--","124872.00","213459.00","216893.00","269146313.00","13113216.00","--","64689.00","--","10044506.00","5647290.00","--","--","217914686.00","6300000.00","--","--","193.00","369594.00","289783.00","--","106635.00","253850592.00","10809165.00","1242676.00","2808371.00","435509.00","--","--","--","--","--","15295721.00","0.00","0.00","0.00","14.15"
"114/10/29","108","3","2838","聯邦銀","7811250.00","30220849.00","49994221.00","40837624.00","94554316.00","--","52812543.00","27011460.00","132140.00","--","--","363897957.00","1597631.00","--","5280629.00","7862851.00","1476902.00","5475934.00","2125166.00","602108.00","8495030.00","700188611.00","11010852.00","--","376397.00","--","71293425.00","13176606.00","309459.00","--","526740422.00","10200000.00","1531234.00","--","4223833.00","336316.00","1448996.00","1521573.00","3036372.00","645205485.00","30844553.00","8035484.00","11503429.00","4597407.00","--","54980873.00","--","--","2253.00","54983126.00","--","0.00","0.00","17.83"
"114/10/29","108","3","2845","遠東銀","6435718.00","21879664.00","44796188.00","130077497.00","2620837.00","--","2393729.00","23212412.00","3668.00","0.00","--","394375765.00","1794207.00","--","5208733.00","2845997.00","921481.00","--","1680490.00","245530.00","155687.00","638647603.00","11118338.00","--","2952045.00","--","9200996.00","12994002.00","307314.00","--","515634568.00","25001900.00","--","--","11590701.00","1169701.00","934774.00","--","1004912.00","591909251.00","33558193.00","456426.00","12270196.00","453537.00","--","46738352.00","--","--","--","46738352.00","--","0.00","0.00","13.93"
"114/10/29","108","3","2849","安泰銀","2792141.00","11796049.00","10877890.00","37141093.00","34040676.00","--","1215402.00","5066862.00","52118.00","--","--","201293154.00","--","--","480810.00","690413.00","708902.00","--","186299.00","742298.00","1436658.00","308520765.00","9317970.00","--","676399.00","--","1988089.00","2475595.00","51278.00","--","257369449.00","--","--","143368.00","1858002.00","476390.00","715414.00","39369.00","155713.00","275267036.00","18187938.00","1052639.00","13552027.00","461125.00","--","--","--","--","--","33253729.00","--","0.00","0.00","18.28"
"114/10/29","108","3","2897","王道銀行","6843618.00","22693174.00","167442850.00","136944017.00","0.00","--","2190130.00","21517160.00","421433.00","--","--","196690740.00","--","--","1547696.00","2855401.00","540855.00","--","2372691.00","658843.00","958332.00","563676940.00","45089241.00","--","281036.00","--","167610826.00","5975252.00","117758.00","--","257276518.00","18700000.00","--","--","12445664.00","1919937.00","552699.00","449756.00","2480969.00","512899656.00","27130063.00","9751.00","6179210.00","96200.00","--","33415224.00","--","--","17362060.00","50777284.00","--","0.00","0.00","12.32"
"114/10/29","108","3","5876","上海商銀","49330482.00","215997804.00","11567168.00","466674454.00","110456425.00","--","1337883.00","18015451.00","171312.00","--","--","1122778206.00","1898927.00","--","5659144.00","21390471.00","2453841.00","5775231.00","1864894.00","767667.00","3553151.00","2039692511.00","82990566.00","--","4023657.00","--","12808245.00","31417900.00","2007679.00","--","1610210195.00","79114628.00","--","--","3664819.00","2585046.00","2521803.00","10031136.00","3871778.00","1845247452.00","42659290.00","10624510.00","81927981.00","8869606.00","-83144.00","143998243.00","--","--","50446816.00","194445059.00","--","11397439.00","164325852.00","33.85"
