出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","108","1","1240","茂生農經","917130.00","676124.00","1593254.00","419856.00","30901.00","450757.00","330000.00","134278.00","340006.00","338213.00","--","--","--","--","--","1142497.00","--","0.00","0.00","34.62"
"114/10/29","108","1","1259","安心","2378119.00","2327940.00","4706059.00","1532318.00","1323954.00","2856272.00","323895.00","809816.00","697997.00","-20924.00","-10123.00","1800661.00","--","--","49126.00","1849787.00","0.00","0.00","117000.00","55.80"
"114/10/29","108","1","1264","德麥","2464568.00","943730.00","3408298.00","443922.00","70845.00","514767.00","336960.00","706936.00","1376124.00","-23284.00","--","2396736.00","--","--","496795.00","2893531.00","0.00","0.00","0.00","71.13"
"114/10/29","108","1","1268","漢來美食","1639477.00","2337416.00","3976893.00","1202562.00","1241868.00","2444430.00","373937.00","959686.00","261925.00","2725.00","-65810.00","1532463.00","--","--","--","1532463.00","--","0.00","500000.00","41.54"
"114/10/29","108","1","1336","台翰","1005589.00","1437999.00","2443588.00","752447.00","18645.00","771092.00","841154.00","762982.00","125973.00","-57613.00","0.00","1672496.00","--","--","--","1672496.00","--","0.00","0.00","19.88"
"114/10/29","108","1","1565","精華","4540910.00","4551133.00","9092043.00","1829682.00","1068962.00","2898644.00","504165.00","526000.00","5161299.00","1935.00","--","6193399.00","--","--","--","6193399.00","0.00","0.00","0.00","122.84"
"114/10/29","108","1","1569","濱川","3186846.00","3207027.00","6393873.00","2688214.00","901081.00","3589295.00","1127133.00","1053283.00","583076.00","-68253.00","--","2695239.00","--","--","109339.00","2804578.00","--","0.00","0.00","23.91"
"114/10/29","108","1","1570","力肯","663392.00","243330.00","906722.00","151765.00","9686.00","161451.00","515008.00","0.00","232293.00","-2030.00","0.00","745271.00","--","--","0.00","745271.00","0.00","0.00","0.00","14.47"
"114/10/29","108","1","1580","新麥","2080621.00","1112234.00","3192855.00","754201.00","207481.00","961682.00","502302.00","75738.00","1660456.00","-65155.00","--","2173341.00","--","--","57832.00","2231173.00","0.00","0.00","0.00","43.27"
"114/10/29","108","1","1584","精剛","635824.00","1479720.00","2115544.00","736348.00","425632.00","1161980.00","824705.00","286822.00","-127021.00","-79442.00","--","905064.00","--","--","48500.00","953564.00","--","0.00","0.00","10.97"
"114/10/29","108","1","1586","和勤","1866268.00","1229574.00","3095842.00","1528137.00","136328.00","1664465.00","764888.00","512998.00","329611.00","-55578.00","-120542.00","1431377.00","--","--","--","1431377.00","--","0.00","3242000.00","19.54"
"114/10/29","108","1","1591","駿吉-KY","372832.00","366749.00","739581.00","259339.00","36215.00","295554.00","331648.00","22159.00","203393.00","-113173.00","--","444027.00","--","--","--","444027.00","0.00","0.00","0.00","13.39"
"114/10/29","108","1","1593","祺驊","735139.00","369310.00","1104449.00","170214.00","9414.00","179628.00","319484.00","285787.00","331520.00","-18490.00","0.00","918301.00","--","--","6520.00","924821.00","0.00","0.00","0.00","28.74"
"114/10/29","108","1","1595","川寶","2602299.00","1165248.00","3767547.00","997296.00","338214.00","1335510.00","471481.00","545756.00","1431161.00","-5881.00","-10480.00","2432037.00","--","--","--","2432037.00","--","0.00","222000.00","51.83"
"114/10/29","108","1","1599","宏佳騰","1462873.00","785662.00","2248535.00","636405.00","32474.00","668879.00","620025.00","487161.00","616141.00","-22421.00","-121250.00","1579656.00","--","--","--","1579656.00","0.00","0.00","2956000.00","26.75"
"114/10/29","108","1","1742","台蠟","666218.00","470754.00","1136972.00","504606.00","43451.00","548057.00","550500.00","23080.00","20560.00","6209.00","-11434.00","588915.00","--","--","--","588915.00","0.00","0.00","598000.00","10.82"
"114/10/29","108","1","1777","生泰","1132129.00","760046.00","1892175.00","662360.00","90837.00","753197.00","300595.00","314322.00","526266.00","-2205.00","--","--","--","--","--","1138978.00","0.00","0.00","0.00","37.89"
"114/10/29","108","1","1781","合世","291073.00","258860.00","549933.00","214113.00","1935.00","216048.00","474076.00","--","-129663.00","-10528.00","--","333885.00","--","--","--","333885.00","0.00","0.00","0.00","7.04"
"114/10/29","108","1","1784","訊聯","806805.00","975826.00","1782631.00","182058.00","264293.00","446351.00","496269.00","613147.00","44897.00","-6158.00","-56518.00","1091637.00","--","--","244643.00","1336280.00","0.00","0.00","2101000.00","22.97"
"114/10/29","108","1","1785","光洋科","11293459.00","8797640.00","20091099.00","5126809.00","9584090.00","14710899.00","3990584.00","629139.00","664967.00","-93928.00","0.00","5190762.00","--","--","189438.00","5380200.00","0.00","627205.00","0.00","13.01"
"114/10/29","108","1","1788","杏昌","2082696.00","1493973.00","3576669.00","1306136.00","565584.00","1871720.00","350000.00","658219.00","698536.00","-1806.00","--","1704949.00","--","--","--","1704949.00","0.00","0.00","0.00","48.71"
"114/10/29","108","1","1796","金穎生技","652288.00","388307.00","1040595.00","102122.00","515493.00","617615.00","277984.00","117071.00","29394.00","-1469.00","--","422980.00","--","--","--","422980.00","0.00","0.00","0.00","15.22"
"114/10/29","108","1","1799","易威","398385.00","915313.00","1313698.00","165797.00","321792.00","487589.00","1088427.00","15965.00","-355451.00","9930.00","--","758871.00","--","--","67238.00","826109.00","0.00","0.00","0.00","6.97"
"114/10/29","108","1","1813","寶利徠","463535.00","764419.00","1227954.00","155495.00","36405.00","191900.00","466355.00","263085.00","247425.00","-7633.00","--","969232.00","--","--","66822.00","1036054.00","0.00","0.00","0.00","20.78"
"114/10/29","108","1","1815","富喬","3622106.00","11355123.00","14977229.00","2456372.00","5100912.00","7557284.00","4287844.00","1805588.00","1634760.00","-245426.00","-62821.00","7419945.00","--","--","--","7419945.00","--","0.00","5000000.00","17.51"
"114/10/29","108","1","2035","唐榮公司","4230496.00","14239111.00","18469607.00","4396287.00","9171604.00","13567891.00","3500000.00","46.00","1272840.00","128830.00","0.00","--","--","--","--","4901716.00","0.00","0.00","0.00","14.00"
"114/10/29","108","1","2061","風青","716064.00","244424.00","960488.00","331752.00","32024.00","363776.00","586609.00","926.00","17018.00","-847.00","-6994.00","596712.00","--","--","--","596712.00","0.00","0.00","725000.00","10.30"
"114/10/29","108","1","2063","世鎧","930237.00","647986.00","1578223.00","630443.00","163563.00","794006.00","450000.00","28778.00","305414.00","25.00","--","784217.00","--","--","--","784217.00","0.00","0.00","0.00","17.43"
"114/10/29","108","1","2064","晉椿","1563462.00","1545972.00","3109434.00","1448059.00","286193.00","1734252.00","700000.00","101974.00","583243.00","-11087.00","--","1374130.00","--","--","1052.00","1375182.00","0.00","0.00","0.00","19.63"
"114/10/29","108","1","2065","世豐","770581.00","756319.00","1526900.00","450678.00","47108.00","497786.00","326792.00","219191.00","389187.00","93944.00","0.00","--","--","--","--","1029114.00","0.00","0.00","0.00","31.49"
"114/10/29","108","1","2066","世德","2331510.00","1078008.00","3409518.00","1612202.00","649160.00","2261362.00","365029.00","38699.00","743484.00","-1582.00","-19435.00","1126195.00","--","--","21961.00","1148156.00","0.00","0.00","247000.00","31.06"
"114/10/29","108","1","2067","嘉鋼","697522.00","686187.00","1383709.00","614863.00","200157.00","815020.00","451382.00","23861.00","55140.00","-2233.00","--","528150.00","--","--","40539.00","568689.00","--","0.00","0.00","11.70"
"114/10/29","108","1","2070","精湛","951196.00","796940.00","1748136.00","407595.00","346052.00","753647.00","367828.00","167124.00","473152.00","-13615.00","--","994489.00","--","--","--","994489.00","0.00","0.00","0.00","27.04"
"114/10/29","108","1","2221","大甲","982126.00","530822.00","1512948.00","351722.00","323264.00","674986.00","423250.00","51562.00","332628.00","-1553.00","0.00","805887.00","0.00","--","32075.00","837962.00","0.00","0.00","0.00","19.04"
"114/10/29","108","1","2230","泰茂","646594.00","336007.00","982601.00","445509.00","42712.00","488221.00","399132.00","52613.00","49703.00","-7068.00","--","494380.00","--","--","--","494380.00","--","295900.00","0.00","12.39"
"114/10/29","108","1","2235","謚源","505652.00","1173874.00","1679526.00","239967.00","106761.00","346728.00","358780.00","497802.00","476216.00","--","--","--","--","--","--","1332798.00","--","0.00","0.00","37.15"
"114/10/29","108","1","2596","綠意","2416538.00","196644.00","2613182.00","164533.00","--","164533.00","1000000.00","189208.00","886851.00","0.00","--","2076059.00","--","--","372590.00","2448649.00","--","0.00","0.00","20.76"
"114/10/29","108","1","2640","大車隊","929281.00","1565073.00","2494354.00","818688.00","253678.00","1072366.00","511953.00","451275.00","464374.00","-7370.00","--","1420232.00","--","--","1756.00","1421988.00","0.00","0.00","0.00","27.74"
"114/10/29","108","1","2641","正德","111013.00","4124823.00","4235836.00","531394.00","2112244.00","2643638.00","1511246.00","7191.00","99541.00","-25780.00","--","1592198.00","--","--","--","1592198.00","0.00","0.00","0.00","10.54"
"114/10/29","108","1","2643","捷迅","929713.00","247429.00","1177142.00","393774.00","126621.00","520395.00","262300.00","72277.00","319870.00","2300.00","--","656747.00","--","--","--","656747.00","--","0.00","0.00","25.04"
"114/10/29","108","1","2718","全心投控","1348783.00","516730.00","1865513.00","836389.00","115450.00","951839.00","425760.00","221446.00","263091.00","3377.00","--","--","--","--","--","913674.00","0.00","0.00","0.00","21.46"
"114/10/29","108","1","2719","燦星旅","554228.00","130619.00","684847.00","480903.00","46780.00","527683.00","362920.00","0.00","-201130.00","-575.00","-4051.00","157164.00","--","--","--","157164.00","0.00","0.00","228000.00","4.36"
"114/10/29","108","1","2724","藝舍-KY","172926.00","2105456.00","2278382.00","492049.00","1763717.00","2255766.00","681723.00","198523.00","-856444.00","-1186.00","0.00","22616.00","0.00","--","0.00","22616.00","--","0.00","0.00","0.33"
"114/10/29","108","1","2726","雅茗-KY","1002057.00","784981.00","1787038.00","573319.00","441567.00","1014886.00","350053.00","264474.00","247126.00","-42658.00","-66763.00","752232.00","--","--","19920.00","772152.00","--","0.00","909000.00","22.06"
"114/10/29","108","1","2729","瓦城","1032904.00","3881506.00","4914410.00","873011.00","1920346.00","2793357.00","232660.00","1210890.00","675845.00","-9931.00","--","2109464.00","--","--","11589.00","2121053.00","0.00","0.00","0.00","90.67"
"114/10/29","108","1","2732","六角","1501874.00","1954399.00","3456273.00","822150.00","894523.00","1716673.00","382467.00","644607.00","353310.00","-25727.00","0.00","1354657.00","--","--","384943.00","1739600.00","--","0.00","0.00","35.42"
"114/10/29","108","1","2734","易飛網","415956.00","236213.00","652169.00","239179.00","78619.00","317798.00","302598.00","217181.00","-192461.00","658.00","--","327976.00","--","--","6395.00","334371.00","--","0.00","0.00","10.84"
"114/10/29","108","1","2736","富野","315694.00","2406016.00","2721710.00","296420.00","1143426.00","1439846.00","489923.00","464530.00","315167.00","12244.00","--","1281864.00","--","--","--","1281864.00","--","0.00","0.00","26.16"
"114/10/29","108","1","2740","天蔥","85437.00","178737.00","264174.00","61054.00","101435.00","162489.00","180282.00","112161.00","-187676.00","-3082.00","0.00","101685.00","0.00","--","0.00","101685.00","--","0.00","0.00","5.64"
"114/10/29","108","1","2745","五福","1554236.00","206108.00","1760344.00","1169388.00","25807.00","1195195.00","293085.00","148157.00","123907.00","--","--","--","--","--","--","565149.00","--","0.00","0.00","19.28"
"114/10/29","108","1","2752","豆府","527910.00","299580.00","827490.00","214572.00","126102.00","340674.00","164920.00","105516.00","214111.00","0.00","--","484547.00","--","--","2269.00","486816.00","--","0.00","0.00","29.38"
"114/10/29","108","1","2916","滿心","964853.00","350466.00","1315319.00","322103.00","46611.00","368714.00","546269.00","127250.00","280335.00","-7249.00","--","--","--","--","--","946605.00","0.00","0.00","0.00","17.33"
"114/10/29","108","1","2924","宏太-KY","452796.00","290034.00","742830.00","270090.00","32087.00","302177.00","328051.00","265361.00","-124172.00","-28587.00","0.00","440653.00","0.00","--","0.00","440653.00","--","0.00","0.00","13.43"
"114/10/29","108","1","2926","誠品生活","3182979.00","14663876.00","17846855.00","4300074.00","12086996.00","16387070.00","473897.00","616351.00","364514.00","-15806.00","--","1438956.00","--","--","20829.00","1459785.00","0.00","0.00","0.00","30.36"
"114/10/29","108","1","2937","集雅社","840531.00","221003.00","1061534.00","467972.00","29636.00","497608.00","328600.00","54779.00","180547.00","--","--","563926.00","--","--","--","563926.00","0.00","0.00","0.00","17.16"
"114/10/29","108","1","3064","泰偉","376241.00","378838.00","755079.00","109386.00","213929.00","323315.00","841051.00","168000.00","-630870.00","11398.00","0.00","389579.00","--","--","42185.00","431764.00","0.00","0.00","0.00","4.63"
"114/10/29","108","1","3066","李洲","347570.00","936619.00","1284189.00","477282.00","162392.00","639674.00","830706.00","26660.00","-551322.00","166379.00","--","472423.00","--","--","172092.00","644515.00","--","0.00","0.00","5.69"
"114/10/29","108","1","3067","全域","92930.00","100007.00","192937.00","24276.00","6696.00","30972.00","290252.00","1860.00","-122893.00","-7254.00","0.00","161965.00","0.00","--","0.00","161965.00","0.00","0.00","0.00","5.58"
"114/10/29","108","1","3071","協禧","2073712.00","714598.00","2788310.00","1085892.00","133278.00","1219170.00","1200000.00","33039.00","350589.00","-43839.00","--","1539789.00","--","--","29351.00","1569140.00","0.00","0.00","0.00","12.83"
"114/10/29","108","1","3073","天方能源","131035.00","727404.00","858439.00","102877.00","485976.00","588853.00","464637.00","2026.00","-220874.00","-1619.00","--","244170.00","--","--","25416.00","269586.00","--","0.00","0.00","5.26"
"114/10/29","108","1","3078","僑威","5208314.00","1467705.00","6676019.00","1815920.00","296215.00","2112135.00","2273911.00","214286.00","2073192.00","2495.00","--","4563884.00","--","--","--","4563884.00","--","0.00","0.00","20.07"
"114/10/29","108","1","3081","聯亞","2758559.00","2135426.00","4893985.00","450869.00","321537.00","772406.00","909682.00","1743389.00","1522978.00","-54470.00","--","--","--","--","--","4121579.00","--","0.00","0.00","45.31"
"114/10/29","108","1","3083","網龍","1033286.00","311076.00","1344362.00","195823.00","8022.00","203845.00","857044.00","334567.00","-65938.00","-27430.00","0.00","1098243.00","--","--","42274.00","1140517.00","0.00","0.00","0.00","12.81"
