出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/11/30","106","2","2880","華南金","17347669.00","-2485721.00","4871649.00","-1126971.00","18606626.00","128867478.00","147474104.00"
"114/11/30","106","2","2881","富邦金","-58575695.00","-2326974.00","12989199.00","-4166086.00","-52079556.00","351083488.00","299003932.00"
"114/11/30","106","2","2882","國泰金","206845742.00","952159.00","53279158.00","-3016898.00","258060161.00","264597958.00","522658119.00"
"114/11/30","106","2","2883","凱基金","-18415512.00","721472.00","3495270.00","-978896.00","-15177666.00","93213826.00","78036160.00"
"114/11/30","106","2","2884","玉山金","13198214.00","-1583326.00","7722671.00","1485812.00","20823371.00","39178703.00","60002074.00"
"114/11/30","106","2","2885","元大金","-94332051.00","-1935815.00","4855242.00","-1101562.00","-92514186.00","211532170.00","119017984.00"
"114/11/30","106","2","2886","兆豐金","105785412.00","-624294.00","-14350770.00","-1168560.00","89641788.00","429341320.00","518983108.00"
"114/11/30","106","2","2887","台新新光金","-15580821.00","-690720.00","-6016463.00","-39064.00","-22327068.00","52326559.00","29999491.00"
"114/11/30","106","2","2889","國票金","-11791940.00","-147507.00","12373122.00","-86134.00","347541.00","2170687.00","2518228.00"
"114/11/30","106","2","2890","永豐金","-50015106.00","3286668.00","33262456.00","-642840.00","-14108822.00","136528442.00","122419620.00"
"114/11/30","106","2","2891","中信金","-4022918.00","425228.00","38864636.00","-2626447.00","32640499.00","360203705.00","392844204.00"
"114/11/30","106","2","2892","第一金","-30896741.00","-181872.00","-963603.00","-2581084.00","-34623300.00","222668896.00","188045596.00"
"114/11/30","106","2","5880","合庫金","-23396031.00","-1043215.00","-8229670.00","1615942.00","-31052974.00","119263205.00","88210231.00"
