出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/11/30","106","4","2855","統一證","3598149.00","-52472.00","-3778089.00","-213712.00","-446124.00","6909469.00","6463345.00"
"114/11/30","106","4","6005","群益證","-4197226.00","-380116.00","6521252.00","-263248.00","1680662.00","5423415.00","7104077.00"
"114/11/30","106","4","6024","群益期","502857.00","36088.00","834546.00","-85187.00","1288304.00","2189891.00","3478195.00"
