出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","111","2","5864","致和證","653408.00","-7400.00","-630625.00","--","15383.00","96077.00","111460.00"
"114/10/29","111","2","6015","宏遠證","409250.00","-46587.00","-248938.00","--","113725.00","3105993.00","3219718.00"
"114/10/29","111","2","6016","康和證","560614.00","-350937.00","177515.00","9783.00","396975.00","1655266.00","2052241.00"
"114/10/29","111","2","6020","大展證","351972.00","-27906.00","-601103.00","--","-277037.00","1846652.00","1569615.00"
"114/10/29","111","2","6021","美好證","363488.00","142250.00","-270969.00","--","234769.00","330288.00","565057.00"
"114/10/29","111","2","6023","元大期貨","67399.00","-212249.00","-694293.00","43235.00","-795908.00","9304086.00","8508178.00"
"114/10/29","111","2","6026","福邦證","124947.00","-51547.00","-21479.00","0.00","51921.00","583966.00","635887.00"
