出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/12/08","106","2","2880","華南金","13245494.00","7234707.00","20480201.00","1664904.00","557769.00","11315187.00","6942341.00","-948905.00","5993436.00","--","5993436.00","1032448.00","7025884.00","5993390.00","--","46.00","7025838.00","--","46.00","0.54"
"114/12/08","106","2","2881","富邦金","54873099.00","154297533.00","209170632.00","1145475.00","160819953.00","27056787.00","20148417.00","-1505233.00","18643184.00","0.00","18643184.00","22134892.00","40778076.00","18689864.00","--","-46680.00","40823673.00","--","-45597.00","1.73"
"114/12/08","106","2","2882","國泰金","81963895.00","192398340.00","274362235.00","1273522.00","208596056.00","34846588.00","29646069.00","-3190990.00","26455079.00","--","26455079.00","31491251.00","57946330.00","26235531.00","--","219548.00","57965214.00","--","-18884.00","2.09"
"114/12/08","106","2","2883","凱基金","3872792.00","10098135.00","13970927.00","545148.00","--","9455572.00","3970207.00","-549996.00","3420211.00","--","3420211.00","1448459.00","4868670.00","3538286.00","--","-118075.00","4975308.00","--","-106638.00","0.24"
"114/12/08","106","2","2884","玉山金","9876290.00","12316635.00","22192925.00","1760178.00","--","12140585.00","8292162.00","-862927.00","7429235.00","--","7429235.00","155387.00","7584622.00","7518404.00","--","-89169.00","7704500.00","--","-119878.00","0.84"
"114/12/08","106","2","2885","元大金","11014314.00","27591324.00","38605638.00","578841.00","11359683.00","17778474.00","8888640.00","-1371574.00","7517066.00","-206787.00","7310279.00","-128971.00","7181308.00","6850160.00","--","460119.00","6985138.00","--","196170.00","0.58"
"114/12/08","106","2","2886","兆豐金","17622334.00","11799780.00","29422114.00","981455.00","-27789.00","12371014.00","16097434.00","-1580277.00","14517157.00","--","14517157.00","1481248.00","15998405.00","14522147.00","0.00","-4990.00","15998636.00","0.00","-231.00","1.07"
"114/12/08","106","2","2887","台新新光金","9055164.00","8725158.00","17780322.00","83744.00","--","9909555.00","7787023.00","-974457.00","6812566.00","--","6812566.00","90443.00","6903009.00","6804385.00","--","8181.00","6894828.00","--","8181.00","0.60"
"114/12/08","106","2","2889","國票金","938921.00","1905689.00","2844610.00","51066.00","--","1410291.00","1383253.00","-228613.00","1154640.00","--","1154640.00","404254.00","1558894.00","1087556.00","--","67084.00","1467013.00","--","91881.00","0.40"
"114/12/08","106","2","2890","永豐金","8222869.00","8478376.00","16701245.00","1615105.00","--","9926211.00","5159929.00","-835525.00","4324404.00","--","4324404.00","-528306.00","3796098.00","4325336.00","--","-932.00","3797030.00","--","-932.00","0.41"
"114/12/08","106","2","2891","中信金","43727332.00","125907627.00","169634959.00","382512.00","116240313.00","30729323.00","22282811.00","-2888221.00","19394590.00","--","19394590.00","1661085.00","21055675.00","19393303.00","--","1287.00","21058983.00","--","-3308.00","1.00"
"114/12/08","106","2","2892","第一金","14838101.00","9667690.00","24505791.00","545290.00","1960862.00","10722380.00","11277259.00","-1669483.00","9607776.00","--","9607776.00","-473484.00","9134292.00","9636057.00","--","-28281.00","9122399.00","--","11893.00","0.79"
"114/12/08","106","2","5880","合庫金","16761211.00","5732196.00","22493407.00","1582091.00","511686.00","11874172.00","8525458.00","-1066743.00","7458715.00","--","7458715.00","1637714.00","9096429.00","7222111.00","--","236604.00","8689938.00","--","406491.00","0.59"
