出表日期,年度,季別,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/12/08","106","1","6015","宏遠證","208451.00","214733.00","-6282.00","26450.00","20168.00","3074.00","23242.00","--","--","23242.00","3876.00","--","27118.00","23242.00","--","--","27118.00","--","--","0.06"
"114/12/08","106","1","6016","康和證","666957.00","548372.00","118585.00","6303.00","124888.00","-3025.00","121863.00","--","--","121863.00","-2615.00","--","119248.00","121609.00","--","254.00","118994.00","--","254.00","0.20"
"114/12/08","106","1","6020","大展證","112212.00","26117.00","86095.00","7601.00","93696.00","-1959.00","91737.00","0.00","--","91737.00","--","--","91737.00","91733.00","--","4.00","91733.00","--","4.00","0.36"
"114/12/08","106","1","6021","美好證","157154.00","112479.00","44675.00","8720.00","53395.00","-5088.00","48307.00","--","--","48307.00","11949.00","--","60256.00","48307.00","--","0.00","60256.00","--","0.00","0.16"
"114/12/08","106","1","6023","元大期貨","628492.00","523982.00","104510.00","90521.00","195031.00","-32661.00","162370.00","--","--","162370.00","9716.00","--","172086.00","162370.00","--","--","172086.00","--","--","0.70"
"114/12/08","106","1","6026","福邦證","200866.00","88553.00","112313.00","1958.00","114271.00","-2473.00","111798.00","--","--","111798.00","-181.00","--","111617.00","103108.00","--","8690.00","102927.00","0.00","8690.00","0.43"
