出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/30","106","3","2801","彰銀","16869307.00","6119661.00","-117349.00","11960511.00","11145806.00","-1791286.00","9354520.00","--","--","9354520.00","-59969.00","9294551.00","--","--","--","--","--","--","0.99"
"114/11/30","106","3","2812","台中銀","6103425.00","2040587.00","649655.00","4348036.00","3146321.00","-520351.00","2625970.00","--","--","2625970.00","64754.00","2690724.00","2625970.00","--","--","2690724.00","--","--","0.80"
"114/11/30","106","3","2820","華票","881526.00","693973.00","-7182.00","352450.00","1230231.00","-206462.00","1023769.00","0.00","0.00","1023769.00","342282.00","1366051.00","--","--","--","--","--","--","0.76"
"114/11/30","106","3","2834","臺企銀","11444006.00","4337136.00","1466383.00","8937345.00","5377414.00","-686229.00","4691185.00","0.00","--","4691185.00","630742.00","5321927.00","4691185.00","0.00","0.00","5321927.00","0.00","0.00","0.76"
"114/11/30","106","3","2836","高雄銀","1881755.00","573679.00","137355.00","1718091.00","599988.00","-68684.00","531304.00","--","--","531304.00","-16552.00","514752.00","531304.00","--","0.00","514752.00","--","0.00","0.56"
"114/11/30","106","3","2838","聯邦銀","4916991.00","4402054.00","397609.00","6416968.00","2504468.00","-465958.00","2038510.00","--","--","2038510.00","410991.00","2449501.00","2019964.00","--","18546.00","2430955.00","--","18546.00","0.78"
"114/11/30","106","3","2845","遠東銀","4019019.00","3906657.00","210029.00","4893501.00","2822146.00","-348769.00","2473377.00","--","--","2473377.00","257827.00","2731204.00","2473377.00","--","--","2731204.00","--","--","0.78"
"114/11/30","106","3","2849","安泰銀","3135086.00","1794718.00","648841.00","2278713.00","2002250.00","-383815.00","1618435.00","0.00","--","1618435.00","14154.00","1632589.00","--","--","--","--","--","--","0.96"
"114/11/30","106","3","2897","王道銀行","3417691.00","2537304.00","548696.00","3020076.00","2386223.00","-567825.00","1818398.00","-19434.00","--","1798964.00","-2867.00","1796097.00","1047200.00","--","751764.00","823081.00","--","973016.00","0.44"
