出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/30","106","1","2880","華南金","6671440.00","2805073.00","9476513.00","896410.00","292551.00","5474495.00","2813057.00","-516858.00","2296199.00","--","2296199.00","-169557.00","2126642.00","2296189.00","--","10.00","2126632.00","--","10.00","0.22"
"114/11/30","106","1","2881","富邦金","27091257.00","85726010.00","112817267.00","368560.00","89557239.00","13395524.00","9495944.00","353742.00","9849686.00","--","9849686.00","-1425449.00","8424237.00","9878762.00","--","-29076.00","8453437.00","--","-29200.00","0.97"
"114/11/30","106","1","2882","國泰金","40524787.00","86401595.00","126926382.00","319329.00","98572615.00","17175853.00","10858585.00","-68363.00","10790222.00","--","10790222.00","2740720.00","13530942.00","10625011.00","--","165211.00","13701173.00","--","-170231.00","0.85"
"114/11/30","106","1","2883","凱基金","1805218.00","4996279.00","6801497.00","88509.00","--","4616465.00","2096523.00","-249745.00","1846778.00","--","1846778.00","91404.00","1938182.00","1808417.00","--","38361.00","1900324.00","--","37858.00","0.12"
"114/11/30","106","1","2884","玉山金","4882110.00","5639109.00","10521219.00","412700.00","--","5872915.00","4235604.00","-493505.00","3742099.00","--","3742099.00","-292702.00","3449397.00","3732976.00","--","9123.00","3473754.00","--","-24357.00","0.43"
"114/11/30","106","1","2885","元大金","5837551.00","11710889.00","17548440.00","98289.00","4864082.00","8635321.00","3950748.00","-481342.00","3469406.00","-173841.00","3295565.00","-628299.00","2667266.00","3051370.00","--","244195.00","2410671.00","--","256595.00","0.26"
"114/11/30","106","1","2886","兆豐金","8757307.00","6001378.00","14758685.00","464114.00","22808.00","6113259.00","8158504.00","-755045.00","7403459.00","--","7403459.00","100224.00","7503683.00","7403469.00","0.00","-10.00","7503693.00","0.00","-10.00","0.54"
"114/11/30","106","1","2887","台新新光金","4390363.00","4108838.00","8499201.00","-190680.00","--","4870881.00","3819000.00","-489408.00","3329592.00","--","3329592.00","-57441.00","3272151.00","3329672.00","--","-80.00","3272231.00","--","-80.00","0.31"
"114/11/30","106","1","2889","國票金","457347.00","945053.00","1402400.00","10692.00","--","685664.00","706044.00","-118908.00","587136.00","--","587136.00","170047.00","757183.00","546304.00","--","40832.00","712217.00","--","44966.00","0.20"
"114/11/30","106","1","2890","永豐金","4069348.00","4032199.00","8101547.00","307582.00","--","4945550.00","2848415.00","-484566.00","2363849.00","--","2363849.00","-1019097.00","1344752.00","2365007.00","--","-1158.00","1345910.00","--","-1158.00","0.22"
"114/11/30","106","1","2891","中信金","21618979.00","72216436.00","93835415.00","-636138.00","67686019.00","15009246.00","11776288.00","-1562409.00","10213879.00","--","10213879.00","-1934710.00","8279169.00","10213608.00","--","271.00","8283608.00","--","-4439.00","0.52"
"114/11/30","106","1","2892","第一金","7273068.00","4808918.00","12081986.00","451687.00","1338931.00","5225306.00","5066062.00","-756991.00","4309071.00","--","4309071.00","-1391092.00","2917979.00","4340378.00","--","-31307.00","2939022.00","--","-21043.00","0.36"
"114/11/30","106","1","5880","合庫金","8321669.00","2601426.00","10923095.00","713784.00","535053.00","5728019.00","3946239.00","-450878.00","3495361.00","--","3495361.00","261048.00","3756409.00","3377256.00","--","118105.00","3623266.00","--","133143.00","0.29"
