出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/11/30","106","3","2880","華南金","20057118.00","11757447.00","31814565.00","2697374.00","518270.00","17347550.00","11251371.00","-1485941.00","9765430.00","--","9765430.00","988422.00","10753852.00","9765365.00","--","65.00","10753787.00","--","65.00","0.88"
"114/11/30","106","3","2881","富邦金","83488499.00","234627267.00","318115766.00","1628305.00","227938771.00","40784923.00","47763767.00","-3575765.00","44188002.00","--","44188002.00","20939085.00","65127087.00","44265380.00","--","-77378.00","65201967.00","--","-74880.00","4.23"
"114/11/30","106","3","2882","國泰金","124980868.00","303258891.00","428239759.00","1880587.00","319289964.00","53981302.00","53087906.00","-4827152.00","48260754.00","--","48260754.00","37783032.00","86043786.00","47944086.00","--","316668.00","85961387.00","--","82399.00","3.81"
"114/11/30","106","3","2883","凱基金","8851082.00","26568179.00","35419261.00","729295.00","9749928.00","15195373.00","9744665.00","-917605.00","8827060.00","--","8827060.00","-2830592.00","5996468.00","8969057.00","--","-141997.00","7863454.00","--","-1866986.00","0.61"
"114/11/30","106","3","2884","玉山金","15075614.00","19330141.00","34405755.00","2884095.00","--","18361379.00","13160281.00","-1711450.00","11448831.00","--","11448831.00","51580.00","11500411.00","11581055.00","0.00","-132224.00","11667414.00","--","-167003.00","1.18"
"114/11/30","106","3","2885","元大金","16972516.00","47965048.00","64937564.00","650588.00","20644104.00","27883283.00","15759589.00","-1809936.00","13949653.00","-354342.00","13595311.00","-43264.00","13552047.00","12691160.00","--","904151.00","12981829.00","--","570218.00","1.07"
"114/11/30","106","3","2886","兆豐金","26646444.00","18581705.00","45228149.00","1750049.00","-56034.00","18578235.00","24955899.00","-2789441.00","22166458.00","--","22166458.00","1811915.00","23978373.00","22171797.00","--","-5339.00","23978953.00","--","-580.00","1.63"
"114/11/30","106","3","2887","台新新光金","13898808.00","14062209.00","27961017.00","903230.00","--","15273790.00","11783997.00","-1385194.00","10398803.00","--","10398803.00","112481.00","10511284.00","10389878.00","--","8925.00","10502359.00","--","8925.00","0.92"
"114/11/30","106","3","2889","國票金","1410157.00","3082437.00","4492594.00","109239.00","--","2170593.00","2212762.00","-348997.00","1863765.00","--","1863765.00","486008.00","2349773.00","1704089.00","--","159676.00","2176475.00","--","173298.00","0.62"
"114/11/30","106","3","2890","永豐金","12171874.00","12332809.00","24504683.00","1741316.00","--","14805839.00","7957528.00","-1116691.00","6840837.00","--","6840837.00","-303033.00","6537804.00","6841735.00","--","-898.00","6538702.00","--","-898.00","0.62"
"114/11/30","106","3","2891","中信金","67057162.00","191265431.00","258322593.00","1683003.00","174513915.00","46467468.00","35658207.00","-4638178.00","31020029.00","--","31020029.00","221214.00","31241243.00","31018683.00","--","1346.00","31245447.00","--","-4204.00","1.59"
"114/11/30","106","3","2892","第一金","22409759.00","15159462.00","37569221.00","1182289.00","2793419.00","16197763.00","17395750.00","-2563683.00","14832067.00","--","14832067.00","-484943.00","14347124.00","14872484.00","--","-40417.00","14337326.00","--","9798.00","1.22"
"114/11/30","106","3","5880","合庫金","25614234.00","9044658.00","34658892.00","2447166.00","367043.00","18005358.00","13839325.00","-1791290.00","12048035.00","--","12048035.00","1564131.00","13612166.00","11701887.00","--","346148.00","13086684.00","--","525482.00","0.96"
