出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"115/05/12","115","1","1259","安心","152072.00","-92118.00","-67382.00","0.00","-7428.00","342985.00","335557.00"
"115/05/12","115","1","1268","漢來美食","246668.00","-243151.00","-73418.00","--","-69901.00","929985.00","860084.00"
"115/05/12","115","1","1565","精華","-126187.00","85231.00","-38567.00","2.00","-79521.00","2171339.00","2091818.00"
"115/05/12","115","1","1570","力肯","31996.00","-359.00","-2144.00","154.00","29647.00","398168.00","427815.00"
"115/05/12","115","1","1584","精剛","129671.00","-97657.00","-136411.00","--","-104397.00","554147.00","449750.00"
"115/05/12","115","1","1595","川寶","41288.00","121580.00","175717.00","5166.00","343751.00","696187.00","1039938.00"
"115/05/12","115","1","1599","宏佳騰","140246.00","-2891.00","-34843.00","11829.00","114341.00","461900.00","576241.00"
"115/05/12","115","1","1777","生泰","44417.00","-14446.00","-718.00","--","29253.00","1048603.00","1077856.00"
"115/05/12","115","1","1796","金穎生技","15571.00","-7442.00","-9917.00","477.00","-1311.00","280260.00","278949.00"
"115/05/12","115","1","2035","唐榮公司","-506413.00","32007.00","354746.00","--","-119660.00","222302.00","102642.00"
"115/05/12","115","1","2061","風青","17792.00","2638.00","11496.00","14611.00","46537.00","59439.00","105976.00"
"115/05/12","115","1","2064","晉椿","-24232.00","-584.00","-46849.00","0.00","-71665.00","364321.00","292656.00"
"115/05/12","115","1","2065","世豐","40914.00","-30543.00","54470.00","10296.00","75137.00","270106.00","345243.00"
"115/05/12","115","1","2067","嘉鋼","-6785.00","-8312.00","-7188.00","-1413.00","-23698.00","80087.00","56389.00"
"115/05/12","115","1","2643","捷迅","472278.00","-47647.00","-15806.00","7930.00","416755.00","516131.00","932886.00"
"115/05/12","115","1","2719","燦星旅","35228.00","-31820.00","-3505.00","--","-97.00","196226.00","196129.00"
"115/05/12","115","1","2745","五福","-14277.00","325073.00","-11650.00","--","299146.00","1331039.00","1630185.00"
"115/05/12","115","1","2937","集雅社","-16200.00","-181.00","-61980.00","--","-78361.00","234301.00","155940.00"
"115/05/12","115","1","3071","協禧","8201.00","-12737.00","-57188.00","69610.00","7886.00","1566335.00","1574221.00"
"115/05/12","115","1","3073","天方能源","11276.00","-112003.00","130743.00","186.00","30202.00","105641.00","135843.00"
"115/05/12","115","1","3081","聯亞","282783.00","-220778.00","-2719.00","-215.00","59071.00","703343.00","762414.00"
"115/05/12","115","1","3088","艾訊","124814.00","-18021.00","-1279.00","16978.00","122492.00","1627659.00","1750151.00"
"115/05/12","115","1","3118","進階","13139.00","1113.00","-1330.00","--","12922.00","210338.00","223260.00"
"115/05/12","115","1","3122","笙泉","-3146.00","-1857.00","-686.00","963.00","-4726.00","58816.00","54090.00"
"115/05/12","115","1","3141","晶宏","99950.00","23694.00","-30337.00","4778.00","98085.00","760762.00","858847.00"
"115/05/12","115","1","3147","大綜","-582091.00","17602.00","565389.00","5301.00","6201.00","164190.00","170391.00"
"115/05/12","115","1","3152","璟德","128939.00","-361486.00","--","--","-232547.00","273967.00","41420.00"
"115/05/12","115","1","3158","嘉實","58761.00","-54113.00","-531.00","-5.00","4112.00","389961.00","394073.00"
"115/05/12","115","1","3163","波若威","-107042.00","73155.00","-11355.00","14289.00","-30953.00","629133.00","598180.00"
"115/05/12","115","1","3169","亞信","80840.00","-11002.00","-240.00","3124.00","72722.00","1422103.00","1494825.00"
"115/05/12","115","1","3178","公準","11277.00","-10923.00","-7781.00","658.00","-6769.00","229331.00","222562.00"
"115/05/12","115","1","3206","志豐","52126.00","-35518.00","-759.00","26946.00","42795.00","742485.00","785280.00"
"115/05/12","115","1","3211","順達","-42628.00","-2445868.00","2066072.00","125327.00","-297097.00","3437848.00","3140751.00"
"115/05/12","115","1","3213","茂訊","-149917.00","-183039.00","-10435.00","1599.00","-341792.00","1558801.00","1217009.00"
"115/05/12","115","1","3217","優群","313462.00","-70466.00","-1657.00","18146.00","259485.00","1928238.00","2187723.00"
"115/05/12","115","1","3218","大學光","537924.00","-125852.00","-133237.00","10425.00","289260.00","779239.00","1068499.00"
"115/05/12","115","1","3219","倚強科","-6756.00","-8251.00","156311.00","29676.00","170980.00","917181.00","1088161.00"
"115/05/12","115","1","3224","三顧","-11682.00","-207871.00","425713.00","8293.00","214453.00","1220787.00","1435240.00"
"115/05/12","115","1","3228","金麗科","3996.00","-22793.00","-62.00","--","-18859.00","95783.00","76924.00"
"115/05/12","115","1","3234","光環","-29309.00","-33833.00","249110.00","-2283.00","183685.00","199282.00","382967.00"
"115/05/12","115","1","3259","鑫創","-89387.00","99132.00","-28843.00","--","-19098.00","84663.00","65565.00"
"115/05/12","115","1","3264","欣銓","1671231.00","-1095672.00","-802823.00","21499.00","-205765.00","2208131.00","2002366.00"
"115/05/12","115","1","3265","台星科","365391.00","-436288.00","130858.00","2739.00","62700.00","2300147.00","2362847.00"
"115/05/12","115","1","3297","杭特","-26883.00","234.00","15000.00","934.00","-10715.00","83969.00","73254.00"
"115/05/12","115","1","3303","岱稜","46380.00","-135556.00","-49757.00","12781.00","-126152.00","963831.00","837679.00"
"115/05/12","115","1","3306","鼎天","-42112.00","99876.00","-2570.00","0.00","55194.00","137295.00","192489.00"
"115/05/12","115","1","3317","尼克森","127812.00","-1273.00","-1216.00","3273.00","128596.00","1822260.00","1950856.00"
"115/05/12","115","1","3324","雙鴻","608951.00","-1186278.00","4539818.00","13623.00","3976114.00","1438936.00","5415050.00"
"115/05/12","115","1","3354","律勝","-8442.00","-3052.00","-840.00","-68.00","-12402.00","99298.00","86896.00"
"115/05/12","115","1","3357","臺慶科","242672.00","-158643.00","154617.00","103826.00","342472.00","2257597.00","2600069.00"
"115/05/12","115","1","3372","典範","-4980.00","-22594.00","-521.00","--","-28095.00","286724.00","258629.00"
"115/05/12","115","1","3374","精材","960725.00","-887418.00","1747735.00","--","1821042.00","4354085.00","6175127.00"
"115/05/12","115","1","3379","彬台","-80117.00","-661.00","-1348.00","1692.00","-80434.00","263633.00","183199.00"
"115/05/12","115","1","3426","台興","22989.00","-1240.00","-2657.00","8220.00","27312.00","228147.00","255459.00"
"115/05/12","115","1","3434","哲固","37767.00","-3262.00","-14143.00","-11.00","20351.00","90193.00","110544.00"
"115/05/12","115","1","3438","類比科","10404.00","59378.00","-96.00","--","69686.00","651380.00","721066.00"
"115/05/12","115","1","3441","聯一光電","8894.00","4205.00","-3963.00","7001.00","16137.00","581357.00","597494.00"
"115/05/12","115","1","3444","利機","-14930.00","-5864.00","-1296.00","1136.00","-20954.00","509696.00","488742.00"
"115/05/12","115","1","3465","進泰電子","-183348.00","-45272.00","209128.00","14647.00","-4845.00","192791.00","187946.00"
"115/05/12","115","1","3467","台灣精材","-343.00","-35156.00","11162.00","--","-24337.00","207027.00","182690.00"
"115/05/12","115","1","3489","森寶","-93181.00","13.00","200075.00","--","106907.00","312661.00","419568.00"
"115/05/12","115","1","3492","長盛","361.00","37821.00","-5111.00","1177.00","34248.00","262885.00","297133.00"
"115/05/12","115","1","3511","矽瑪","14949.00","-17947.00","22854.00","1089.00","20945.00","298189.00","319134.00"
"115/05/12","115","1","3526","凡甲","239003.00","-645893.00","-1500.00","60180.00","-348210.00","2858025.00","2509815.00"
"115/05/12","115","1","3529","力旺","695802.00","-102640.00","-161.00","1716.00","594717.00","3532058.00","4126775.00"
"115/05/12","115","1","3531","先益","11564.00","94046.00","-8178.00","15961.00","113393.00","1121572.00","1234965.00"
"115/05/12","115","1","3541","西柏","-35626.00","-3570.00","-4917.00","80.00","-44033.00","1102752.00","1058719.00"
"115/05/12","115","1","3551","世禾","21257.00","-45737.00","-969.00","16635.00","-8814.00","909414.00","900600.00"
"115/05/12","115","1","3555","博士旺","48491.00","-13853.00","-1423.00","44.00","33259.00","135098.00","168357.00"
"115/05/12","115","1","3556","禾瑞亞","101489.00","-6239.00","-4359.00","414.00","91305.00","698143.00","789448.00"
"115/05/12","115","1","3558","神準","-168419.00","-132956.00","-360589.00","1624.00","-660340.00","3673172.00","3012832.00"
"115/05/12","115","1","3564","其陽","-6465.00","-44546.00","69581.00","9134.00","27704.00","419804.00","447508.00"
