出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","112","1","2801","彰銀","5631730.00","4149340.00","903664.00","4645451.00","4231955.00","780022.00","3451933.00","--","--","3451933.00","2336460.00","--","5788393.00","3451933.00","--","--","5788393.00","--","--","0.33"
"114/10/28","112","1","2812","台中銀","2757027.00","1392359.00","438443.00","1942046.00","1768897.00","295577.00","1473320.00","--","--","1473320.00","620577.00","--","2093897.00","1473320.00","--","--","2093897.00","--","--","0.29"
"114/10/28","112","1","2820","華票","85826.00","648204.00","-102.00","128665.00","605467.00","99806.00","505661.00","--","--","505661.00","583695.00","0.00","1089356.00","--","--","--","--","--","--","0.38"
"114/10/28","112","1","2834","臺企銀","4755775.00","3207925.00","238356.00","3626510.00","4098834.00","626190.00","3472644.00","0.00","--","3472644.00","1715439.00","--","5188083.00","3472644.00","0.00","0.00","5188083.00","0.00","0.00","0.43"
"114/10/28","112","1","2836","高雄銀","653968.00","245442.00","-49679.00","655475.00","293614.00","81522.00","212092.00","--","--","212092.00","809512.00","--","1021604.00","--","--","--","--","--","--","0.18"
"114/10/28","112","1","2838","聯邦銀","2220904.00","2263954.00","158866.00","2877567.00","1448425.00","229841.00","1218584.00","--","--","1218584.00","1037516.00","--","2256100.00","1219164.00","--","-580.00","2256680.00","--","-580.00","0.34"
"114/10/28","112","1","2845","遠東銀","1702004.00","1353705.00","370840.00","1706995.00","977874.00","128576.00","849298.00","--","--","849298.00","451068.00","--","1300366.00","849298.00","--","--","1300366.00","--","--","0.21"
"114/10/28","112","1","2849","安泰銀","853796.00","564395.00","1421269.00","763324.00","-766402.00","-179642.00","-586760.00","0.00","--","-586760.00","256758.00","--","-330002.00","--","--","--","--","--","--","-0.30"
"114/10/28","112","1","2897","王道銀行","515122.00","2068411.00","73547.00","1145845.00","1364141.00","254475.00","1109666.00","0.00","--","1109666.00","939177.00","--","2048843.00","738461.00","--","371205.00","1262621.00","--","786222.00","0.27"
"114/10/28","112","1","5876","上海商銀","8856865.00","2534171.00","521202.00","4376126.00","6493708.00","1237922.00","5255786.00","--","--","5255786.00","2393435.00","--","7649221.00","4260189.00","--","995597.00","6271160.00","--","1378061.00","0.88"
