出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/12/08","113","2","2801","彰銀","-28109834.00","-345996.00","4679204.00","1953078.00","-21823548.00","135031401.00","113207853.00"
"114/12/08","113","2","2812","台中銀","2909172.00","-19553030.00","1724674.00","56259.00","-14862925.00","58184278.00","43321353.00"
"114/12/08","113","2","2820","華票","-426041.00","-29138.00","477380.00","--","22201.00","267744.00","289945.00"
"114/12/08","113","2","2834","臺企銀","15768074.00","-14407333.00","-2577759.00","34411.00","-1182607.00","34356881.00","33174274.00"
"114/12/08","113","2","2836","高雄銀","-8171671.00","-123559.00","5341935.00","-629.00","-2953924.00","16916908.00","13962984.00"
"114/12/08","113","2","2838","聯邦銀","-8255490.00","-1339128.00","445145.00","847238.00","-8302235.00","74254434.00","65952199.00"
"114/12/08","113","2","2845","遠東銀","6817238.00","-383925.00","-3287249.00","710253.00","3856317.00","33369904.00","37226221.00"
"114/12/08","113","2","2849","安泰銀","412565.00","-1212057.00","193315.00","114076.00","-492101.00","3688389.00","3196288.00"
"114/12/08","113","2","2897","王道銀行","3551601.00","-135280.00","6935952.00","254654.00","10606927.00","18767399.00","29374326.00"
"114/12/08","113","2","5876","上海商銀","39744945.00","-949848.00","-14886438.00","14580826.00","38489485.00","356404573.00","394894058.00"
