出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/11/12","114","3","2812","台中銀","-324501.00","-76345.00","-2563569.00","-118754.00","-3083169.00","47339574.00","44256405.00"
"114/11/12","114","3","2820","華票","-13820972.00","-27394.00","13276744.00","--","-571622.00","877603.00","305981.00"
"114/11/12","114","3","2836","高雄銀","4611050.00","-361700.00","184994.00","295.00","4434639.00","20822688.00","25257327.00"
"114/11/12","114","3","5876","上海商銀","-54578109.00","2822040.00","-3711614.00","-19603480.00","-75071163.00","369412598.00","294341435.00"
