出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","4","2880","華南金","48510679.00","156720416.00","86705474.00","0.00","191447673.00","450489822.00","--","489059.00","41257457.00","418349.00","--","--","1623317849.00","4030604.00","0.00","110724.00","--","30363702.00","10922997.00","32264055.00","762044.00","3496800.00","2899159.00","2684206863.00","132267041.00","--","4803071.00","0.00","46323247.00","15950469.00","43481315.00","1677066.00","--","2155650451.00","58589023.00","2121000.00","--","19967657.00","13631338.00","6119745.00","9467857.00","2510049280.00","115436133.00","17758986.00","37181499.00","3778863.00","--","--","174155481.00","2102.00","174157583.00","--","0.00","0.00","15.09"
"114/10/29","107","4","2881","富邦金","232234449.00","223566116.00","917327572.00","0.00","820207183.00","2564909862.00","3776327.00","69364357.00","209274405.00","4075626.00","48312.00","--","1847793140.00","20353688.00","0.00","28203343.00","--","406782484.00","179436352.00","58481088.00","33907733.00","19970316.00","75347455.00","7715059808.00","152445771.00","442461.00","45422901.00","3425972.00","178403211.00","13535972.00","166682986.00","7144528.00","--","2273618639.00","217754674.00","1482921.00","--","3721508656.00","411517835.00","11184801.00","41662504.00","7246233832.00","115002640.00","137018872.00","279677293.00","-72455455.00","--","--","459243350.00","9582626.00","468825976.00","0.00","0.00","0.00","39.93"
"114/10/29","107","4","2882","國泰金","206576054.00","104223315.00","1428824049.00","0.00","1127810270.00","2688221788.00","216611.00","59212899.00","161216190.00","6438062.00","--","--","2176775907.00","7623707.00","0.00","44932006.00","--","555740531.00","319222554.00","166458327.00","53826467.00","40806934.00","76357835.00","9224483506.00","81432233.00","--","129698896.00","--","59307037.00","62989367.00","66727399.00","2543689.00","--","2187203086.00","90600000.00","336381.00","--","5341935726.00","627815178.00","27091143.00","17514376.00","8695194511.00","140965102.00","165449364.00","285875616.00","-72558752.00","0.00","--","519731330.00","9557665.00","529288995.00","--","0.00","0.00","36.87"
"114/10/29","107","4","2883","凱基金","59607423.00","26431383.00","374931034.00","0.00","485335934.00","970536279.00","--","39770534.00","99099379.00","1168303.00","--","--","369131396.00","534353.00","0.00","16102926.00","43927569.00","91362530.00","25432420.00","31717297.00","21171147.00","12652560.00","48902361.00","2717814828.00","22434914.00","--","87786725.00","--","125478900.00","14985902.00","89641244.00","967872.00","--","398286010.00","31150000.00","18818061.00","--","1557304939.00","111539399.00","7275275.00","28582681.00","2494251922.00","149633560.00","1630992.00","22095706.00","-10522131.00","-3605444.00","--","159232683.00","64330223.00","223562906.00","--","1074800.00","443530700.00","10.97"
"114/10/29","107","4","2884","玉山金","55755562.00","76688375.00","475506677.00","0.00","183846186.00","8165004.00","--","--","93450521.00","11790.00","--","--","1333277269.00","--","0.00","--","--","13694947.00","1948418.00","32604520.00","6116132.00","1098436.00","5623195.00","2287787032.00","72223020.00","--","50315163.00","--","12526789.00","2669356.00","28969420.00","1523828.00","--","1886693981.00","42650000.00","399094.00","--","860739.00","25019142.00","1338393.00","2468007.00","2127656932.00","108289000.00","24710706.00","26627780.00","386802.00","--","--","160014288.00","115812.00","160130100.00","--","0.00","0.00","14.78"
"114/10/29","107","4","2885","元大金","65535411.00","48216712.00","473939209.00","0.00","215135236.00","352906087.00","--","33465734.00","143272794.00","1485363.00","868288.00","--","770905662.00","580130.00","0.00","2048491.00","2622711.00","62025243.00","4916691.00","21871922.00","33669889.00","5899187.00","47769165.00","2287133925.00","22047274.00","--","111982799.00","--","218570425.00","36269123.00","147690035.00","5327403.00","--","1020615296.00","66756009.00","64019801.00","--","232223123.00","79276919.00","3705743.00","41806215.00","2050290165.00","116862325.00","37200416.00","60114343.00","5006084.00","-197606.00","--","218985562.00","17858198.00","236843760.00","0.00","0.00","15621000.00","18.76"
"114/10/29","107","4","2886","兆豐金","129675778.00","514219514.00","196201030.00","0.00","421176553.00","272926017.00","--","2623231.00","92723255.00","272816.00","328350.00","--","1864447103.00","3854464.00","0.00","3168973.00","--","5112210.00","1500403.00","21973422.00","518222.00","7552961.00","3785059.00","3542059361.00","411643388.00","53920881.00","27357462.00","--","252298265.00","15929662.00","66362081.00","9319314.00","--","2320637263.00","13300000.00","4934529.00","--","26977832.00","15325367.00","2526612.00","7271276.00","3227803932.00","135998240.00","68194233.00","102575350.00","7474457.00","0.00","--","314242280.00","13149.00","314255429.00","0.00","0.00","0.00","23.11"
"114/10/29","107","4","2887","台新新光金","22590750.00","55875912.00","115782595.00","0.00","336400248.00","3081240.00","--","2416641.00","144763489.00","354251.00","--","--","1018505146.00","--","0.00","40100981.00","--","9866430.00","907311.00","18895823.00","2275459.00","3360316.00","11716925.00","1786893517.00","57441338.00","1536650.00","29502674.00","--","83045834.00","12215597.00","28783190.00","2306439.00","--","1259675424.00","61700000.00","11545384.00","--","1721335.00","59083447.00","108838.00","3709414.00","1612375564.00","114541477.00","37805713.00","22108378.00","-71042.00","--","--","174384526.00","133427.00","174517953.00","--","555000.00","0.00","15.22"
"114/10/29","107","4","2889","國票金","2812812.00","2036564.00","127365213.00","0.00","110585462.00","--","--","1029580.00","21516822.00","54.00","--","--","--","--","--","1691762.00","--","7707662.00","--","1827765.00","224925.00","94294.00","1093008.00","277985923.00","--","28718410.00","1085929.00","--","183195381.00","11924017.00","11133576.00","255859.00","--","--","--","--","--","1462567.00","3422476.00","40587.00","626355.00","241865157.00","28198659.00","122240.00","3624106.00","649091.00","-158123.00","--","32435973.00","3684793.00","36120766.00","--","0.00","20000000.00","11.58"
"114/10/29","107","4","2890","永豐金","25417365.00","91889402.00","84863422.00","0.00","209421072.00","93680834.00","--","22205182.00","75646292.00","327581.00","--","--","922363664.00","--","0.00","486466.00","--","39666796.00","2589456.00","12573066.00","2234897.00","2352648.00","19207974.00","1604926117.00","37964931.00","--","22778944.00","--","46778129.00","33813602.00","37637667.00","1095078.00","--","1190750602.00","35722483.00","8900155.00","18437.00","3431929.00","35087925.00","1544742.00","7580096.00","1463104720.00","112710541.00","2228771.00","27244218.00","-365543.00","--","--","141817987.00","3410.00","141821397.00","--","0.00","0.00","12.58"
