出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,股本,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益合計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","4","2855","統一證","64915856.00","5465417.00","70381273.00","44636888.00","31938.00","44668826.00","13904281.00","142702.00","10979662.00","619340.00","--","25645985.00","--","--","66462.00","25712447.00","0.00","0.00","0.00","18.44"
"114/10/29","107","4","6005","群益證","101969620.00","15420287.00","117389907.00","80738838.00","1446333.00","82185171.00","23209081.00","2852299.00","6209696.00","700916.00","0.00","32971992.00","--","--","2232744.00","35204736.00","0.00","0.00","0.00","14.21"
"114/10/29","107","4","6024","群益期","39895947.00","490071.00","40386018.00","35307278.00","17468.00","35324746.00","1764376.00","1047338.00","2247246.00","-26868.00","--","5032092.00","--","--","29180.00","5061272.00","--","0.00","0.00","28.52"
