出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","109","1","1101","台泥","98082786.00","261155840.00","359238626.00","64175520.00","87724983.00","151900503.00","56656192.00","48015947.00","68725701.00","19145877.00","-348959.00","192194758.00","--","--","15143365.00","207338123.00","--","0.00","8000000.00","33.97"
"114/10/29","109","1","1102","亞泥","98316766.00","205122146.00","303438912.00","71388811.00","66217729.00","137606540.00","33614472.00","1456060.00","109282684.00","-2171373.00","--","142181843.00","--","--","23650529.00","165832372.00","--","0.00","0.00","42.30"
"114/10/29","109","1","1103","嘉泥","10260082.00","26804613.00","37064695.00","3786079.00","11341404.00","15127483.00","7747805.00","847377.00","10450686.00","3189456.00","-1104083.00","21131241.00","--","--","805971.00","21937212.00","--","0.00","130861320.00","32.82"
"114/10/29","109","1","1104","環泥","3673613.00","19118543.00","22792156.00","3685145.00","1434096.00","5119241.00","6536092.00","41430.00","11059852.00","-86001.00","--","17551373.00","--","--","121542.00","17672915.00","--","0.00","0.00","26.85"
"114/10/29","109","1","1108","幸福","5278940.00","2224266.00","7503206.00","1863513.00","1295813.00","3159326.00","4047380.00","8.00","302364.00","-5949.00","0.00","4343803.00","--","--","77.00","4343880.00","--","0.00","0.00","10.73"
"114/10/29","109","1","1109","信大","5207386.00","5346395.00","10553781.00","1515206.00","329147.00","1844353.00","3419579.00","22651.00","3699576.00","-270755.00","--","6871051.00","--","--","1838377.00","8709428.00","0.00","0.00","0.00","20.09"
"114/10/29","109","1","1110","東泥","1859169.00","7541902.00","9401071.00","533508.00","491083.00","1024591.00","5720008.00","188162.00","2083337.00","340710.00","-12185.00","8320032.00","--","--","56448.00","8376480.00","--","0.00","2112865.00","14.60"
"114/10/29","109","1","1201","味全","6643144.00","12331092.00","18974236.00","7904502.00","4795161.00","12699663.00","5060629.00","36113.00","1492502.00","-322773.00","--","6266471.00","--","--","8102.00","6274573.00","0.00","0.00","0.00","12.38"
"114/10/29","109","1","1203","味王","4547902.00","4999676.00","9547578.00","1734210.00","1479661.00","3213871.00","2400000.00","112965.00","2435677.00","138666.00","-38464.00","5048844.00","--","--","1284863.00","6333707.00","0.00","0.00","2293865.00","21.24"
"114/10/29","109","1","1210","大成","21808268.00","26270507.00","48078775.00","21985027.00","3348935.00","25333962.00","8273391.00","3011648.00","4999015.00","607073.00","-219132.00","16671995.00","--","--","6072818.00","22744813.00","--","0.00","45362433.00","21.32"
