"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1593 - 祺驊","董事會決議","115年 第2季","115/04/01~115/06/30","1","115/08/06","不適用","         83,715,230","        103,790,971","        187,506,201","        187,506,201","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之，盈餘分派以現金發放者，依公司法規定，由董事會決議辦理。 本公司每年決算如有盈餘，應先提繳稅款，彌補虧損及提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，依法令、本章程所訂程序及下列原則，分派股東股息紅利。 本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利之全部或一部分，以發放現金之方式為之，並報告股東會。 本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將法定盈餘公積及資本公積之全部或一部分，以發放現金之方式為之，並報告股東會。 本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","無",
"1593 - 祺驊","董事會決議","115年 第1季","115/01/01~115/03/31","1","115/05/11","不適用","         83,715,230","         23,007,365","        106,722,595","        106,722,595","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之，盈餘分派以現金發放者，依公司法規定，由董事會決議辦理。
本公司每年決算如有盈餘，應先提繳稅款，彌補虧損及提百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列；其餘額再依法令規定提列或迴轉特別盈餘公積後，併同累計未分配盈餘，依法令、本章程所訂程序及下列原則，分派股東股息紅利。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將應分派股息及紅利之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司授權董事會以三分之二以上董事出席，及出席董事過半數之決議，將法定盈餘公積及資本公積之全部或一部分，以發放現金之方式為之，並報告股東會。
本公司股利政策，係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素，就可供分配盈餘提撥不低於10%分配股東股息紅利；分配股東股息紅利時，得以現金或股票方式為之，其中現金股利不低於股利總額之50%。","無",
"1784 - 訊聯","董事會決議","115年 上半年","115/01/01~115/06/30","1","115/08/07","不適用","                  0","         11,292,479","         11,292,479","                  0","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","第二十條之一：
本公司盈餘分派或虧損撥補得於每半會計年度終了後為之，每半會計年度決算如有盈餘，應先提繳稅捐、彌補累積虧損(包括調整未分配盈餘金額)、預估保留員工酬勞及董事酬勞、次提百分之十為法定盈餘公積；但法定盈餘公積累積已達本公司資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，其餘額加計上半會計年度累計未分配盈餘數為股東紅利，由董事會擬具分派議案，以發行新股方式為之時，應提請股東會決議後分派之；以現金方式為之時，應經董事會決議。
本公司年度總決算如有盈餘，應先提繳稅捐、彌補累積虧損(包括調整未分配盈餘金額)、次提撥百分之十為法定盈餘公積，但法定盈餘公積累積已達本公司資本總額時，不在此限。並依法令或主管機關規定提撥或迴轉特別盈餘公積，如尚有盈餘，其餘額加計上半會計年度累計未分配盈餘數為股東紅利，由董事會擬具分派議案，以發行新股方式為之時，應提請股東會決議後分派之。
本公司依公司法第二百四十條第五項規定，授權董事會以三分之二以上董事之出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發放現金之方式為之，並報告股東會。","董事會決議115年上半年度不分配股利。",
"2063 - 世鎧精密","董事會決議","115年 第2季","115/04/01~115/06/30","1","115/08/06","不適用","                  0","         40,905,479","         16,170,157","         16,170,157","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法完納一切稅捐，彌補累積虧損後， 再提百分之十為法定盈餘公積，法定盈餘公積已達本公司實收資本 額時，得不再提列；其餘依法令規定提列或迴轉特別盈餘公積；如 尚有餘額，併同累積未分配盈餘後，由董事會以不低於可分配盈餘 之百分之五十為股東股息紅利擬定盈餘分配案，提請股東會決議分 配之。","無",
"2063 - 世鎧精密","董事會決議","115年 第1季","115/01/01~115/03/31","1","115/05/07","不適用","                  0","         15,784,977","                  0","                  0","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法完納一切稅捐，彌補累積虧損後，
再提百分之十為法定盈餘公積，法定盈餘公積已達本公司實收資本
額時，得不再提列；其餘依法令規定提列或迴轉特別盈餘公積；如
尚有餘額，併同累積未分配盈餘後，由董事會以不低於可分配盈餘
之百分之五十為股東股息紅利擬定盈餘分配案，提請股東會決議分
配之。","無",
"2065 - 世豐","董事會決議","115年 第2季","115/04/01~115/06/30","1","115/08/07","不適用","          9,963,008","                  0","          9,963,008","          9,963,008","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","摘錄公司章程文字： 本公司盈餘分派或虧損撥補得於每季終了後為之。 本公司依前項規定分派盈餘時，應先預估並保留應納稅捐、依法彌補虧損及提列法定盈餘公積。但法定盈餘公積，已達本公司資本總額時，得不再提列。並 依法令或主管機關規定提撥或迴轉特別 盈餘公積，如尚有盈餘，其餘額併同期 初累積未分配盈餘，由董事會擬具盈餘分配議案，交審計委員會查核後，若為發放現金，則經董事會決議後發放；若為發放股票，則提請股東會決議。","無。",
"2065 - 世豐","董事會決議","115年 第1季","115/01/01~115/03/31","1","115/05/08","不適用","          9,963,008","                  0","          9,963,008","          9,963,008","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補得於每季終了後為之。 本公司依前項規定分派盈餘時，應先預估並保留應納稅捐、依法彌補虧損及提列法定盈餘公積。但法定盈餘公積，已達本公司資本總額時，得不再提列。並 依法令或主管機關規定提撥或迴轉特別 盈餘公積，如尚有盈餘，其餘額併同期 初累積未分配盈餘，由董事會擬具盈餘分配議案，交審計委員會查核後，若為發放現金，則經董事會決議後發放；若為發放股票，則提請股東會決議。","無。",
"2066 - 世德","董事會決議","115年 上半年","115/01/01~115/06/30","1","115/08/12","不適用","        811,305,211","        130,109,941","        941,415,152","        941,415,152","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","第20條
本公司盈餘分派或虧損撥補得於每半會計年度終了後為之，盈餘分派以現金發放者，依公司法第二百二十八條之一及第二百四十條第五項規定由董事會決議辦理，並報告股東會，無須提交股東會請求承認。
本公司分派盈餘時，應先預估並保留應納稅捐、彌補虧損及提存百分之十為法定盈餘公積金，但法定盈餘公積已達實收資本額時，不在此限，次依法提列或迴轉特別盈餘公積後，併同期初未分配盈餘為股東累積可分配盈餘。
本公司股利政策係配合目前及未來之發展計畫、考量投資環境、資金需求及國內外競爭狀況，並兼顧股東利益等因素來分配，以求穩定經營發展，並保障投資人權益，並以現金股利與股票股利搭配方式發放，現金股利分配總額不低於股利分派總額百分之十。
於本公司無盈餘可分派，或雖有盈餘但盈餘數額遠低於本公司先前實際分派之盈餘，或依公司財務、業務及經營面等因素之考量，得將公積全部或一部依法令或主管機關規定分派，其以現金分派者，得由董事會依公司法第二百四十一條規定決議辦理，並報告股東會，無須提交股東會請求承認。","無",
"2070 - 精湛","董事會決議","115年 上半年","115/01/01~115/06/30","1","115/08/06","不適用","        427,044,584","         50,789,143","        476,397,744","        455,506,344","0.50000000","0.0","0.0","         20,891,400","0.0","0.0","0.0","                  0","第廿八條
本公司應以當年度獲利狀況1%~6%分派員工酬勞，其中就實際提撥金額中以不低於60%為分派予基層員工之酬勞及應以當年度獲利狀況不高於3%分派董事酬勞。但公司尚有累積虧損時，應予彌補。
員工酬勞得以股票或現金為之，且發給股票或現金之對象，得包括符合一定條件之從屬公司員工。 
第一項所稱之當年度獲利狀況係指當年度稅前利益扣除分派員工酬勞及董事酬勞前之利益。 
員工酬勞及董事酬勞之分派應由董事會以董事三分之二以上之出席及出席董事過半數同意之決議行之，並報告股東會。
第廿八之一條
本公司盈餘分派或虧損撥補，於每半會計年度終了後為之。本公司每年度決算如有盈餘時，應依法提繳稅捐、彌補虧損，次提百分之十為法定盈餘公積，但法定盈餘公積已達實收資本額時，不在此限。
另依相關法令規定提列或迴轉特別盈餘公積後，併同期初未分配盈餘為股東累積可分配盈餘，由董事會擬定盈餘分配案提請股東會決議分配之。
第廿九條
本公司股利發放政策，係考量公司所處產業環境及成長性，因應未來資金需求及長期財務規劃，及滿足股東對現金流入之需求為原則。
分派比率係依該年度之盈餘狀況、整體發展及財務規劃等相關因素決定，得以現金股利或股票股利之方式分派。惟分派之股東紅利總金額不得低於當年度可分配盈餘(不含期初未分配盈餘)之百分之十，但當年度可分配盈餘低於實收資本額百分之三時，得不予分配；盈餘分配時現金股利分派之比例不得低於當年度股利分派總額之百分之十。
本公司依公司法第二百四十條規定，授權董事會以三分之二以上之董事出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二百四十一條規定之法定盈餘公積及資本公積之全部或一部，以發放現金之方式為之，並報告股東會，不適用第廿八之一條及前項應經股東會決議之規定。","無",
"2718 - 全心投控","董事會決議","115年 第1季","115/01/01~115/03/31","1","115/05/12","不適用","      3,736,043,679","        229,220,128","      3,938,529,728","      3,938,529,728","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之。本公司分派前三季盈餘時，應先預估並保留應納稅捐、員工酬勞及董事酬勞，依法彌補虧損及提列法定盈餘公積。但法定盈餘公積已達實收資本額時，得不再提列。
	本公司前三季盈餘分派或虧損撥補之議案，應於次季終了前，連同營業報告書及財務報表送交審計委員會查核後，提董事會決議。
	本公司&#63886;&#64001;總決算所得純&#64023;，依下&#63900;順序分派之：
1.依法提繳所得稅款；
2.彌補&#63884;&#63886;虧損；
3.提撥百分之十為法定盈餘公積，但法定盈餘公積&#63823;積已達本公司實收資本總額時，&#63847;在此限；
4.依法&#63912;規定或營運必要提列或迴轉特別盈餘公積；扣除前各項餘額後，至少提撥累計期末未分配盈餘百分之十分派股東股利；惟公司當年度分派公積時，前述提撥數額得先扣除之，公司當年度虧損，得不分派股利。盈餘提供分派之比率，得視當年度資金狀況及經濟發展由董事會決議保留或分派股東股利，並提請股東會同意。
董事會於擬定盈餘分派時，將考量公司所處環境、資金需求、長期財務規劃及成長階段，並參酌盈餘分配對未來整體營運之影響，決定股利發放之時機、條件、金額及種&#63952;，並提報股東會決議。股東紅利採現金股利及股票股利互相配合方式發放，其中現金股利以不低於股東股利分派總額10%為原則，且惟每股現金股利不足0.5元時，得改採發放股票股利。","無",
