code,year,quarter,eps,profit,equity,cash_dividend
1264,107,Q1,2.85,115387.0,2705921.0,
1264,107,Y1,,,,11.0
1264,106,Q4,13.41,514264.0,2578393.0,
1264,106,Q3,10.02,379147.0,2449837.0,
1264,106,Q2,6.6,248865.0,2310528.0,
1264,106,Q1,3.64,128386.0,2483615.0,
1264,106,Y1,,,,10.5
1268,114,Q3,7.7,325020.0,2213313.0,
1268,114,Q2,,,2159310.0,
1268,114,Q1,4.39,185233.0,2436794.0,
1268,113,Q4,10.06,424855.0,2268278.0,
1268,113,Q3,7.75,327136.0,2204091.0,
1268,113,Q2,6.27,264924.0,2159964.0,
1268,113,Q1,4.73,199759.0,2361262.0,
1268,113,Y1,,,,7.5
1268,112,Q4,7.61,321148.0,2153191.0,
1268,112,Q3,6.8,287230.0,2065525.0,
1268,112,Q2,4.8,202541.0,1999900.0,
1268,112,Q1,3.01,127145.0,2019213.0,
1268,112,Y1,,,,7.0
1268,111,Q4,3.08,130052.0,1850455.0,
1268,111,Q3,1.01,42445.0,1731664.0,
1268,111,Q2,-1.41,-59547.0,1692341.0,
1268,111,Q1,1.01,42761.0,2035513.0,
1268,111,Y1,,,,3.0
1268,110,Q4,2.01,75343.0,1996555.0,
1268,110,Q3,-1.83,-68146.0,1362494.0,
1268,110,Q2,0.5,18776.0,1558661.0,
1268,110,Q1,2.05,76238.0,1850089.0,
1268,110,Y1,,,,3.0
1268,109,Q4,7.51,279579.0,1731321.0,
1268,109,Q3,,,1647754.0,
1268,109,Q2,1.65,61213.0,1479916.0,
1268,109,Q1,0.64,23621.0,1591503.0,
1268,109,Y1,,,,7.0
1268,108,Q4,7.2,266457.0,1550122.0,
1268,108,Q3,5.78,213646.0,1437568.0,
1268,108,Q2,4.24,156609.0,1346139.0,
1268,108,Q1,2.65,97811.0,1532463.0,
1268,108,Y1,,,,4.918
1268,107,Q4,6.13,234445.0,1497165.0,
1268,107,Q3,4.54,175798.0,1461941.0,
1268,107,Q2,3.4,132905.0,1781059.0,
1268,107,Q1,2.31,87708.0,2025745.0,
1268,107,Y1,,,,2.374
1268,106,Q4,7.47,265594.0,1907083.0,
1268,106,Q3,5.03,174890.0,1703286.0,
1268,106,Q2,4.01,138817.0,1190094.0,
1268,106,Q1,2.4,80699.0,1296856.0,
1268,106,Y1,,,,6.6
1294,114,Q3,3.37,101608.0,794792.0,
1294,114,Q2,,,803164.0,
1294,114,Q1,1.17,32158.0,824900.0,
1294,113,Q4,6.02,155419.0,820816.0,
1294,113,Q3,4.94,124652.0,790041.0,
1294,113,Q2,3.24,81720.0,464404.0,
1294,113,Q1,1.84,35565.0,437615.0,
1294,113,Y1,,,,3.2
1294,112,Q4,7.66,147533.0,401381.0,
1294,112,Q2,2.65,50621.0,304392.0,
1294,112,Y1,,,,1.0
1294,111,Q4,3.06,45859.0,268571.0,
1294,111,Q2,0.71,9104.0,231295.0,
1294,111,Y1,,,,1.0
1294,110,Q4,2.89,31085.0,177913.0,
1294,110,Q2,2.6,20053.0,172261.0,
1294,110,Y1,,,,
1294,109,Q4,7.14,55661.0,147500.0,
1294,109,Y1,,,,1.0
1295,114,Q3,4.07,133700.0,1270146.0,
1295,114,Q2,,,1224315.0,
1295,114,Q1,1.26,39369.0,1019841.0,
1295,113,Q4,5.43,170125.0,1079425.0,
1295,113,Q3,4.73,148217.0,1061020.0,
1295,113,Q2,2.98,91574.0,997973.0,
1295,113,Y1,,,,3.5
1295,112,Q4,3.68,113271.0,942969.0,
1295,112,Q2,2.01,61690.0,887677.0,
1295,112,Y1,,,,1.5
1295,111,Q4,3.02,92522.0,897682.0,
1295,111,Y1,,,,2.0
1295,110,Y1,,,,2.282
1336,114,Q3,0.6,46911.0,1777094.0,
1336,114,Q2,,,1737461.0,
1336,114,Q1,0.44,33941.0,1925804.0,
1336,113,Q4,2.1,162932.0,1949387.0,
1336,113,Q3,1.53,118611.0,1912268.0,
1336,113,Q2,0.97,75295.0,1884283.0,
1336,113,Q1,0.43,33592.0,1839522.0,
1336,113,Y1,,,,0.945
1336,112,Q4,1.39,107390.0,1769496.0,
1336,112,Q3,1.04,80279.0,1825305.0,
1336,112,Q2,0.54,41803.0,1760276.0,
1336,112,Q1,0.2,15621.0,1708459.0,
1336,112,Y1,,,,0.41
1336,111,Q4,2.05,157807.0,1723535.0,
1336,111,Q3,1.85,142514.0,1715020.0,
1336,111,Q2,0.92,70823.0,1611545.0,
1336,111,Q1,0.34,26474.0,1596876.0,
1336,111,Y1,,,,0.41
1336,110,Q4,1.0,77058.0,1549064.0,
1336,110,Q3,0.5,38352.0,1513949.0,
1336,110,Q2,0.21,16129.0,1621454.0,
1336,110,Q1,0.06,4975.0,1629863.0,
1336,110,Y1,,,,0.4
1336,109,Q4,2.48,192727.0,1630910.0,
1336,109,Q3,,,1670505.0,
1336,109,Q2,2.45,190922.0,1644485.0,
1336,109,Q1,0.04,3388.0,1550247.0,
1336,109,Y1,,,,1.5
1336,108,Q4,0.87,73426.0,1673480.0,
1336,108,Q3,0.61,51676.0,1667861.0,
1336,108,Q2,0.34,28391.0,1650659.0,
1336,108,Q1,0.03,2364.0,1672496.0,
1336,108,Y1,,,,0.72
1336,107,Q4,1.28,106721.0,1662726.0,
1336,107,Q3,1.06,87851.0,1628822.0,
1336,107,Q2,0.57,47298.0,1594341.0,
1336,107,Q1,0.14,11368.0,1586812.0,
1336,107,Y1,,,,0.55
1336,106,Q4,1.44,101081.0,1599691.0,
1336,106,Q3,1.13,73671.0,1567833.0,
1336,106,Q2,0.67,42038.0,1180667.0,
1336,106,Q1,0.14,8491.0,1142670.0,
1336,106,Y1,,,,
1565,114,Q3,6.69,337079.0,6415632.0,
1565,114,Q2,,,6281078.0,
1565,114,Q1,3.43,173146.0,6253159.0,
1565,113,Q4,14.82,747302.0,6557910.0,
1565,113,Q3,10.33,520843.0,6304677.0,
1565,113,Q2,6.43,324424.0,6108029.0,
1565,113,Q1,3.77,189961.0,5973555.0,
1565,113,Y1,,,,9.5
1565,112,Q4,10.83,545954.0,6136070.0,
1565,112,Q3,8.7,438839.0,6027007.0,
1565,112,Q2,5.97,300960.0,5889148.0,
1565,112,Q1,3.23,162960.0,5751856.0,
1565,112,Y1,,,,7.0
1565,111,Q4,20.21,1019054.0,6267762.0,
1565,111,Q3,16.67,840248.0,6068609.0,
1565,111,Q2,10.68,538386.0,5759726.0,
1565,111,Q1,5.88,296622.0,5515397.0,
1565,111,Y1,,,,13.5
1565,110,Q4,18.8,947759.0,5971207.0,
1565,110,Q3,14.3,720970.0,5739037.0,
1565,110,Q2,8.68,437711.0,6060980.0,
1565,110,Q1,4.5,226681.0,5852347.0,
1565,110,Y1,,,,15.0
1565,109,Q4,14.78,745109.0,5625979.0,
1565,109,Q3,,,5367412.0,
1565,109,Q2,7.81,394004.0,5248362.0,
1565,109,Q1,5.01,252408.0,6016428.0,
1565,109,Y1,,,,12.0
1565,108,Q4,25.53,1287234.0,5763398.0,
1565,108,Q3,19.37,976559.0,5446831.0,
1565,108,Q2,13.87,699148.0,5170058.0,
1565,108,Q1,7.68,387262.0,6193399.0,
1565,108,Y1,,,,18.0
1565,107,Q4,33.07,1667501.0,5805801.0,
1565,107,Q3,24.75,1247797.0,5381984.0,
1565,107,Q2,16.48,831008.0,4965089.0,
1565,107,Q1,7.0,352960.0,5743331.0,
1565,107,Y1,,,,26.5
1565,106,Q4,31.52,1589214.0,5391689.0,
1565,106,Q3,23.68,1193646.0,5004116.0,
1565,106,Q2,13.82,696999.0,4507692.0,
1565,106,Q1,4.83,243724.0,5414785.0,
1565,106,Y1,,,,25.0
1569,114,Q3,-4.54,-532324.0,2829165.0,
1569,114,Q2,,,2335460.0,
1569,114,Q1,-1.33,-142538.0,2921179.0,
1569,113,Q4,-2.57,-295706.0,3022438.0,
1569,113,Q3,-1.6,-178706.0,3118736.0,
1569,113,Q2,-0.62,-60078.0,3227110.0,
1569,113,Q1,0.02,10924.0,3394620.0,
1569,113,Y1,,,,
1569,112,Q4,-0.95,-104100.0,3266372.0,
1569,112,Q3,-0.42,-44840.0,3434612.0,
1569,112,Q2,-0.9,-99192.0,3260449.0,
1569,112,Q1,-1.11,-129335.0,3556377.0,
1569,112,Y1,,,,1.0
1569,111,Q4,3.23,407394.0,3678670.0,
1569,111,Q3,3.34,412023.0,3730154.0,
1569,111,Q2,2.36,289590.0,3548106.0,
1569,111,Q1,1.21,149501.0,3634796.0,
1569,111,Y1,,,,2.0
1569,110,Q4,2.62,327808.0,3353000.0,
1569,110,Q3,1.5,183524.0,3185898.0,
1569,110,Q2,0.82,101207.0,3303944.0,
1569,110,Q1,0.59,68851.0,3303578.0,
1569,110,Y1,,,,1.6
1569,109,Q4,3.42,402120.0,3242742.0,
1569,109,Q3,,,3081187.0,
1569,109,Q2,1.51,175091.0,2799676.0,
1569,109,Q1,0.15,17354.0,2731932.0,
1569,109,Y1,,,,1.5
1569,108,Q4,1.01,113985.0,2730908.0,
1569,108,Q3,0.41,49964.0,2720235.0,
1569,108,Q2,0.24,28127.0,2760742.0,
1569,108,Q1,0.11,11251.0,2804578.0,
1569,108,Y1,,,,0.3
1569,107,Q4,0.35,44971.0,2727897.0,
1569,107,Q3,0.18,24652.0,2685061.0,
1569,107,Q2,0.13,15607.0,2753121.0,
1569,107,Q1,0.03,4226.0,2783342.0,
1569,107,Y1,,,,0.25
1569,106,Q4,2.61,277849.0,2408321.0,
1569,106,Q3,1.91,207854.0,2328057.0,
1569,106,Q2,1.25,136964.0,2197199.0,
1569,106,Q1,0.74,72890.0,2117342.0,
1569,106,Y1,,,,0.6
1570,114,Q3,0.66,33778.0,1002505.0,
1570,114,Q2,,,971213.0,
1570,114,Q1,0.43,22259.0,1032209.0,
1570,113,Q4,2.25,115631.0,1023880.0,
1570,113,Q3,1.75,89907.0,985221.0,
1570,113,Q2,1.03,53121.0,949815.0,
1570,113,Q1,0.14,7410.0,934673.0,
1570,113,Y1,,,,1.3
1570,112,Q4,0.36,18653.0,899003.0,
1570,112,Q3,0.34,17481.0,889696.0,
1570,112,Q2,0.33,17162.0,894381.0,
1570,112,Q1,0.27,13950.0,938276.0,
1570,112,Y1,,,,1.0
1570,111,Q4,2.1,108116.0,912190.0,
1570,111,Q3,1.69,87238.0,886036.0,
