出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","108","1","9933","中鼎","4543494.00","-2053011.00","-547796.00","--","1942687.00","15070992.00","17013679.00"
"114/10/29","108","1","9934","成霖","130615.00","-6943.00","75652.00","22707.00","222031.00","3101792.00","3323823.00"
"114/10/29","108","1","9935","慶豐富","75041.00","-389418.00","188436.00","1126.00","-124815.00","392571.00","267756.00"
"114/10/29","108","1","9937","全國","-995092.00","-41768.00","1115991.00","--","79131.00","877738.00","956869.00"
"114/10/29","108","1","9938","百和","-196088.00","-694503.00","433128.00","144833.00","-312630.00","4017472.00","3704842.00"
"114/10/29","108","1","9939","宏全","202467.00","-517182.00","17542.00","68579.00","-228594.00","2979711.00","2751117.00"
"114/10/29","108","1","9940","信義","4350875.00","10494.00","-852897.00","87735.00","3596207.00","4551253.00","8147460.00"
"114/10/29","108","1","9941","裕融","-5526077.00","-82301.00","6729308.00","43223.00","1164153.00","4935433.00","6099586.00"
"114/10/29","108","1","9942","茂順","159155.00","-116301.00","55703.00","4604.00","103161.00","295079.00","398240.00"
"114/10/29","108","1","9943","好樂迪","289820.00","73614.00","-73410.00","11.00","290035.00","1094451.00","1384486.00"
"114/10/29","108","1","9944","新麗","61933.00","-32300.00","-28237.00","17721.00","19117.00","1007478.00","1026595.00"
"114/10/29","108","1","9945","潤泰新","1084305.00","65345.00","-1059581.00","550.00","90619.00","3994104.00","4084723.00"
"114/10/29","108","1","9946","三發地產","1146359.00","-311118.00","-180942.00","--","654299.00","704698.00","1358997.00"
"114/10/29","108","1","9955","佳龍","66950.00","70945.00","-66154.00","2825.00","74566.00","189614.00","264180.00"
"114/10/29","108","1","9958","世紀鋼","376840.00","-668796.00","-262984.00","118.00","-554822.00","3297207.00","2742385.00"
