出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,權益─具證券性質之虛擬通貨,保留盈餘,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,權益總額,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益
114/10/28,113,4,1718,中纖,745922400.00,250658203.00,996580603.00,883413218.00,29109861.00,912523079.00,16859057.00,--,1712237.00,,1221655.00,-1135056.00,,--,,62766246.00,,--,0.00,,15.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633385.00,21291278.00,344225645.00,84057524.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2207,和泰車,370575705.00,139983867.00,510559572.00,361071093.00,35366483.00,396437576.00,5571028.00,--,2871305.00,,6694406.00,--,,--,,35838179.00,,0.00,0.00,,140.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63147078.00,78283817.00,0.00,114121996.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,4,2905,三商,125547721.00,1532253813.00,1657801534.00,20473141.00,1587149068.00,1607622209.00,11224957.00,0.00,4456229.00,,-3327357.00,-592930.00,,0.00,,33518844.00,,0.00,0.00,,15.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4899582.00,16660481.00,57093000.00,50179325.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1240,茂生農經,1521925.00,929947.00,2451872.00,732156.00,66672.00,798828.00,413387.00,,145207.00,,502792.00,--,,--,--,49623.00,1653044.00,--,0.00,,40.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,542035.00,1603421.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1259,安心,1522373.00,5020458.00,6542831.00,2261204.00,1780883.00,4042087.00,323895.00,,809816.00,,414506.00,--,,--,--,5291.00,2500744.00,0.00,0.00,,77.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,947236.00,2495453.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1264,德麥,2976604.00,2060440.00,5037044.00,1203001.00,73950.00,1276951.00,370644.00,,673837.00,,-10542.00,-2432.00,,--,--,719319.00,3760093.00,--,0.00,,82.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,2009267.00,3040774.00,12000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1268,漢來美食,2309088.00,4722144.00,7031232.00,2111977.00,2759291.00,4871268.00,422237.00,,1123334.00,,101652.00,0.00,,--,--,--,2159964.00,--,0.00,,51.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,512741.00,2159964.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1294,漢田生技,391703.00,583966.00,975669.00,250905.00,260360.00,511265.00,252388.00,,37117.00,,--,--,,--,--,3168.00,464404.00,--,0.00,,18.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,171731.00,461236.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1295,生合,717514.00,1403534.00,2121048.00,297079.00,825996.00,1123075.00,313548.00,,250659.00,,-1161.00,--,,--,--,--,997973.00,0.00,0.00,,32.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,434927.00,997973.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,113,2,1336,台翰,1282645.00,1495677.00,2778322.00,603307.00,290732.00,894039.00,783024.00,,687094.00,,-74639.00,--,,--,--,--,1884283.00,0.00,0.00,,24.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,488804.00,1884283.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
