出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,保留盈餘,歸屬於母公司業主之權益合計,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,權益─具證券性質之虛擬通貨,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益,<html>
114/10/28,110,2,5489,彩富,1706407.00,837770.00,2544177.00,531717.00,47308.00,579025.00,1027064.00,,95677.00,,-984.00,-153290.00,,--,--,4895.00,1965152.00,--,0.00,,19.92,991790.00,1960257.00,,4313000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5490,同亨,1980313.00,166907.00,2147220.00,504002.00,85981.00,589983.00,962836.00,,84723.00,,-33282.00,--,,--,--,--,1557237.00,--,0.00,,16.17,542960.00,1557237.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5493,三聯,2008557.00,1774708.00,3783265.00,1471262.00,103893.00,1575155.00,416088.00,,43291.00,,229756.00,-22860.00,,--,--,910406.00,2208110.00,0.00,0.00,,31.61,631429.00,1297704.00,,559300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5498,凱崴,2016531.00,1701505.00,3718036.00,1058801.00,718303.00,1777104.00,1693397.00,,13153.00,,-113079.00,--,,--,--,37465.00,1940932.00,0.00,0.00,,11.24,309996.00,1903467.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5508,永信建,13652951.00,68589.00,13721540.00,7046674.00,1827620.00,8874294.00,2174281.00,,231750.00,,0.00,--,,--,--,--,4847246.00,--,0.00,,22.29,2441215.00,--,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5511,德昌,8010362.00,1972848.00,9983210.00,4843581.00,795683.00,5639264.00,1134400.00,,141871.00,,4577.00,--,,--,--,99663.00,4343946.00,--,0.00,,37.41,2963435.00,4244283.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5512,力麒,23686447.00,20733296.00,44419743.00,15499981.00,11273901.00,26773882.00,7439927.00,,614265.00,,-170365.00,-98195.00,,--,--,4330340.00,17645861.00,--,0.00,,18.05,5529889.00,13315521.00,,6304815.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5514,三豐,2123078.00,1363574.00,3486652.00,653952.00,10272.00,664224.00,1943076.00,,26557.00,,295771.00,-23385.00,,--,--,18.00,2822428.00,--,0.00,,15.13,580391.00,2822410.00,,7799443.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5516,雙喜,1661334.00,203046.00,1864380.00,1190245.00,19589.00,1209834.00,382950.00,,0.00,,0.00,0.00,,--,--,--,654546.00,0.00,0.00,,17.09,271596.00,--,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5520,力泰,1732509.00,1177770.00,2910279.00,832517.00,93614.00,926131.00,603152.00,,33686.00,,17501.00,--,,--,--,93571.00,1984148.00,0.00,0.00,,31.34,1236238.00,1890577.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5523,豐謙,3931479.00,118224.00,4049703.00,1793853.00,318041.00,2111894.00,1550015.00,,3954.00,,--,--,,--,--,-102331.00,1937809.00,0.00,0.00,,13.16,486171.00,2040140.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5529,鉅陞,1063306.00,361397.00,1424703.00,102848.00,301487.00,404335.00,1240528.00,,190675.00,,--,--,,--,--,0.00,1020368.00,0.00,0.00,,8.23,-410835.00,1020368.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,110,2,5530,龍巖,40892360.00,25106466.00,65998826.00,44109008.00,71968.00,44180976.00,4200842.00,,2519954.00,,928636.00,--,,--,--,1625078.00,21817850.00,--,0.00,,48.07,12543340.00,20192772.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
