出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額,<html>
114/10/28,111,3,8478,東哥遊艇,1404473.00,-7703.00,-889776.00,459383.00,966377.00,753565.00,1719942.00,
114/10/28,111,3,8481,政伸,132088.00,-12928.00,-438348.00,64307.00,-254881.00,1020944.00,766063.00,
114/10/28,111,3,8482,商億-KY,1056576.00,-291817.00,-486391.00,23403.00,301771.00,606388.00,908159.00,
114/10/28,111,3,8487,愛爾達-創,6830.00,-5771.00,-79669.00,1207.00,-77403.00,231134.00,153731.00,
114/10/28,111,3,8488,吉源-KY,-244604.00,2370.00,-51915.00,91937.00,-202212.00,507893.00,305681.00,
114/10/28,111,3,8499,鼎炫-KY,849301.00,-691599.00,29417.00,51964.00,239083.00,2848933.00,3088016.00,
114/10/28,111,3,8926,台汽電,499702.00,-285396.00,-397387.00,13445.00,-169636.00,2763822.00,2594186.00,
114/10/28,111,3,8940,新天地,32788.00,-113545.00,57158.00,--,-23599.00,235196.00,211597.00,
114/10/28,111,3,8996,高力,-79930.00,-105345.00,64946.00,-3079.00,-123408.00,498574.00,375166.00,
114/10/28,111,3,9802,鈺齊-KY,2391355.00,-1286873.00,-143292.00,-396395.00,564795.00,1114952.00,1679747.00,
114/10/28,111,3,9902,台火,-40247.00,-51193.00,-48224.00,--,-139664.00,347562.00,207898.00,
114/10/28,111,3,9904,寶成,5387083.00,5680938.00,-731943.00,4587955.00,14924033.00,28450346.00,43374379.00,
114/10/28,111,3,9905,大華,354800.00,86180.00,-406112.00,70025.00,104893.00,670372.00,775265.00,
114/10/28,111,3,9906,欣巴巴,897127.00,-2992.00,-944365.00,--,-50230.00,106232.00,56002.00,
114/10/28,111,3,9907,統一實,5927967.00,-643045.00,-4931320.00,155058.00,508660.00,2664025.00,3172685.00,
114/10/28,111,3,9908,大台北,527201.00,-16879.00,-590026.00,--,-79704.00,3795278.00,3715574.00,
114/10/28,111,3,9910,豐泰,12220290.00,-3335511.00,-8378112.00,78229.00,584896.00,3820459.00,4405355.00,
114/10/28,111,3,9911,櫻花,731622.00,89952.00,-807344.00,5321.00,19551.00,1849085.00,1868636.00,
