出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,權益總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,避險之衍生金融負債,應付商業本票－淨額,應付債券,其他借款,歸屬於母公司業主之權益,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,其他資產,分離帳戶保險商品資產,短期債務,本期所得稅負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,分離帳戶保險商品負債
114/10/28,111,1,1591,駿吉-KY,445010.00,302584.00,747594.00,273211.00,25896.00,299107.00,331648.00,--,22159.00,262695.00,-158254.00,-9761.00,448487.00,--,--,--,448487.00,0.00,0.00,500000.00,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1593,祺驊,731498.00,908169.00,1639667.00,180632.00,296567.00,477199.00,352275.00,--,436141.00,394110.00,-28689.00,0.00,1153837.00,--,--,8631.00,1162468.00,0.00,0.00,0.00,32.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1595,川寶,3624330.00,1149395.00,4773725.00,2012969.00,256180.00,2269149.00,469261.00,--,552935.00,1476432.00,3238.00,0.00,2501866.00,--,--,2710.00,2504576.00,--,0.00,0.00,53.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1599,宏佳騰,1579861.00,1400750.00,2980611.00,887023.00,54126.00,941149.00,745287.00,--,395471.00,968396.00,-6312.00,-63380.00,2039462.00,--,--,--,2039462.00,0.00,0.00,1500000.00,27.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1742,台蠟,1523295.00,726590.00,2249885.00,686970.00,149657.00,836627.00,815500.00,--,164036.00,439571.00,22259.00,-28108.00,1413258.00,--,--,--,1413258.00,0.00,0.00,1488000.00,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1777,生泰,1854577.00,757885.00,2612462.00,675978.00,69787.00,745765.00,400595.00,--,822232.00,648815.00,-4945.00,--,--,--,--,--,1866697.00,0.00,0.00,0.00,46.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1781,合世,541813.00,201360.00,743173.00,326205.00,50259.00,376464.00,474076.00,--,8.00,-53513.00,-53862.00,--,366709.00,--,--,--,366709.00,0.00,0.00,0.00,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1784,訊聯,735535.00,1060838.00,1796373.00,243256.00,225942.00,469198.00,496269.00,--,609173.00,58011.00,-6447.00,-56201.00,1100805.00,--,--,226370.00,1327175.00,0.00,0.00,1914000.00,23.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1785,光洋科,16810159.00,8846880.00,25657039.00,3634877.00,9063145.00,12698022.00,5936312.00,--,4030883.00,2803641.00,-165580.00,--,12605256.00,--,--,353761.00,12959017.00,0.00,0.00,0.00,21.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1788,杏昌,2233259.00,2076745.00,4310004.00,1330495.00,545168.00,1875663.00,404386.00,--,1124258.00,909961.00,-4264.00,--,2434341.00,--,--,--,2434341.00,0.00,0.00,0.00,60.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1796,金穎生技,463132.00,634553.00,1097685.00,203508.00,136271.00,339779.00,414598.00,--,294336.00,51310.00,-2338.00,--,757906.00,--,--,--,757906.00,0.00,0.00,0.00,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1799,易威,489875.00,761197.00,1251072.00,59928.00,323698.00,383626.00,1633797.00,--,90871.00,-893394.00,-164.00,--,831110.00,--,--,36336.00,867446.00,0.00,0.00,0.00,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1813,寶利徠,570232.00,668025.00,1238257.00,356726.00,29142.00,385868.00,466355.00,--,263970.00,120208.00,-19540.00,--,830993.00,--,--,21396.00,852389.00,0.00,0.00,0.00,17.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,1815,富喬,4307834.00,10403248.00,14711082.00,3558464.00,3591646.00,7150110.00,4284685.00,--,1859525.00,1269488.00,147274.00,--,7560972.00,--,--,--,7560972.00,15000.00,0.00,0.00,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2035,唐榮公司,4870650.00,14107756.00,18978406.00,3459132.00,9384139.00,12843271.00,3500000.00,--,46.00,2465280.00,169809.00,--,--,--,--,--,6135135.00,--,0.00,0.00,17.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2061,風青,964815.00,250906.00,1215721.00,445058.00,141396.00,586454.00,469288.00,--,27538.00,131092.00,7080.00,-5731.00,629267.00,--,--,--,629267.00,0.00,0.00,560000.00,13.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2063,世鎧,1270241.00,603664.00,1873905.00,964580.00,187144.00,1151724.00,450000.00,--,38485.00,234364.00,-668.00,--,722181.00,--,--,--,722181.00,0.00,0.00,0.00,16.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2064,晉椿,1609493.00,1746556.00,3356049.00,2113790.00,87226.00,2201016.00,696300.00,--,101549.00,380609.00,-20065.00,-4104.00,1154289.00,--,--,744.00,1155033.00,0.00,0.00,300000.00,16.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2065,世豐,2084486.00,1060089.00,3144575.00,741380.00,833891.00,1575271.00,543772.00,--,444505.00,481709.00,99318.00,--,1569304.00,--,--,--,1569304.00,--,0.00,0.00,28.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2066,世德,2213632.00,840056.00,3053688.00,955952.00,705802.00,1661754.00,365029.00,--,92092.00,897688.00,-3706.00,-45530.00,1305573.00,--,--,86361.00,1391934.00,0.00,0.00,747000.00,36.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
