出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,本期其他綜合損益（稅後淨額）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,繼續營業單位稅前淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,收入,支出,其他綜合損益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益
114/10/28,114,3,3169,亞信,712668.00,334427.00,--,--,378241.00,--,--,378241.00,176442.00,--,201799.00,8719.00,210518.00,34867.00,175651.00,--,--,175651.00,-13080.00,--,162571.00,175651.00,--,--,162571.00,--,--,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,3265,台星科,3397416.00,2500776.00,--,--,896640.00,--,--,896640.00,217422.00,--,679218.00,-64165.00,615053.00,107248.00,507805.00,--,--,507805.00,-213596.00,--,294209.00,507805.00,--,--,294209.00,--,--,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,5508,永信建,1756150.00,963655.00,--,--,792495.00,--,--,792495.00,165001.00,--,627494.00,-14024.00,613470.00,122592.00,490878.00,--,--,490878.00,--,--,490878.00,490878.00,--,--,490878.00,--,--,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,5902,德記,1781497.00,1354988.00,--,--,426509.00,--,--,426509.00,224114.00,--,202395.00,9322.00,211717.00,43016.00,168701.00,--,--,168701.00,-76.00,--,168625.00,168701.00,--,--,168625.00,--,--,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,5904,寶雅,18741127.00,10427065.00,--,--,8314062.00,--,--,8314062.00,5618015.00,--,2696047.00,31873.00,2727920.00,540946.00,2186974.00,--,--,2186974.00,--,--,2186974.00,--,--,--,--,--,--,20.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,6762,達亞,534270.00,379949.00,--,--,154321.00,--,--,154321.00,102082.00,--,52239.00,-24441.00,27798.00,3959.00,23839.00,--,--,23839.00,--,--,23839.00,--,--,--,--,--,--,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,3,7782,光速火箭,519660.00,161900.00,--,--,357760.00,--,--,357760.00,313573.00,--,44187.00,-4844.00,39343.00,8217.00,31126.00,--,--,31126.00,--,--,31126.00,31325.00,--,-199.00,31325.00,--,-199.00,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2816,旺旺保,2483707.00,1785727.00,,,,,,,609283.00,,88697.00,14311.00,,72497.00,,--,--,30511.00,,--,65860.00,--,--,--,--,--,--,0.14,103008.00,30511.00,35349.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2832,台產,1864053.00,1027646.00,,,,,,,410773.00,,425634.00,-1316.00,,83592.00,,--,--,340726.00,,--,282825.00,--,--,--,--,--,--,0.94,424318.00,340726.00,-57901.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2850,新產,5176334.00,3320269.00,,,,,,,977672.00,,878393.00,1152.00,,167571.00,,--,--,711974.00,,--,353383.00,--,--,--,--,--,--,2.25,879545.00,711974.00,-358591.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2851,中再保,5792588.00,4873636.00,,,,,,,146431.00,,772521.00,22.00,,146019.00,,--,--,626524.00,,--,-8765.00,--,--,--,--,--,--,0.78,772543.00,626524.00,-635289.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2852,第一保,1863130.00,1177410.00,,,,,,,368094.00,,317626.00,62.00,,64287.00,,--,--,253401.00,,--,318283.00,--,--,--,--,--,--,0.84,317688.00,253401.00,64882.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,2867,三商壽,32806783.00,31594568.00,,,,,,,1201462.00,,10753.00,-23294.00,,-200131.00,,--,--,187590.00,,--,-4596179.00,--,--,--,--,--,--,0.03,-12541.00,187590.00,-4783769.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,5864,致和證,,,,,,,,,,,,,-482486.00,10181.00,-492667.00,--,--,-492667.00,,--,-496853.00,,--,,--,--,--,-1.17,,,,-426732.00,66969.00,-493701.00,11215.00,-4186.00,--,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,6015,宏遠證,,,,,,,,,,,,,-85695.00,8001.00,-93696.00,--,--,-93696.00,,--,-97566.00,,--,,-97566.00,--,--,-0.24,,,,175995.00,308549.00,-132554.00,46859.00,-3870.00,-93696.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,6016,康和證,,,,,,,,,,,,,-357952.00,46322.00,-404274.00,--,--,-404274.00,,--,-308151.00,,--,,-309696.00,--,1545.00,-0.65,,,,159689.00,597039.00,-437350.00,79398.00,96123.00,-405468.00,1194.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,6020,大展證,,,,,,,,,,,,,-40313.00,1373.00,-41686.00,--,--,-41686.00,,--,-99666.00,,--,,-99666.00,--,0.00,-0.17,,,,-5901.00,44217.00,-50118.00,9805.00,-57980.00,-41686.00,0.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,6021,美好證,,,,,,,,,,,,,-377897.00,-3853.00,-374044.00,--,--,-374044.00,,--,-535021.00,,--,,-535021.00,--,--,-1.22,,,,-147280.00,253772.00,-401052.00,23155.00,-160977.00,-374044.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,6023,元大期貨,,,,,,,,,,,,,770328.00,152866.00,617462.00,--,--,617462.00,,--,579883.00,,--,,579883.00,--,--,2.08,,,,893373.00,1172859.00,-279486.00,1049814.00,-37579.00,617462.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,6026,福邦證,,,,,,,,,,,,,57893.00,21341.00,36552.00,--,--,36552.00,,--,52820.00,,--,,52820.00,--,--,0.09,,,,185680.00,150902.00,34778.00,23115.00,16268.00,36552.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,1,2855,統一證,,,,,,,,,,,,,50497.00,113379.00,-62882.00,--,--,-62882.00,,--,35791.00,,--,,29412.00,--,6379.00,-0.05,,,,1728323.00,1991190.00,-262867.00,313364.00,98673.00,-67237.00,4355.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,6005,群益證,,,,,,,,,,,,,1188089.00,191093.00,996996.00,--,--,996996.00,,--,1118034.00,,--,,979553.00,--,138481.00,0.40,,,,3988568.00,3414764.00,573804.00,614285.00,121038.00,874656.00,122340.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,6024,群益期,,,,,,,,,,,,,345906.00,66163.00,279743.00,--,--,279743.00,,--,316321.00,,--,,316318.00,--,3.00,1.26,,,,704890.00,757603.00,-52713.00,398619.00,36578.00,279830.00,-87.00,,,,,,,,,,,,,,,,,
114/10/28,114,1,2801,彰銀,,,,,,,,,5175409.00,,,,,960337.00,,--,--,,,--,,,,,4558243.00,--,--,0.37,,,,,,,,,4134766.00,--,6372921.00,4368294.00,470703.00,5095103.00,4134766.00,4134766.00,423477.00,4558243.00,--,,,,,,,,
114/10/28,114,1,2812,台中銀,,,,,,,,,2218234.00,,,,,440420.00,,--,--,,,--,,,,,2168569.00,--,--,0.39,,,,,,,,,2174483.00,--,3225670.00,1790634.00,183167.00,2614903.00,2174483.00,2174483.00,-5914.00,2168569.00,--,,,,,,,,
114/10/28,114,1,2820,華票,,,,,,,,,126518.00,,,,,98231.00,,--,--,,,--,,,,,--,--,--,0.30,,,,,,,,,--,--,170019.00,417145.00,-34127.00,494773.00,396542.00,396542.00,292497.00,689039.00,--,,,,,,,,
114/10/28,114,1,2834,臺企銀,,,,,,,,,4044329.00,,,,,821692.00,,--,--,,,--,,,,,2487635.00,0.00,0.00,0.32,,,,,,,,,2935375.00,0.00,4844708.00,3744977.00,788289.00,3757067.00,2935375.00,2935375.00,-447740.00,2487635.00,0.00,,,,,,,,
114/10/28,114,1,2836,高雄銀,,,,,,,,,717285.00,,,,,90119.00,,--,--,,,--,,,,,--,--,--,0.15,,,,,,,,,--,--,833492.00,329990.00,90213.00,355984.00,265865.00,265865.00,387042.00,652907.00,--,,,,,,,,
114/10/28,114,1,2838,聯邦銀,,,,,,,,,3054859.00,,,,,301926.00,,--,--,,,--,,,,,3499545.00,--,-22936.00,0.30,,,,,,,,,1206352.00,-22953.00,2222604.00,2460033.00,142453.00,1485325.00,1183399.00,1183399.00,2293210.00,3476609.00,--,,,,,,,,
114/10/28,114,1,2845,遠東銀,,,,,,,,,1925633.00,,,,,118029.00,,--,--,,,--,,,,,1151235.00,--,--,0.26,,,,,,,,,1107361.00,--,1564193.00,1626049.00,39219.00,1225390.00,1107361.00,1107361.00,43874.00,1151235.00,--,,,,,,,,
114/10/28,114,1,2849,安泰銀,,,,,,,,,857708.00,,,,,61622.00,,0.00,--,,,--,,,,,--,--,--,0.19,,,,,,,,,--,--,718105.00,648247.00,83754.00,424890.00,363268.00,363268.00,397465.00,760733.00,--,,,,,,,,
114/10/28,114,1,2897,王道銀行,,,,,,,,,1222755.00,,,,,265121.00,,--,--,,,--,,,,,955128.00,--,512253.00,0.19,,,,,,,,,537095.00,291497.00,577379.00,1773586.00,34497.00,1093713.00,828592.00,828592.00,638789.00,1467381.00,--,,,,,,,,
114/10/28,114,1,5876,上海商銀,,,,,,,,,5291052.00,,,,,1125333.00,,--,--,,,--,,,,,5873619.00,--,3047739.00,0.96,,,,,,,,,4667070.00,1233518.00,9576282.00,4248836.00,1508145.00,7025921.00,5900588.00,5900588.00,3020770.00,8921358.00,--,,,,,,,,
114/10/28,114,2,5864,致和證,,,,,,,,,,,,,-184024.00,11592.00,-195616.00,--,--,-195616.00,,--,-229942.00,,--,,--,--,--,-0.43,,,,-79817.00,129504.00,-209321.00,25297.00,-34326.00,--,--,,,,,,,,,,,,,,,,,
114/10/28,114,2,6015,宏遠證,,,,,,,,,,,,,-99412.00,6088.00,-105500.00,--,--,-105500.00,,--,-109682.00,,--,,-109682.00,--,--,-0.27,,,,422620.00,615215.00,-192595.00,93183.00,-4182.00,-105500.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,2,6016,康和證,,,,,,,,,,,,,-253884.00,55559.00,-309443.00,--,--,-309443.00,,--,-112121.00,,--,,-114829.00,--,2708.00,-0.45,,,,784938.00,1174192.00,-389254.00,135370.00,197322.00,-311061.00,1618.00,,,,,,,,,,,,,,,,,
114/10/28,114,2,6020,大展證,,,,,,,,,,,,,-19158.00,-2312.00,-16846.00,--,--,-16846.00,,--,-20433.00,,--,,-20433.00,--,0.00,-0.07,,,,35793.00,93712.00,-57919.00,38761.00,-3587.00,-16846.00,0.00,,,,,,,,,,,,,,,,,
114/10/28,114,2,6021,美好證,,,,,,,,,,,,,-203652.00,-29640.00,-174012.00,--,--,-174012.00,,--,-455437.00,,--,,-455437.00,--,--,-0.57,,,,263359.00,518417.00,-255058.00,51406.00,-281425.00,-174012.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,2,6023,元大期貨,,,,,,,,,,,,,1584946.00,282746.00,1302200.00,--,--,1302200.00,,--,1138321.00,,--,,1138321.00,--,--,4.22,,,,1799750.00,2345293.00,-545543.00,2130489.00,-163879.00,1302200.00,--,,,,,,,,,,,,,,,,,
114/10/28,114,2,6026,福邦證,,,,,,,,,,,,,40949.00,25549.00,15400.00,--,--,15400.00,,--,32222.00,,--,,32222.00,--,0.00,0.04,,,,304947.00,289616.00,15331.00,25618.00,16822.00,15400.00,0.00,,,,,,,,,,,,,,,,,
114/10/28,114,2,1409,新纖,,,,,,,,,,,,,,79933.00,498945.00,--,,498945.00,,,59004.00,288663.00,--,210282.00,-112475.00,--,171479.00,0.18,,,,,,,,,,,,,,578878.00,,,,,,20103421.00,19524543.00,-439941.00,,,,,
114/10/28,114,2,1718,中纖,,,,,,,,,,,,,,854057.00,3058255.00,--,,3058255.00,,,3317414.00,-56948.00,--,3115203.00,43047.00,--,3274367.00,-0.04,,,,,,,,,,,,,,3912312.00,,,,,,23021270.00,19108958.00,259159.00,,,,,
114/10/28,114,2,2207,和泰車,,,,,,,,,,,,,,2623609.00,9923928.00,--,,9923928.00,,,5636951.00,8264307.00,--,1659621.00,4390916.00,--,1246035.00,14.83,,,,,,,,,,,,,,12547537.00,,,,,,141095374.00,128547837.00,-4286977.00,,,,,
114/10/28,114,2,2905,三商,,,,,,,,,,,,,,-939.00,-324194.00,--,,-324194.00,,,-10144926.00,-64512.00,--,-259682.00,-3652902.00,--,-6492024.00,-0.06,,,,,,,,,,,,,,-325133.00,,,,,,96960709.00,97285842.00,-9820732.00,,,,,
114/10/28,114,2,1240,茂生農經,1347115.00,1176369.00,-3434.00,34057.00,201369.00,--,--,201369.00,123462.00,--,77907.00,42716.00,120623.00,20891.00,99732.00,--,--,99732.00,-37755.00,--,61977.00,103230.00,--,-3498.00,65475.00,--,-3498.00,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1259,安心,2998322.00,2332217.00,--,--,666105.00,--,--,666105.00,676605.00,--,-10500.00,43006.00,32506.00,-199.00,32705.00,--,--,32705.00,-127194.00,--,-94489.00,30022.00,--,2683.00,-95051.00,--,562.00,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1264,德麥,3291426.00,2217655.00,--,--,1073771.00,--,--,1073771.00,513203.00,--,560568.00,12558.00,573126.00,136265.00,436861.00,--,--,436861.00,-180038.00,--,256823.00,380996.00,--,55865.00,269986.00,--,-13163.00,10.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1268,漢來美食,3150533.00,1678276.00,--,--,1472257.00,--,--,1472257.00,1122367.00,--,349890.00,-22655.00,327235.00,67520.00,259715.00,--,--,259715.00,-52005.00,--,207710.00,259715.00,--,--,207710.00,--,--,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1294,漢田生技,369142.00,229544.00,--,--,139598.00,--,--,139598.00,51096.00,--,88502.00,-533.00,87969.00,17213.00,70756.00,--,--,70756.00,--,--,70756.00,70745.00,--,11.00,70745.00,--,11.00,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1295,生合,542837.00,236991.00,--,--,305846.00,--,--,305846.00,161363.00,--,144483.00,-18072.00,126411.00,24473.00,101938.00,--,--,101938.00,-30012.00,--,71926.00,101938.00,--,--,71926.00,--,--,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1336,台翰,1268303.00,1043173.00,--,--,225130.00,--,--,225130.00,137885.00,--,87245.00,-25026.00,62219.00,32988.00,29231.00,--,--,29231.00,-167837.00,--,-138606.00,29231.00,--,--,-138606.00,--,--,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1565,精華,2168500.00,1641554.00,--,--,526946.00,--,--,526946.00,176997.00,--,349949.00,-84023.00,265926.00,64120.00,201806.00,--,--,201806.00,319.00,--,202125.00,201806.00,--,--,202125.00,--,--,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1569,濱川,1688940.00,1676178.00,--,--,12762.00,--,--,12762.00,275029.00,--,-262267.00,-138263.00,-400530.00,16080.00,-416610.00,--,--,-416610.00,-256165.00,--,-672775.00,-438018.00,--,21408.00,-688548.00,--,15773.00,-3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1570,力肯,281120.00,196969.00,--,--,84151.00,--,--,84151.00,39281.00,--,44870.00,-15900.00,28970.00,6619.00,22351.00,--,--,22351.00,-8067.00,--,14284.00,22351.00,--,0.00,14284.00,--,0.00,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1580,新麥,2338679.00,1336990.00,--,--,1001689.00,--,--,1001689.00,534400.00,--,467289.00,18303.00,485592.00,180821.00,304771.00,--,--,304771.00,-234627.00,--,70144.00,284502.00,--,20269.00,63111.00,--,7033.00,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1584,精剛,1339969.00,1172965.00,--,--,167004.00,--,--,167004.00,134033.00,--,32971.00,-25170.00,7801.00,2131.00,5670.00,--,--,5670.00,-85668.00,--,-79998.00,9983.00,--,-4313.00,-75685.00,--,-4313.00,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1586,和勤,1100817.00,976173.00,--,--,124644.00,--,--,124644.00,182077.00,--,-57433.00,6786.00,-50647.00,-9882.00,-40765.00,--,--,-40765.00,-123734.00,--,-164499.00,-40765.00,--,--,-164499.00,--,--,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1591,駿吉-KY,48948.00,56014.00,--,--,-7066.00,--,--,-7066.00,42707.00,--,-49773.00,-2568.00,-52341.00,-2116.00,-50225.00,--,--,-50225.00,-19966.00,--,-70191.00,-50225.00,--,--,-70191.00,--,--,-1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1593,祺驊,583703.00,394818.00,--,--,188885.00,--,--,188885.00,130871.00,--,58014.00,5516.00,63530.00,14809.00,48721.00,--,--,48721.00,-60199.00,--,-11478.00,34505.00,--,14216.00,-25694.00,--,14216.00,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1595,川寶,394011.00,295549.00,--,--,98462.00,--,--,98462.00,148240.00,--,-49778.00,-25631.00,-75409.00,1019.00,-76428.00,--,--,-76428.00,-28363.00,--,-104791.00,-75497.00,--,-931.00,-103860.00,--,-931.00,-1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1599,宏佳騰,1003665.00,790832.00,--,--,212833.00,--,--,212833.00,249027.00,--,-36194.00,-29119.00,-65313.00,-10946.00,-54367.00,--,--,-54367.00,-24713.00,--,-79080.00,-43168.00,--,-11199.00,-67881.00,--,-11199.00,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1742,台蠟,69899.00,49859.00,--,--,20040.00,--,--,20040.00,57711.00,--,-37671.00,-31024.00,-68695.00,-1698.00,-66997.00,--,--,-66997.00,605.00,--,-66392.00,-66997.00,--,--,-66392.00,--,--,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1777,生泰,640590.00,431968.00,--,--,208622.00,--,--,208622.00,64031.00,--,144591.00,-23064.00,121527.00,29165.00,92362.00,--,--,92362.00,0.00,--,92362.00,--,--,--,--,--,--,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1781,合世,191248.00,148286.00,--,--,42962.00,--,--,42962.00,66098.00,--,-23136.00,-17899.00,-41035.00,-5978.00,-35057.00,--,--,-35057.00,-11398.00,--,-46455.00,-35057.00,--,--,-46455.00,--,--,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1784,訊聯,595200.00,269220.00,--,--,325980.00,--,--,325980.00,323018.00,--,2962.00,12909.00,15871.00,12093.00,3778.00,--,--,3778.00,-2715.00,--,1063.00,26422.00,--,-22644.00,25301.00,--,-24238.00,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1785,光洋科,17767399.00,15384924.00,--,--,2382475.00,--,--,2382475.00,535878.00,--,1846597.00,-1772546.00,74051.00,18368.00,55683.00,--,--,55683.00,-246511.00,--,-190828.00,58643.00,--,-2960.00,-187868.00,--,-2960.00,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1788,杏昌,2120555.00,1570993.00,--,--,549562.00,--,--,549562.00,342725.00,--,206837.00,20908.00,227745.00,45046.00,182699.00,--,--,182699.00,-9133.00,--,173566.00,182699.00,0.00,0.00,173566.00,0.00,0.00,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1796,金穎生技,334287.00,244104.00,--,--,90183.00,--,--,90183.00,69442.00,--,20741.00,-12322.00,8419.00,1050.00,7369.00,--,--,7369.00,-1519.00,--,5850.00,7369.00,--,--,5850.00,--,--,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1799,易威,260797.00,133842.00,--,--,126955.00,--,--,126955.00,172293.00,--,-45338.00,-5454.00,-50792.00,306.00,-51098.00,--,--,-51098.00,-31881.00,--,-82979.00,-49564.00,--,-1534.00,-80953.00,--,-2026.00,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1813,寶利徠,164371.00,185035.00,--,--,-20664.00,--,--,-20664.00,39367.00,--,-60031.00,-2638.00,-62669.00,-10098.00,-52571.00,--,--,-52571.00,12344.00,--,-40227.00,-48552.00,--,-4019.00,-38449.00,--,-1778.00,-1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1815,富喬,2805007.00,2044834.00,--,--,760173.00,--,--,760173.00,285957.00,--,474216.00,-293600.00,180616.00,42876.00,137740.00,--,--,137740.00,-265860.00,--,-128120.00,137740.00,--,--,-128120.00,--,--,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2035,唐榮公司,5135967.00,5816493.00,--,--,-680526.00,--,--,-680526.00,149125.00,--,-829651.00,-60271.00,-889922.00,--,-889922.00,--,--,-889922.00,-6498.00,--,-896420.00,--,--,--,--,--,--,-2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2061,風青,600050.00,571703.00,--,--,28347.00,--,--,28347.00,32058.00,--,-3711.00,-54525.00,-58236.00,3584.00,-61820.00,--,--,-61820.00,-14005.00,--,-75825.00,-61820.00,--,--,-75825.00,--,--,-1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2063,世鎧,484838.00,400902.00,--,--,83936.00,--,--,83936.00,66194.00,--,17742.00,17501.00,35243.00,-42.00,35285.00,--,--,35285.00,-90557.00,--,-55272.00,35285.00,--,--,-55272.00,--,--,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2064,晉椿,744395.00,722575.00,--,--,21820.00,-418.00,--,22238.00,58647.00,--,-36409.00,-55050.00,-91459.00,2822.00,-94281.00,--,--,-94281.00,-6382.00,--,-100663.00,-94307.00,--,26.00,-100662.00,--,-1.00,-1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2065,世豐,1062811.00,897155.00,--,--,165656.00,--,--,165656.00,108068.00,--,57588.00,-84835.00,-27247.00,9.00,-27256.00,--,--,-27256.00,-209135.00,--,-236391.00,-27256.00,--,--,-236391.00,--,--,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2066,世德,1353268.00,894869.00,--,--,458399.00,--,--,458399.00,359641.00,--,98758.00,-56373.00,42385.00,15310.00,27075.00,--,--,27075.00,-22614.00,--,4461.00,27075.00,--,--,4461.00,--,--,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2067,嘉鋼,524084.00,497576.00,--,--,26508.00,--,--,26508.00,81895.00,--,-55387.00,-20386.00,-75773.00,879.00,-76652.00,--,--,-76652.00,150776.00,--,74124.00,-65748.00,--,-10904.00,85330.00,--,-11206.00,-1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2070,精湛,297018.00,157316.00,--,--,139702.00,--,--,139702.00,112829.00,--,26873.00,-2612.00,24261.00,6130.00,18131.00,--,--,18131.00,-21668.00,--,-3537.00,18131.00,--,--,-3537.00,--,--,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2073,雄順,290924.00,258705.00,--,--,32219.00,--,--,32219.00,33364.00,--,-1145.00,-1029.00,-2174.00,-601.00,-1573.00,--,--,-1573.00,136.00,--,-1437.00,--,--,--,--,--,--,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2221,大甲,676984.00,535740.00,--,--,141244.00,--,--,141244.00,60700.00,--,80544.00,-17361.00,63183.00,13904.00,49279.00,--,--,49279.00,-5344.00,--,43935.00,48312.00,--,967.00,42968.00,0.00,967.00,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2230,泰茂,766190.00,702050.00,--,--,64140.00,--,--,64140.00,51998.00,5.00,12147.00,-19356.00,-7209.00,5399.00,-12608.00,--,--,-12608.00,-93136.00,--,-105744.00,-11953.00,--,-655.00,-103685.00,--,-2059.00,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2235,謚源,277994.00,221063.00,--,--,56931.00,0.00,0.00,56931.00,38254.00,--,18677.00,-15477.00,3200.00,903.00,2297.00,--,--,2297.00,0.00,0.00,2297.00,--,--,--,--,--,--,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2596,綠意,831238.00,623804.00,--,--,207434.00,--,--,207434.00,72687.00,--,134747.00,3947.00,138694.00,25904.00,112790.00,--,--,112790.00,--,--,112790.00,114475.00,--,-1685.00,114475.00,--,-1685.00,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2640,大車隊,1540862.00,790409.00,--,--,750453.00,--,--,750453.00,436333.00,--,314120.00,5837.00,319957.00,69280.00,250677.00,--,--,250677.00,--,--,250677.00,257276.00,--,-6599.00,257276.00,--,-6599.00,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2641,正德,1055655.00,649327.00,--,--,406328.00,--,--,406328.00,64210.00,--,342118.00,-11444.00,330674.00,26892.00,303782.00,--,--,303782.00,-848245.00,--,-544463.00,293172.00,--,10610.00,-555073.00,--,10610.00,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2643,捷迅,3977511.00,3661744.00,--,--,315767.00,--,--,315767.00,143666.00,--,172101.00,-80833.00,91268.00,24436.00,66832.00,--,--,66832.00,-126890.00,--,-60058.00,66832.00,--,--,-60058.00,--,--,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2718,全心投控,1805595.00,590097.00,--,--,1215498.00,--,--,1215498.00,133820.00,--,1081678.00,63960.00,1145638.00,340953.00,804685.00,--,--,804685.00,-7234.00,--,797451.00,804685.00,--,--,797451.00,--,--,9.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2719,燦星旅,1086228.00,1026396.00,--,--,59832.00,--,--,59832.00,73722.00,--,-13890.00,-5575.00,-19465.00,-222.00,-19243.00,--,--,-19243.00,--,--,-19243.00,-19243.00,--,--,-19243.00,--,--,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
