出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,本期其他綜合損益（稅後淨額）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,繼續營業單位稅前淨利（淨損）,繼續營業單位本期稅後淨利（淨損）,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益,收入,支出,其他綜合損益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益
114/10/28,114,1,7704,明遠精密,159341.00,104126.00,--,--,55215.00,--,--,55215.00,38941.00,0.00,16274.00,3058.00,19332.00,2960.00,16372.00,0.00,--,16372.00,2786.00,--,19158.00,16372.00,--,0.00,19158.00,--,0.00,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7708,全家餐飲,646085.00,338086.00,--,--,307999.00,--,--,307999.00,255311.00,--,52688.00,-2361.00,50327.00,10850.00,39477.00,--,--,39477.00,469.00,--,39946.00,39477.00,--,--,39946.00,--,--,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7709,榮田,172071.00,125339.00,--,--,46732.00,--,--,46732.00,47552.00,--,-820.00,40273.00,39453.00,8691.00,30762.00,--,--,30762.00,--,--,30762.00,--,--,--,--,--,--,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7712,博盛半導體,315821.00,215060.00,--,--,100761.00,--,--,100761.00,56444.00,--,44317.00,10304.00,54621.00,11536.00,43085.00,--,--,43085.00,130.00,--,43215.00,43085.00,--,--,43215.00,--,--,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7713,威力德生醫,245133.00,167140.00,--,--,77993.00,--,--,77993.00,27648.00,--,50345.00,877.00,51222.00,10244.00,40978.00,--,--,40978.00,--,--,40978.00,40978.00,--,--,40978.00,--,--,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7714,創泓科技,421665.00,352973.00,--,--,68692.00,--,--,68692.00,40884.00,--,27808.00,-1184.00,26624.00,5327.00,21297.00,--,--,21297.00,--,--,21297.00,21297.00,--,--,21297.00,--,--,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7715,裕山,438528.00,337559.00,--,--,100969.00,--,--,100969.00,44597.00,--,56372.00,2620.00,58992.00,14523.00,44469.00,--,--,44469.00,314.00,--,44783.00,44469.00,--,--,44783.00,--,--,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7716,昱臺國際,519494.00,410055.00,--,--,109439.00,--,--,109439.00,82765.00,--,26674.00,694.00,27368.00,6492.00,20876.00,--,--,20876.00,2888.00,--,23764.00,20715.00,--,161.00,23603.00,--,161.00,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7718,友鋮,595964.00,485464.00,--,--,110500.00,--,--,110500.00,74439.00,--,36061.00,21385.00,57446.00,14582.00,42864.00,--,--,42864.00,686.00,--,43550.00,42864.00,--,--,43550.00,--,--,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7723,築間,1339414.00,718966.00,--,--,620448.00,--,--,620448.00,605674.00,--,14774.00,-9895.00,4879.00,1263.00,3616.00,--,--,3616.00,200.00,--,3816.00,5051.00,--,-1435.00,5409.00,--,-1593.00,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7728,光焱科技,84700.00,33338.00,--,--,51362.00,--,--,51362.00,40468.00,--,10894.00,6106.00,17000.00,3400.00,13600.00,0.00,--,13600.00,187.00,--,13787.00,13600.00,--,--,13787.00,--,--,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,1,7734,印能科技,481554.00,135357.00,--,--,346197.00,--,--,346197.00,80916.00,--,265281.00,36788.00,302069.00,74077.00,227992.00,--,--,227992.00,1954.00,--,229946.00,226092.00,--,1900.00,227779.00,--,2167.00,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
