出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,利息以外淨損益,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,合併前非屬共同控制股權損益,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,本期淨利（淨損）,營業收入,營業成本,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,其他綜合損益（淨額）,收入,支出,其他綜合損益
114/10/28,111,4,2834,臺企銀,20227973.00,,,2386062.00,,14103269.00,,,,0.00,10121852.00,,,,,,3221606.00,--,--,1.26,8301150.00,12039792.00,1917940.00,10121852.00,--,-6900246.00,--,3221606.00,10121852.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,4,2836,高雄銀,2905870.00,,,109435.00,,2649256.00,,,,--,934500.00,,,,,,--,--,--,0.75,993208.00,1140387.00,205887.00,934500.00,--,-2041490.00,--,-1106990.00,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,4,2838,聯邦銀,9841735.00,,,499377.00,,10936188.00,,,,--,3541534.00,,,,,,-3187453.00,--,2468.00,0.85,6143604.00,4549774.00,1008240.00,3541534.00,--,-6726519.00,--,-3184985.00,3539070.00,--,2464.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,4,2845,遠東銀,7043553.00,,,544102.00,,7003713.00,,,,--,3677502.00,,,,,,1934886.00,--,--,1.00,4695378.00,4191116.00,513614.00,3677502.00,--,-1742616.00,--,1934886.00,3677502.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,4,2849,安泰銀,4029682.00,,,1740909.00,,2951114.00,,,,0.00,1065618.00,,,,,,--,--,--,0.54,1952071.00,1289730.00,224112.00,1065618.00,--,-1747271.00,--,-681653.00,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,4,2897,王道銀行,4581495.00,,,608103.00,,4895490.00,,,,0.00,5808355.00,,,,,,2259593.00,--,-1633655.00,1.80,7539324.00,6617226.00,808871.00,5808355.00,--,-5182417.00,--,625938.00,5034471.00,--,773884.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,4,5876,上海商銀,33243343.00,,,4336995.00,,17030577.00,,,,--,19096024.00,,,,,,5506359.00,--,4928912.00,3.33,11355979.00,23231750.00,4135726.00,19096024.00,--,-8660753.00,--,10435271.00,14937870.00,--,4158154.00,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2801,彰銀,5451252.00,,,557306.00,,4053988.00,,,,--,2377142.00,,,,,,1612824.00,--,--,0.23,1978438.00,2818396.00,441254.00,2377142.00,--,-764318.00,--,1612824.00,2377142.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2812,台中銀,2417616.00,,,217869.00,,1657132.00,,,,--,1276014.00,,,,,,1107765.00,--,--,0.28,1019878.00,1562493.00,286479.00,1276014.00,--,-168249.00,--,1107765.00,1276014.00,--,--,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,111,1,2820,華票,299718.00,,,-19563.00,,121286.00,,,,--,426942.00,,,,,,--,--,--,0.32,302994.00,500989.00,74047.00,426942.00,--,-1468419.00,0.00,-1041477.00,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,
