出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,避險之衍生金融負債－淨額,附買回票券及債券負債,當期所得稅負債,存款及匯款,應付金融債券,應付公司債,負債總額,權益總額,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,Unnamed: 15,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,應付商業本票－淨額,其他借款,歸屬於母公司業主之權益
114/10/28,114,2,1796,金穎生技,541911.00,705227.00,1247138.00,134581.00,318523.00,453104.00,414598.00,--,294336.00,88749.00,-3649.00,--,794034.00,--,--,--,794034.00,0.00,0.00,0.00,19.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1799,易威,615604.00,594930.00,1210534.00,251348.00,300459.00,551807.00,1246895.00,--,150189.00,-737351.00,-7281.00,--,652452.00,--,--,6275.00,658727.00,0.00,0.00,0.00,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1813,寶利徠,357580.00,614712.00,972292.00,293153.00,10306.00,303459.00,466355.00,--,218217.00,13126.00,-9038.00,--,688660.00,--,--,-19827.00,668833.00,--,0.00,0.00,14.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,1815,富喬,4910842.00,10347813.00,15258655.00,2120525.00,5493837.00,7614362.00,5208717.00,--,2370842.00,299520.00,-220345.00,-14441.00,7644293.00,--,--,--,7644293.00,--,0.00,600000.00,14.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2035,唐榮公司,3353209.00,14103742.00,17456951.00,2883114.00,11643654.00,14526768.00,3500000.00,--,46.00,-675832.00,105969.00,--,--,--,--,--,2930183.00,--,0.00,0.00,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2061,風青,842528.00,244747.00,1087275.00,456343.00,38055.00,494398.00,573781.00,--,89538.00,-59587.00,-10855.00,--,592877.00,--,--,--,592877.00,0.00,0.00,0.00,10.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2063,世鎧,973227.00,960292.00,1933519.00,902666.00,101914.00,1004580.00,481015.00,--,265957.00,270343.00,-88316.00,-60.00,928939.00,--,--,--,928939.00,0.00,0.00,2000.00,19.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2064,晉椿,1048529.00,1381169.00,2429698.00,1406501.00,98942.00,1505443.00,693300.00,--,101566.00,149139.00,-20405.00,0.00,923600.00,--,--,655.00,924255.00,--,0.00,0.00,13.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2065,世豐,1503742.00,1979962.00,3483704.00,1044131.00,743518.00,1787649.00,635167.00,--,823006.00,395115.00,-157233.00,--,1696055.00,--,--,--,1696055.00,--,0.00,0.00,26.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2066,世德,2686415.00,1111513.00,3797928.00,1134756.00,561185.00,1695941.00,444495.00,--,515893.00,1166338.00,-24739.00,0.00,2101987.00,--,--,--,2101987.00,0.00,0.00,0.00,47.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2067,嘉鋼,689866.00,1255148.00,1945014.00,1226417.00,347849.00,1574266.00,451382.00,--,--,-280291.00,144696.00,--,315787.00,--,--,54961.00,370748.00,--,0.00,0.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2070,精湛,834328.00,645667.00,1479995.00,457661.00,117216.00,574877.00,357828.00,--,4520.00,592525.00,-49755.00,--,905118.00,--,--,--,905118.00,0.00,0.00,0.00,25.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2073,雄順,180309.00,531246.00,711555.00,168155.00,120147.00,288302.00,275000.00,--,63203.00,86034.00,-984.00,--,--,--,--,--,423253.00,--,0.00,0.00,15.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2221,大甲,1204385.00,485395.00,1689780.00,437097.00,147766.00,584863.00,423250.00,0.00,59634.00,536741.00,-7880.00,0.00,1011745.00,0.00,--,93172.00,1104917.00,0.00,0.00,0.00,23.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2230,泰茂,1164306.00,586998.00,1751304.00,361493.00,197920.00,559413.00,680296.00,--,265713.00,310276.00,-83154.00,--,1173131.00,--,--,18760.00,1191891.00,--,0.00,0.00,20.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2235,謚源,542040.00,967238.00,1509278.00,253779.00,53968.00,307747.00,358780.00,--,497802.00,344949.00,--,--,--,--,--,--,1201531.00,--,0.00,0.00,33.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2596,綠意,5524592.00,160209.00,5684801.00,3290477.00,--,3290477.00,1000000.00,--,189208.00,845130.00,0.00,0.00,2034338.00,0.00,--,359986.00,2394324.00,--,0.00,0.00,20.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2640,大車隊,1764921.00,2249475.00,4014396.00,1477268.00,533816.00,2011084.00,592650.00,--,498623.00,824392.00,-587.00,--,1915078.00,--,--,88234.00,2003312.00,0.00,0.00,0.00,32.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2641,正德,2617338.00,11165733.00,13783071.00,1401996.00,4860954.00,6262950.00,3185020.00,--,1644037.00,2369535.00,-304457.00,--,6894135.00,--,--,625986.00,7520121.00,0.00,0.00,0.00,21.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,114,2,2643,捷迅,2394664.00,430118.00,2824782.00,928739.00,147060.00,1075799.00,350000.00,--,421105.00,1021686.00,-43808.00,--,1748983.00,--,--,--,1748983.00,--,0.00,0.00,49.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
