出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/28","113","2","2880","華南金","39368625.00","236512788.00","171273975.00","395421651.00","789470868.00","--","1519981.00","84598596.00","358316.00","--","--","2369383710.00","6544184.00","341993.00","--","19609490.00","13146995.00","33602052.00","2344691.00","877512.00","3895708.00","4362082.00","4172633217.00","249540472.00","--","5491205.00","--","72315200.00","42320684.00","66291188.00","3432767.00","--","3314987878.00","76288056.00","6730000.00","--","24773459.00","84067612.00","2392949.00","6189434.00","9830764.00","3964651668.00","137791734.00","17761804.00","58703148.00","-6277419.00","--","--","207979267.00","2282.00","207981549.00","--","0.00","0.00","15.24"
"114/10/28","113","2","2881","富邦金","295207253.00","472136178.00","1851176004.00","711593225.00","3826607549.00","17128682.00","108429224.00","380907895.00","3759291.00","3610678.00","--","2912162174.00","40495876.00","60157310.00","--","555003269.00","297879954.00","69708949.00","13994078.00","33814410.00","59742579.00","60716050.00","11774230628.00","137971596.00","0.00","87241981.00","20300903.00","89111611.00","90658493.00","270914132.00","4756413.00","--","4156144239.00","330141747.00","13645247.00","--","4799541831.00","642011258.00","21228943.00","62801399.00","95057260.00","10821527053.00","152657119.00","158530563.00","575659637.00","50735185.00","--","--","937582504.00","15121071.00","952703575.00","0.00","0.00","0.00","64.15"
"114/10/28","113","2","2882","國泰金","420541613.00","305392021.00","1870770296.00","983253983.00","4804455086.00","0.00","55586603.00","302837215.00","1761655.00","--","--","2858373500.00","20264708.00","57673364.00","--","797502314.00","474521912.00","108279618.00","5097482.00","33925325.00","89355144.00","85125474.00","13274717313.00","135755334.00","--","176536292.00","2132053.00","35435445.00","89141303.00","134427303.00","2567807.00","--","3484074486.00","218846250.00","13249452.00","--","7126339136.00","853305568.00","19528726.00","71828712.00","20900276.00","12384068143.00","162025102.00","203111676.00","541050587.00","-30190825.00","0.00","0.00","875996540.00","14652630.00","890649170.00","--","0.00","0.00","54.07"
"114/10/28","113","2","2883","凱基金","62995877.00","29379341.00","626404264.00","252261656.00","1724956978.00","997658.00","79418448.00","199088795.00","894723.00","--","--","474859114.00","1065271.00","26088172.00","--","192956521.00","59031016.00","30695198.00","11593208.00","17399623.00","23193891.00","99289444.00","3912569198.00","5340106.00","--","78553242.00","973786.00","170607884.00","72911122.00","139046019.00","544478.00","--","557657533.00","103763910.00","34302723.00","--","2106560844.00","237598289.00","3897111.00","24756701.00","78002576.00","3614516324.00","183908413.00","33725743.00","92936312.00","-12650193.00","--","--","297920275.00","132599.00","298052874.00","23481696.00","0.00","0.00","16.20"
"114/10/28","113","2","2884","玉山金","50400286.00","230633655.00","281907425.00","393025032.00","444742978.00","2967.00","13988184.00","192111408.00","476320.00","--","--","2216636303.00","--","--","--","12649085.00","1770828.00","34319625.00","7307157.00","6183860.00","3259843.00","22002570.00","3911417526.00","75277998.00","--","94066582.00","79195.00","36038599.00","10379807.00","69620490.00","3625009.00","--","3206783367.00","47450000.00","366402.00","--","1044202.00","117613644.00","4610694.00","2601890.00","5125293.00","3674683172.00","159958000.00","35089397.00","38413011.00","3106200.00","--","--","236566608.00","167746.00","236734354.00","--","0.00","0.00","15.10"
"114/10/28","113","2","2885","元大金","87649693.00","91321286.00","595881870.00","339765224.00","553103780.00","--","86685841.00","366135130.00","2627170.00","1329241.00","--","1172031092.00","1275427.00","2177699.00","3791542.00","117016471.00","13262160.00","28757607.00","11132040.00","30609015.00","6797570.00","79937146.00","3591287004.00","7012425.00","--","166685657.00","--","237331602.00","141774323.00","222702195.00","5219194.00","--","1660379220.00","111077603.00","66795155.00","--","389396692.00","147591715.00","6119031.00","7028263.00","104858336.00","3273971411.00","129428640.00","38192619.00","118133231.00","10609015.00","--","--","296363505.00","20952088.00","317315593.00","0.00","0.00","0.00","23.36"
"114/10/28","113","2","2886","兆豐金","89722189.00","611503799.00","228377716.00","592565847.00","625039402.00","--","1100642.00","123417433.00","2939.00","0.00","--","2220872551.00","14615876.00","5498811.00","--","7621270.00","2074676.00","21982538.00","2026663.00","1362749.00","7217240.00","7930864.00","4562933205.00","582846579.00","2838895.00","26552571.00","--","314891243.00","26006962.00","118297575.00","8027009.00","--","3014426836.00","33000000.00","7996048.00","--","30659024.00","25258065.00","2096283.00","2544569.00","17674580.00","4213116239.00","148333783.00","76552384.00","121172674.00","3758125.00","0.00","0.00","349816966.00","0.00","349816966.00","0.00","0.00","0.00","24.29"
"114/10/28","113","2","2887","台新新光金","25615903.00","103784560.00","189042875.00","180072946.00","761477221.00","--","3498271.00","198611025.00","--","--","--","1651635756.00","587523.00","501259.00","--","52021732.00","5505520.00","25572408.00","2269163.00","3573218.00","7346519.00","26579490.00","3237695389.00","24164370.00","--","58569397.00","--","80596032.00","37246449.00","57506515.00","2808059.00","--","2261848884.00","65206625.00","11151963.00","--","257817401.00","147499562.00","2347226.00","1822642.00","8986747.00","3017571872.00","140761443.00","38197778.00","39774916.00","1362454.00","--","--","220096591.00","26926.00","220123517.00","--","0.00","0.00","16.21"
"114/10/28","113","2","2889","國票金","3609380.00","191.00","164296633.00","134999294.00","807805.00","--","286604.00","52272923.00","307.00","--","--","--","--","5618410.00","--","12548567.00","397365.00","7020805.00","138739.00","261676.00","528920.00","5570259.00","388357878.00","--","25654720.00","2227502.00","--","239286222.00","29106040.00","26381053.00","410903.00","--","--","--","--","--","1772996.00","9782162.00","134892.00","37886.00","6035965.00","340830341.00","35321896.00","399923.00","4350284.00","489487.00","0.00","--","40561590.00","6965947.00","47527537.00","0.00","0.00","0.00","11.77"
"114/10/28","113","2","2890","永豐金","38216227.00","147356594.00","170082591.00","398745100.00","310057984.00","--","80950804.00","171967636.00","527860.00","--","--","1524333598.00","--","1089459.00","--","55301539.00","2157438.00","13388820.00","3986449.00","2393705.00","2472122.00","31187166.00","2954215092.00","76415629.00","2850865.00","73249531.00","--","93514895.00","71379958.00","94751933.00","3429576.00","--","2143397350.00","68479903.00","14067048.00","18437.00","3113897.00","95753125.00","3523430.00","1732549.00","14605036.00","2760283162.00","126858509.00","6129361.00","67061726.00","-6117666.00","--","--","193931930.00","0.00","193931930.00","--","0.00","0.00","15.67"
