公司代號名稱,股東會日期,股利所屬年(季)度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股)
8482 - 商億-KY,109/05/27,108年 年度,6.00000000,"        648,672,000",0.0
8482 - 商億-KY,109/05/27,108年 年度,6.00000000,"        648,672,000",0.0
8482 - 商億-KY,109/05/27,108年 年度,6.00000000,"        648,672,000",0.0
8487 - 愛爾達-創,109/06/09,108年 年度,0.50000000,"         10,250,000",0.0
8487 - 愛爾達-創,109/06/09,108年 年度,0.50000000,"         10,250,000",0.0
8487 - 愛爾達-創,109/06/09,108年 年度,0.50000000,"         10,250,000",0.0
8487 - 愛爾達-創,109/06/09,108年 年度,0.50000000,"         10,250,000",0.0
8488 - 吉源-KY,109/06/11,108年 年度,0.0,"         33,750,000",0.0
8488 - 吉源-KY,109/06/11,108年 年度,0.0,"         33,750,000",0.0
8488 - 吉源-KY,109/06/11,108年 年度,0.0,"         33,750,000",0.0
8488 - 吉源-KY,109/06/11,108年 年度,0.0,"         33,750,000",0.0
8489 - 三貝德,109/06/24,108年 年度,1.60000000,"         57,856,663",0.0
8489 - 三貝德,109/06/24,108年 年度,1.60000000,"         57,856,663",0.0
8489 - 三貝德,109/06/24,108年 年度,1.60000000,"         57,856,663",0.0
8489 - 三貝德,109/06/24,108年 年度,1.60000000,"         57,856,663",0.0
8499 - 鼎炫-KY,109/06/08,108年 年度,5.00000000,"        256,430,000",0.0
8499 - 鼎炫-KY,109/06/08,108年 年度,5.00000000,"        256,430,000",0.0
8499 - 鼎炫-KY,109/06/08,108年 年度,5.00000000,"        256,430,000",0.0
8499 - 鼎炫-KY,109/06/08,108年 年度,5.00000000,"        256,430,000",0.0
8905 - 裕國,109/09/23,108年 年度,0.65000000,"        119,440,000",0.0
8905 - 裕國,109/09/23,108年 年度,0.65000000,"        119,440,000",0.0
