公司代號名稱,股東會日期,股利所屬年(季)度,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1101 - 台泥,114/05/27,113年 年度,股東會確認,1.00000000,0.0,0.0,"      7,531,181,742",0.0,0.0,0.0,                  0
1101B - 台泥乙特,114/05/27,113年 年度,股東會確認,2.02625000,0.0,0.0,"        405,250,000",0.0,0.0,0.0,                  0
1101 - 台泥,114/05/27,113年 年度,股東會確認,1.00000000,0.0,0.0,"      7,531,181,742",0.0,0.0,0.0,                  0
1101B - 台泥乙特,114/05/27,113年 年度,股東會確認,2.02625000,0.0,0.0,"        405,250,000",0.0,0.0,0.0,                  0
1101B - 台泥乙特,114/05/27,113年 年度,股東會確認,2.02625000,0.0,0.0,"        405,250,000",0.0,0.0,0.0,                  0
1101 - 台泥,114/05/27,113年 年度,股東會確認,1.00000000,0.0,0.0,"      7,531,181,742",0.0,0.0,0.0,                  0
1101 - 台泥,114/05/27,113年 年度,股東會確認,1.00000000,0.0,0.0,"      7,531,181,742",0.0,0.0,0.0,                  0
1101B - 台泥乙特,114/05/27,113年 年度,股東會確認,2.02625000,0.0,0.0,"        405,250,000",0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第3季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第4季,董事會決議,2.20000000,0.0,0.0,"      7,802,438,338",0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第2季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第3季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第4季,董事會決議,2.20000000,0.0,0.0,"      7,802,438,338",0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第2季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第1季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第2季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第1季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第1季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第2季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第3季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第4季,董事會決議,2.20000000,0.0,0.0,"      7,802,438,338",0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第3季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第1季,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1102 - 亞泥,不適用,113年 第4季,董事會決議,2.20000000,0.0,0.0,"      7,802,438,338",0.0,0.0,0.0,                  0
1103 - 嘉泥,114/05/16,113年 年度,股東會確認,0.55000000,0.0,0.0,"        434,636,102",0.0,0.0,0.0,                  0
1103 - 嘉泥,114/05/16,113年 年度,股東會確認,0.55000000,0.0,0.0,"        434,636,102",0.0,0.0,0.0,                  0
1103 - 嘉泥,114/05/16,113年 年度,股東會確認,0.55000000,0.0,0.0,"        434,636,102",0.0,0.0,0.0,                  0
1103 - 嘉泥,114/05/16,113年 年度,股東會確認,0.55000000,0.0,0.0,"        434,636,102",0.0,0.0,0.0,                  0
1104 - 環泥,114/05/26,113年 年度,股東會確認,1.70000000,0.0,0.0,"      1,167,359,087",0.0,0.0,0.0,                  0
1104 - 環泥,114/05/26,113年 年度,股東會確認,1.70000000,0.0,0.0,"      1,167,359,087",0.0,0.0,0.0,                  0
1104 - 環泥,114/05/26,113年 年度,股東會確認,1.70000000,0.0,0.0,"      1,167,359,087",0.0,0.0,0.0,                  0
1104 - 環泥,114/05/26,113年 年度,股東會確認,1.70000000,0.0,0.0,"      1,167,359,087",0.0,0.0,0.0,                  0
1108 - 幸福,114/06/27,113年 下半年,股東會確認,0.75000000,0.0,0.0,"        303,553,537",0.0,0.0,0.0,                  0
1108 - 幸福,不適用,113年 上半年,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1108 - 幸福,不適用,113年 上半年,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1108 - 幸福,114/06/27,113年 下半年,股東會確認,0.75000000,0.0,0.0,"        303,553,537",0.0,0.0,0.0,                  0
1108 - 幸福,不適用,113年 上半年,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1108 - 幸福,114/06/27,113年 下半年,股東會確認,0.75000000,0.0,0.0,"        303,553,537",0.0,0.0,0.0,                  0
1108 - 幸福,不適用,113年 上半年,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1108 - 幸福,114/06/27,113年 下半年,股東會確認,0.75000000,0.0,0.0,"        303,553,537",0.0,0.0,0.0,                  0
1109 - 信大,114/06/19,113年 年度,股東會確認,0.90000000,0.0,0.0,"        307,042,981",0.0,0.0,0.0,                  0
1109 - 信大,114/06/19,113年 年度,股東會確認,0.90000000,0.0,0.0,"        307,042,981",0.0,0.0,0.0,                  0
1109 - 信大,114/06/19,113年 年度,股東會確認,0.90000000,0.0,0.0,"        307,042,981",0.0,0.0,0.0,                  0
1109 - 信大,114/06/19,113年 年度,股東會確認,0.90000000,0.0,0.0,"        307,042,981",0.0,0.0,0.0,                  0
1110 - 東泥,114/06/13,113年 年度,股東會確認,0.30000000,0.0,0.0,"        171,600,239",0.0,0.0,0.0,                  0
1110 - 東泥,114/06/13,113年 年度,股東會確認,0.30000000,0.0,0.0,"        171,600,239",0.0,0.0,0.0,                  0
1110 - 東泥,114/06/13,113年 年度,股東會確認,0.30000000,0.0,0.0,"        171,600,239",0.0,0.0,0.0,                  0
1110 - 東泥,114/06/13,113年 年度,股東會確認,0.30000000,0.0,0.0,"        171,600,239",0.0,0.0,0.0,                  0
1201 - 味全,不適用,113年 年度,董事會決議,0.50000000,0.0,0.0,"        253,031,457",0.0,0.0,0.0,                  0
1201 - 味全,不適用,113年 年度,董事會決議,0.50000000,0.0,0.0,"        253,031,457",0.0,0.0,0.0,                  0
1201 - 味全,不適用,113年 年度,董事會決議,0.50000000,0.0,0.0,"        253,031,457",0.0,0.0,0.0,                  0
1201 - 味全,不適用,113年 年度,董事會決議,0.50000000,0.0,0.0,"        253,031,457",0.0,0.0,0.0,                  0
1203 - 味王,114/06/25,113年 年度,股東會確認,1.20000000,0.0,0.0,"        288,000,000",0.0,0.0,0.0,                  0
1203 - 味王,114/06/25,113年 年度,股東會確認,1.20000000,0.0,0.0,"        288,000,000",0.0,0.0,0.0,                  0
1203 - 味王,114/06/25,113年 年度,股東會確認,1.20000000,0.0,0.0,"        288,000,000",0.0,0.0,0.0,                  0
1203 - 味王,114/06/25,113年 年度,股東會確認,1.20000000,0.0,0.0,"        288,000,000",0.0,0.0,0.0,                  0
1210 - 大成,不適用,113年 年度,董事會決議,2.82844991,0.0,0.0,"      2,505,348,222",0.0,0.0,0.0,                  0
1210 - 大成,不適用,113年 年度,董事會決議,2.82844991,0.0,0.0,"      2,505,348,222",0.0,0.0,0.0,                  0
1210 - 大成,不適用,113年 年度,董事會決議,2.82844991,0.0,0.0,"      2,505,348,222",0.0,0.0,0.0,                  0
1210 - 大成,不適用,113年 年度,董事會決議,2.82844991,0.0,0.0,"      2,505,348,222",0.0,0.0,0.0,                  0
1213 - 大飲,114/06/11,113年 年度,股東會確認,0.35000000,0.0,0.0,"         19,817,919",0.0,0.0,0.0,                  0
1213 - 大飲,114/06/11,113年 年度,股東會確認,0.35000000,0.0,0.0,"         19,817,919",0.0,0.0,0.0,                  0
1213 - 大飲,114/06/11,113年 年度,股東會確認,0.35000000,0.0,0.0,"         19,817,919",0.0,0.0,0.0,                  0
1213 - 大飲,114/06/11,113年 年度,股東會確認,0.35000000,0.0,0.0,"         19,817,919",0.0,0.0,0.0,                  0
1215 - 卜蜂,不適用,113年 年度,董事會決議,4.50000000,0.0,0.0,"      1,326,555,441",0.0,0.0,0.0,                  0
1215 - 卜蜂,不適用,113年 年度,董事會決議,4.50000000,0.0,0.0,"      1,326,555,441",0.0,0.0,0.0,                  0
1215 - 卜蜂,不適用,113年 年度,董事會決議,4.50000000,0.0,0.0,"      1,326,555,441",0.0,0.0,0.0,                  0
1215 - 卜蜂,不適用,113年 年度,董事會決議,4.50000000,0.0,0.0,"      1,326,555,441",0.0,0.0,0.0,                  0
