公司代號,公司名稱,年度,季別,營業活動之淨現金流入（流出）
1101,台泥,113,Q1,4585075.00
1101,台泥,113,Q3,14478623.00
1101,台泥,113,Q2,10332542.00
1101,台泥,113,Q4,31793945.00
1102,亞泥,113,Q3,19629509.00
1102,亞泥,113,Q2,8852024.00
1102,亞泥,113,Q1,3472042.00
1102,亞泥,113,Q4,24807369.00
1103,嘉泥,113,Q3,184029.00
1103,嘉泥,113,Q2,153284.00
1103,嘉泥,113,Q1,68347.00
1103,嘉泥,113,Q4,410787.00
1104,環泥,113,Q2,568815.00
1104,環泥,113,Q1,282052.00
1104,環泥,113,Q4,1909726.00
1104,環泥,113,Q3,1554757.00
1108,幸福,113,Q4,905051.00
1108,幸福,113,Q2,522419.00
1108,幸福,113,Q3,747632.00
1108,幸福,113,Q1,489316.00
1109,信大,113,Q1,143112.00
1109,信大,113,Q4,403244.00
1109,信大,113,Q2,300036.00
1109,信大,113,Q3,332378.00
1110,東泥,113,Q4,354107.00
1110,東泥,113,Q1,-95431.00
1110,東泥,113,Q2,-77776.00
1110,東泥,113,Q3,336443.00
1201,味全,113,Q2,460240.00
1201,味全,113,Q3,1195390.00
1201,味全,113,Q1,21373.00
1201,味全,113,Q4,1613071.00
1203,味王,113,Q2,325813.00
1203,味王,113,Q4,796598.00
1203,味王,113,Q1,218154.00
1203,味王,113,Q3,468935.00
1210,大成,113,Q4,7913510.00
1210,大成,113,Q3,5216378.00
1210,大成,113,Q1,859641.00
1210,大成,113,Q2,2325423.00
1213,大飲,113,Q1,-44194.00
1213,大飲,113,Q4,-361717.00
1213,大飲,113,Q3,-263343.00
1213,大飲,113,Q2,-75700.00
1215,卜蜂,113,Q4,3355769.00
1215,卜蜂,113,Q2,585162.00
1215,卜蜂,113,Q3,1801816.00
1215,卜蜂,113,Q1,575480.00
1216,統一,113,Q3,57349856.00
1216,統一,113,Q1,8867792.00
1216,統一,113,Q2,31409349.00
1216,統一,113,Q4,78441039.00
1217,愛之味,113,Q3,139126.00
1217,愛之味,113,Q1,-51559.00
1217,愛之味,113,Q4,604753.00
1217,愛之味,113,Q2,-17037.00
1218,泰山,113,Q2,822547.00
1218,泰山,113,Q3,926376.00
1218,泰山,113,Q1,662568.00
1218,泰山,113,Q4,1217485.00
1219,福壽,113,Q2,231940.00
1219,福壽,113,Q3,580455.00
1219,福壽,113,Q1,500973.00
1219,福壽,113,Q4,670615.00
1220,台榮,113,Q4,177602.00
1220,台榮,113,Q3,390136.00
1220,台榮,113,Q1,286433.00
1220,台榮,113,Q2,395344.00
1225,福懋油,113,Q1,405664.00
1225,福懋油,113,Q2,411202.00
1225,福懋油,113,Q4,936185.00
1225,福懋油,113,Q3,787708.00
1227,佳格,113,Q4,3941133.00
1227,佳格,113,Q3,2723521.00
1227,佳格,113,Q1,1172801.00
1227,佳格,113,Q2,1365646.00
1229,聯華,113,Q2,1243871.00
1229,聯華,113,Q3,3558813.00
1229,聯華,113,Q1,756736.00
1229,聯華,113,Q4,4081496.00
1231,聯華食,113,Q2,-13732.00
1231,聯華食,113,Q1,-117303.00
1231,聯華食,113,Q3,75038.00
1231,聯華食,113,Q4,902774.00
1232,大統益,113,Q1,1296549.00
1232,大統益,113,Q2,1413140.00
1232,大統益,113,Q3,1635416.00
1232,大統益,113,Q4,2085645.00
1233,天仁,113,Q1,73154.00
1233,天仁,113,Q4,248283.00
1233,天仁,113,Q2,102435.00
1233,天仁,113,Q3,173854.00
1234,黑松,113,Q4,772271.00
1234,黑松,113,Q3,123081.00
1234,黑松,113,Q2,17813.00
1234,黑松,113,Q1,307736.00
1235,興泰,113,Q4,-27924.00
1235,興泰,113,Q3,6273.00
1235,興泰,113,Q1,-18194.00
1235,興泰,113,Q2,-24465.00
1236,宏亞,113,Q4,3500.00
1236,宏亞,113,Q3,14555.00
1236,宏亞,113,Q1,-33427.00
1236,宏亞,113,Q2,-26657.00
1240,茂生農經,113,Q1,11812.00
1240,茂生農經,113,Q3,90641.00
1240,茂生農經,113,Q2,97598.00
1240,茂生農經,113,Q4,169842.00
1256,鮮活果汁-KY,113,Q3,398314.00
1256,鮮活果汁-KY,113,Q4,554116.00
1256,鮮活果汁-KY,113,Q2,237297.00
1256,鮮活果汁-KY,113,Q1,16197.00
1259,安心,113,Q3,598389.00
1259,安心,113,Q4,776512.00
1259,安心,113,Q2,495968.00
1259,安心,113,Q1,229390.00
1264,德麥,113,Q3,518914.00
1264,德麥,113,Q1,275007.00
1264,德麥,113,Q2,284666.00
1264,德麥,113,Q4,797652.00
1268,漢來美食,113,Q1,224509.00
1268,漢來美食,113,Q2,417318.00
1268,漢來美食,113,Q3,632177.00
1268,漢來美食,113,Q4,1033219.00
1294,漢田生技,113,Q4,150754.00
1294,漢田生技,113,Q1,9286.00
1294,漢田生技,113,Q2,36985.00
1294,漢田生技,113,Q3,68580.00
1295,生合,113,Q4,261536.00
1295,生合,113,Q2,89209.00
1295,生合,113,Q3,175314.00
1301,台塑,113,Q1,-2309665.00
1301,台塑,113,Q2,-8205295.00
1301,台塑,113,Q4,11461388.00
1301,台塑,113,Q3,6676381.00
1303,南亞,113,Q4,18785832.00
1303,南亞,113,Q1,5075245.00
1303,南亞,113,Q3,13409855.00
1303,南亞,113,Q2,3819056.00
1304,台聚,113,Q4,1485528.00
1304,台聚,113,Q3,532824.00
1304,台聚,113,Q2,1114138.00
1304,台聚,113,Q1,-17087.00
1305,華夏,113,Q4,776268.00
1305,華夏,113,Q2,470715.00
1305,華夏,113,Q1,223607.00
1305,華夏,113,Q3,707722.00
1307,三芳,113,Q3,1482163.00
1307,三芳,113,Q2,1038194.00
1307,三芳,113,Q4,2344283.00
1307,三芳,113,Q1,459529.00
1308,亞聚,113,Q3,131761.00
1308,亞聚,113,Q2,122364.00
1308,亞聚,113,Q1,138087.00
1308,亞聚,113,Q4,339577.00
1309,台達化,113,Q4,-661457.00
1309,台達化,113,Q2,13938.00
1309,台達化,113,Q1,-395266.00
1309,台達化,113,Q3,-801509.00
1310,台苯,113,Q3,-387841.00
1310,台苯,113,Q1,128479.00
1310,台苯,113,Q2,-403565.00
1310,台苯,113,Q4,-275319.00
1312,國喬,113,Q3,-2278429.00
1312,國喬,113,Q4,-2161357.00
1312,國喬,113,Q1,-1259086.00
1312,國喬,113,Q2,-2043149.00
1313,聯成,113,Q4,1975764.00
1313,聯成,113,Q3,1002599.00
1313,聯成,113,Q2,-737940.00
1313,聯成,113,Q1,-3324414.00
1314,中石化,113,Q1,-1129775.00
1314,中石化,113,Q2,-3094107.00
1314,中石化,113,Q4,-2019064.00
1314,中石化,113,Q3,-4286751.00
1315,達新,113,Q1,87809.00
1315,達新,113,Q3,247141.00
1315,達新,113,Q4,271545.00
1315,達新,113,Q2,54114.00
1316,上曜,113,Q3,-1989249.00
1316,上曜,113,Q4,-2456716.00
1316,上曜,113,Q2,-464386.00
1316,上曜,113,Q1,-247897.00
1319,東陽,113,Q3,4552633.00
1319,東陽,113,Q1,2016471.00
1319,東陽,113,Q4,7185518.00
1319,東陽,113,Q2,2999014.00
1321,大洋,113,Q3,263759.00
1321,大洋,113,Q1,63726.00
1321,大洋,113,Q2,256589.00
1321,大洋,113,Q4,248318.00
1323,永裕,113,Q4,306272.00
1323,永裕,113,Q3,246768.00
1323,永裕,113,Q1,121025.00
1323,永裕,113,Q2,182754.00
1324,地球,113,Q4,41334.00
1324,地球,113,Q3,8483.00
1324,地球,113,Q1,5537.00
1324,地球,113,Q2,4660.00
1325,恆大,113,Q1,18561.00
1325,恆大,113,Q2,28815.00
1325,恆大,113,Q3,27310.00
1325,恆大,113,Q4,50332.00
1326,台化,113,Q3,8210750.00
