公司代號,公司名稱,年度,季別,營業活動之淨現金流入（流出）
1101,台泥,111,3,3151747.00
1101,台泥,111,4,6180505.00
1101,台泥,111,1,2274524.00
1101,台泥,111,2,1999120.00
1102,亞泥,111,4,15308631.00
1102,亞泥,111,3,12191225.00
1102,亞泥,111,1,703931.00
1102,亞泥,111,2,5677002.00
1103,嘉泥,111,2,-114120.00
1103,嘉泥,111,3,-318007.00
1103,嘉泥,111,1,-66598.00
1103,嘉泥,111,4,-391837.00
1104,環泥,111,2,190093.00
1104,環泥,111,4,1013067.00
1104,環泥,111,1,-31689.00
1104,環泥,111,3,579039.00
1108,幸福,111,4,644673.00
1108,幸福,111,2,410629.00
1108,幸福,111,3,584282.00
1108,幸福,111,1,359686.00
1109,信大,111,3,1506449.00
1109,信大,111,2,1022361.00
1109,信大,111,1,283093.00
1109,信大,111,4,1493858.00
1110,東泥,111,1,17397.00
1110,東泥,111,4,-276638.00
1110,東泥,111,3,-36867.00
1110,東泥,111,2,-5248.00
1201,味全,111,4,848680.00
1201,味全,111,2,-42384.00
1201,味全,111,3,997919.00
1201,味全,111,1,-129471.00
1203,味王,111,3,61453.00
1203,味王,111,4,184910.00
1203,味王,111,1,4701.00
1203,味王,111,2,153224.00
1210,大成,111,1,-1331645.00
1210,大成,111,3,2746589.00
1210,大成,111,2,-1183750.00
1210,大成,111,4,2340094.00
1213,大飲,111,3,7463.00
1213,大飲,111,4,9796.00
1213,大飲,111,2,10586.00
1213,大飲,111,1,8971.00
1215,卜蜂,111,4,1402518.00
1215,卜蜂,111,3,1590758.00
1215,卜蜂,111,1,91384.00
1215,卜蜂,111,2,399536.00
1216,統一,111,2,23189357.00
1216,統一,111,1,2079133.00
1216,統一,111,4,62772368.00
1216,統一,111,3,44183117.00
1217,愛之味,111,4,128573.00
1217,愛之味,111,2,-235370.00
1217,愛之味,111,3,-197471.00
1217,愛之味,111,1,-236851.00
1218,泰山,111,3,-189591.00
1218,泰山,111,2,-100297.00
1218,泰山,111,1,206174.00
1218,泰山,111,4,-430901.00
1219,福壽,111,2,-566475.00
1219,福壽,111,1,155881.00
1219,福壽,111,4,-246026.00
1219,福壽,111,3,-818741.00
1220,台榮,111,4,-103425.00
1220,台榮,111,3,-239773.00
1220,台榮,111,2,8839.00
1220,台榮,111,1,226577.00
1225,福懋油,111,3,-175466.00
1225,福懋油,111,1,299786.00
1225,福懋油,111,2,-186008.00
1225,福懋油,111,4,-537.00
1227,佳格,111,1,83563.00
1227,佳格,111,3,2918891.00
1227,佳格,111,2,478799.00
1227,佳格,111,4,1870846.00
1229,聯華,111,4,3640573.00
1229,聯華,111,1,279417.00
1229,聯華,111,3,3351071.00
1229,聯華,111,2,1044439.00
1231,聯華食,111,1,144159.00
1231,聯華食,111,3,466693.00
1231,聯華食,111,2,388659.00
1231,聯華食,111,4,776644.00
1232,大統益,111,4,324841.00
1232,大統益,111,2,-374455.00
1232,大統益,111,1,-50589.00
1232,大統益,111,3,267774.00
1233,天仁,111,4,202066.00
1233,天仁,111,1,58773.00
1233,天仁,111,2,90708.00
1233,天仁,111,3,147539.00
1234,黑松,111,1,152146.00
1234,黑松,111,2,-141332.00
1234,黑松,111,3,151446.00
1234,黑松,111,4,813242.00
1235,興泰,111,3,737.00
1235,興泰,111,2,-21107.00
1235,興泰,111,1,18531.00
1235,興泰,111,4,-37633.00
1236,宏亞,111,4,151410.00
1236,宏亞,111,2,59224.00
1236,宏亞,111,1,3810.00
1236,宏亞,111,3,92466.00
1240,茂生農經,111,2,-133792.00
1240,茂生農經,111,1,-35747.00
1240,茂生農經,111,4,-92956.00
1240,茂生農經,111,3,-252654.00
1256,鮮活果汁-KY,111,1,50796.00
1256,鮮活果汁-KY,111,4,316626.00
1256,鮮活果汁-KY,111,2,-94122.00
1256,鮮活果汁-KY,111,3,254124.00
1259,安心,111,2,367734.00
1259,安心,111,4,1028016.00
1259,安心,111,1,82508.00
1259,安心,111,3,677021.00
1264,德麥,111,2,205587.00
1264,德麥,111,3,476952.00
1264,德麥,111,1,230284.00
1264,德麥,111,4,611565.00
1268,漢來美食,111,2,-71661.00
1268,漢來美食,111,3,311401.00
1268,漢來美食,111,4,603988.00
1268,漢來美食,111,1,28190.00
1294,漢田生技,111,2,10143.00
1294,漢田生技,111,4,63176.00
1295,生合,111,4,187088.00
1301,台塑,111,1,15448036.00
1301,台塑,111,4,56801615.00
1301,台塑,111,3,51851901.00
1301,台塑,111,2,19862740.00
1303,南亞,111,4,75296335.00
1303,南亞,111,2,25587997.00
1303,南亞,111,1,11384132.00
1303,南亞,111,3,57175436.00
1304,台聚,111,3,7281478.00
1304,台聚,111,4,9749787.00
1304,台聚,111,2,3803720.00
1304,台聚,111,1,3361028.00
1305,華夏,111,4,816378.00
1305,華夏,111,3,775478.00
1305,華夏,111,1,777172.00
1305,華夏,111,2,424567.00
1307,三芳,111,1,-123770.00
1307,三芳,111,2,310153.00
1307,三芳,111,4,1579109.00
1307,三芳,111,3,907125.00
1308,亞聚,111,1,800335.00
1308,亞聚,111,3,2550117.00
1308,亞聚,111,2,1222502.00
1308,亞聚,111,4,3622699.00
1309,台達化,111,2,811627.00
1309,台達化,111,4,1102890.00
1309,台達化,111,3,776945.00
1309,台達化,111,1,446421.00
1310,台苯,111,3,49679.00
1310,台苯,111,2,224434.00
1310,台苯,111,1,-73555.00
1310,台苯,111,4,-8880.00
1312,國喬,111,1,1147035.00
1312,國喬,111,4,2154072.00
1312,國喬,111,2,-361252.00
1312,國喬,111,3,693235.00
1313,聯成,111,1,-3288216.00
1313,聯成,111,4,673203.00
1313,聯成,111,2,-1878214.00
1313,聯成,111,3,336180.00
1314,中石化,111,1,-2533042.00
1314,中石化,111,4,-9213169.00
1314,中石化,111,2,-3238187.00
1314,中石化,111,3,-8669312.00
