公司代號,公司名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,107,2,114/10/29,,57500246.00,41440890.00,2.14
1101,台泥,107,3,114/10/29,,89657354.00,64992780.00,3.35
1101,台泥,107,4,114/10/29,,124594602.00,91003063.00,4.37
1101,台泥,107,1,114/10/29,,24179214.00,18388574.00,0.69
1102,亞泥,107,4,114/10/29,,82741004.00,61584690.00,3.54
1102,亞泥,107,2,114/10/29,,39009089.00,29679533.00,1.98
1102,亞泥,107,3,114/10/29,,60908065.00,45980762.00,2.96
1102,亞泥,107,1,114/10/29,,16573882.00,13244409.00,0.60
1103,嘉泥,107,2,114/10/29,,1000927.00,856092.00,0.62
1103,嘉泥,107,3,114/10/29,,1495207.00,1275757.00,1.37
1103,嘉泥,107,1,114/10/29,,471257.00,416427.00,0.24
1103,嘉泥,107,4,114/10/29,,2092406.00,1803918.00,1.09
1104,環泥,107,1,114/10/29,,1166097.00,1027573.00,0.01
1104,環泥,107,4,114/10/29,,4780994.00,4209912.00,1.62
1104,環泥,107,2,114/10/29,,2314855.00,2049605.00,0.63
1104,環泥,107,3,114/10/29,,3436442.00,3031159.00,1.16
1108,幸福,107,3,114/10/29,,2460423.00,2390823.00,-0.12
1108,幸福,107,1,114/10/29,,832706.00,812140.00,-0.01
1108,幸福,107,4,114/10/29,,3330601.00,3283834.00,-0.44
1108,幸福,107,2,114/10/29,,1684246.00,1621869.00,-0.02
1109,信大,107,2,114/10/29,,2809557.00,1987278.00,0.69
1109,信大,107,1,114/10/29,,1061381.00,820373.00,0.34
1109,信大,107,3,114/10/29,,4717018.00,3276106.00,1.40
1109,信大,107,4,114/10/29,,6701130.00,4517299.00,2.38
1110,東泥,107,1,114/10/29,,412490.00,378033.00,0.03
1110,東泥,107,2,114/10/29,,792194.00,724213.00,0.10
1110,東泥,107,3,114/10/29,,1176164.00,1082054.00,0.16
1110,東泥,107,4,114/10/29,,1676187.00,1531733.00,0.12
1201,味全,107,2,114/10/29,,8828716.00,6163547.00,0.12
1201,味全,107,3,114/10/29,,14509560.00,9939352.00,2.02
1201,味全,107,4,114/10/29,,19436763.00,13398214.00,1.94
1201,味全,107,1,114/10/29,,3917347.00,2812490.00,0.23
1203,味王,107,1,114/10/29,,1447466.00,958988.00,0.31
1203,味王,107,2,114/10/29,,2946087.00,1981033.00,0.86
1203,味王,107,3,114/10/29,,4559801.00,3075011.00,1.44
1203,味王,107,4,114/10/29,,6081031.00,4111026.00,1.82
1210,大成,107,2,114/10/29,,34984170.00,29999438.00,1.64
1210,大成,107,3,114/10/29,,53361441.00,45786356.00,2.12
1210,大成,107,4,114/10/29,,72442933.00,62354838.00,2.75
1210,大成,107,1,114/10/29,,17123119.00,14570928.00,1.16
1213,大飲,107,2,114/10/29,,292227.00,261868.00,0.04
1213,大飲,107,3,114/10/29,,501647.00,457626.00,-0.03
1213,大飲,107,4,114/10/29,,594238.00,540347.00,-1.58
1213,大飲,107,1,114/10/29,,149094.00,133074.00,0.03
1215,卜蜂,107,2,114/10/29,,10220457.00,8870867.00,1.47
1215,卜蜂,107,3,114/10/29,,15807059.00,13756953.00,2.37
1215,卜蜂,107,4,114/10/29,,21235086.00,18377736.00,3.55
1215,卜蜂,107,1,114/10/29,,4957240.00,4224634.00,0.98
1216,統一,107,4,114/10/29,,431445520.00,286160653.00,3.07
1216,統一,107,2,114/10/29,,214645776.00,141454456.00,1.72
1216,統一,107,1,114/10/29,,104288097.00,68859042.00,0.75
1216,統一,107,3,114/10/29,,330258558.00,217638810.00,2.61
1217,愛之味,107,2,114/10/29,,1982512.00,1328101.00,0.00
1217,愛之味,107,1,114/10/29,,1028433.00,702835.00,0.08
1217,愛之味,107,4,114/10/29,,4321819.00,2941256.00,0.10
1217,愛之味,107,3,114/10/29,,3538841.00,2376717.00,0.13
1218,泰山,107,1,114/10/29,,1844853.00,1539634.00,0.19
1218,泰山,107,4,114/10/29,,7901670.00,6468636.00,0.98
1218,泰山,107,3,114/10/29,,6110590.00,4973057.00,0.91
1218,泰山,107,2,114/10/29,,3846852.00,3162170.00,0.47
1219,福壽,107,1,114/10/29,,2880708.00,2596095.00,0.15
1219,福壽,107,4,114/10/29,,11709984.00,10902412.00,-0.03
1219,福壽,107,3,114/10/29,,8713846.00,8102262.00,-0.08
1219,福壽,107,2,114/10/29,,5850333.00,5347619.00,0.26
1220,台榮,107,3,114/10/29,,1945154.00,1698576.00,0.42
1220,台榮,107,4,114/10/29,,2747263.00,2409947.00,0.53
1220,台榮,107,1,114/10/29,,573904.00,507947.00,0.18
1220,台榮,107,2,114/10/29,,1203975.00,1038539.00,0.33
1225,福懋油,107,1,114/10/29,,2794671.00,2543624.00,0.38
1225,福懋油,107,2,114/10/29,,5463107.00,4981929.00,0.72
1225,福懋油,107,3,114/10/29,,8344865.00,7702293.00,0.79
1225,福懋油,107,4,114/10/29,,11243509.00,10332888.00,1.17
1227,佳格,107,1,114/10/29,,7414473.00,5125269.00,0.82
1227,佳格,107,3,114/10/29,,19494272.00,13507897.00,2.40
1227,佳格,107,2,114/10/29,,12421997.00,8742152.00,1.21
1227,佳格,107,4,114/10/29,,27340587.00,19086242.00,3.25
1229,聯華,107,1,114/10/29,,1224453.00,1021008.00,0.57
1229,聯華,107,2,114/10/29,,2488302.00,2078908.00,1.24
1229,聯華,107,3,114/10/29,,3766018.00,3152695.00,1.84
1229,聯華,107,4,114/10/29,,5097818.00,4265761.00,2.35
1231,聯華食,107,4,114/10/29,,8116880.00,6338806.00,3.26
1231,聯華食,107,2,114/10/29,,3767881.00,2996087.00,1.27
1231,聯華食,107,1,114/10/29,,2016950.00,1557862.00,0.84
1231,聯華食,107,3,114/10/29,,5993552.00,4710790.00,2.22
1232,大統益,107,4,114/10/29,,16948746.00,15091718.00,5.67
1232,大統益,107,2,114/10/29,,8382090.00,7492684.00,2.69
1232,大統益,107,3,114/10/29,,12555938.00,11249187.00,3.90
1232,大統益,107,1,114/10/29,,4117718.00,3688378.00,1.23
1233,天仁,107,1,114/10/29,,553440.00,231843.00,0.43
1233,天仁,107,4,114/10/29,,2193118.00,936979.00,1.93
1233,天仁,107,2,114/10/29,,1086757.00,457461.00,1.04
1233,天仁,107,3,114/10/29,,1649459.00,702004.00,1.56
1234,黑松,107,3,114/10/29,,7003696.00,5130554.00,1.43
1234,黑松,107,1,114/10/29,,2316158.00,1841778.00,0.30
1234,黑松,107,4,114/10/29,,8901634.00,6783973.00,1.73
1234,黑松,107,2,114/10/29,,4454176.00,3374339.00,0.72
1235,興泰,107,4,114/10/29,,57652.00,30891.00,1.25
1235,興泰,107,1,114/10/29,,6033.00,6654.00,0.15
1235,興泰,107,3,114/10/29,,50030.00,22911.00,1.80
1235,興泰,107,2,114/10/29,,13381.00,13454.00,0.33
1236,宏亞,107,3,114/10/29,,1410715.00,1072189.00,-0.33
1236,宏亞,107,2,114/10/29,,898907.00,679554.00,-0.16
1236,宏亞,107,1,114/10/29,,571543.00,410383.00,0.31
1236,宏亞,107,4,114/10/29,,1972592.00,1445695.00,0.12
1240,茂生農經,107,4,114/10/29,,1488400.00,1323303.00,3.20
