公司代號,公司名稱,年度,季別,營業活動之淨現金流入（流出）
1101,台泥,112,Q1,7958319.00
1101,台泥,112,Q4,33751150.00
1101,台泥,112,Q2,13390966.00
1101,台泥,112,Q3,19954188.00
1102,亞泥,112,Q1,-7199889.00
1102,亞泥,112,Q4,7269416.00
1102,亞泥,112,Q3,3933530.00
1102,亞泥,112,Q2,-4658994.00
1103,嘉泥,112,Q4,-75003.00
1103,嘉泥,112,Q3,-159141.00
1103,嘉泥,112,Q1,62488.00
1103,嘉泥,112,Q2,-43791.00
1104,環泥,112,Q3,1340510.00
1104,環泥,112,Q4,1548901.00
1104,環泥,112,Q2,536023.00
1104,環泥,112,Q1,127345.00
1108,幸福,112,Q1,144924.00
1108,幸福,112,Q3,498511.00
1108,幸福,112,Q2,365621.00
1108,幸福,112,Q4,645226.00
1109,信大,112,Q1,-41000.00
1109,信大,112,Q3,247885.00
1109,信大,112,Q4,714733.00
1109,信大,112,Q2,109192.00
1110,東泥,112,Q1,138142.00
1110,東泥,112,Q3,243086.00
1110,東泥,112,Q2,166821.00
1110,東泥,112,Q4,275853.00
1201,味全,112,Q4,1617837.00
1201,味全,112,Q1,23261.00
1201,味全,112,Q2,499115.00
1201,味全,112,Q3,1077379.00
1203,味王,112,Q4,1314630.00
1203,味王,112,Q2,401527.00
1203,味王,112,Q3,771285.00
1203,味王,112,Q1,225894.00
1210,大成,112,Q2,4609612.00
1210,大成,112,Q4,9768056.00
1210,大成,112,Q1,2889937.00
1210,大成,112,Q3,6151087.00
1213,大飲,112,Q4,-79026.00
1213,大飲,112,Q2,11987.00
1213,大飲,112,Q1,9712.00
1213,大飲,112,Q3,-32191.00
1215,卜蜂,112,Q2,2463145.00
1215,卜蜂,112,Q1,1408581.00
1215,卜蜂,112,Q4,4140610.00
1215,卜蜂,112,Q3,3220066.00
1216,統一,112,Q4,73132220.00
1216,統一,112,Q2,22777607.00
1216,統一,112,Q1,2971311.00
1216,統一,112,Q3,56720124.00
1217,愛之味,112,Q4,433304.00
1217,愛之味,112,Q3,48838.00
1217,愛之味,112,Q1,-145385.00
1217,愛之味,112,Q2,-146314.00
1218,泰山,112,Q2,-598101.00
1218,泰山,112,Q4,-929924.00
1218,泰山,112,Q3,-1002973.00
1218,泰山,112,Q1,487128.00
1219,福壽,112,Q4,513319.00
