公司代號,公司名稱,年度,季別,歸屬於母公司業主之權益合計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1101,台泥,109,3,193402598.00,,,114553490.00,,70382185.00,101450266.00,14170999.00,32.61
1101,台泥,109,2,183053121.00,,,125133183.00,,85597499.00,102441359.00,13408113.00,32.38
1101,台泥,109,4,204071817.00,,,124309171.00,,72103708.00,98572475.00,14758236.00,34.41
1101,台泥,109,1,192194758.00,,,98082786.00,,64175520.00,87724983.00,15143365.00,33.97
1102,亞泥,109,3,142453322.00,,,93073533.00,,71967060.00,63410573.00,24239119.00,42.38
1102,亞泥,109,4,147768559.00,,,87023947.00,,64027610.00,63172293.00,22118393.00,43.96
1102,亞泥,109,1,142181843.00,,,98316766.00,,71388811.00,66217729.00,23650529.00,42.30
1102,亞泥,109,2,136871438.00,,,92590336.00,,75561022.00,61188288.00,22647355.00,40.72
1103,嘉泥,109,1,21131241.00,,,10260082.00,,3786079.00,11341404.00,805971.00,32.82
1103,嘉泥,109,4,24182147.00,,,11726520.00,,3042465.00,12586413.00,835202.00,37.61
1103,嘉泥,109,2,21384343.00,,,10357336.00,,3843033.00,11812675.00,765467.00,33.26
1103,嘉泥,109,3,22282679.00,,,10184627.00,,2778787.00,11831242.00,804581.00,34.66
1104,環泥,109,1,17551373.00,,,3673613.00,,3685145.00,1434096.00,121542.00,26.85
1104,環泥,109,3,17794811.00,,,4107669.00,,3795747.00,1413468.00,127788.00,27.23
1104,環泥,109,4,18656227.00,,,4391640.00,,3795424.00,1522159.00,129126.00,28.54
1104,環泥,109,2,17369111.00,,,4548713.00,,4345181.00,1423992.00,125041.00,26.57
1108,幸福,109,1,4343803.00,,,5278940.00,,1863513.00,1295813.00,77.00,10.73
1108,幸福,109,2,4483927.00,,,5153046.00,,1786346.00,1292569.00,77.00,11.08
1108,幸福,109,4,4656845.00,,,5259278.00,,2151262.00,1219126.00,74.00,11.51
1108,幸福,109,3,4579782.00,,,5190702.00,,1977994.00,1315534.00,74.00,11.32
1109,信大,109,4,7497866.00,,,6572996.00,,2162621.00,107416.00,2043150.00,21.93
1109,信大,109,1,6871051.00,,,5207386.00,,1515206.00,329147.00,1838377.00,20.09
1109,信大,109,3,7003706.00,,,5542237.00,,1796362.00,189610.00,1822712.00,20.48
1109,信大,109,2,6678279.00,,,5343616.00,,1999831.00,246282.00,1687684.00,19.53
1110,東泥,109,3,8420046.00,,,1803988.00,,530789.00,605236.00,60810.00,14.77
