公司代號,公司名稱,年度,季別,出表日期,淨利（損）歸屬於母公司業主,營業收入,營業成本,基本每股盈餘（元）
1101,台泥,113,3,114/10/29,,105588489.00,84276541.00,0.93
1101,台泥,113,2,114/10/29,,64513447.00,53170416.00,0.51
1101,台泥,113,1,114/10/29,,25544599.00,21657138.00,0.26
1101,台泥,113,4,114/10/29,,154606511.00,121878486.00,1.45
1102,亞泥,113,1,114/10/29,,16499750.00,14742676.00,0.89
1102,亞泥,113,4,114/10/29,,76297459.00,65190325.00,3.86
1102,亞泥,113,2,114/10/29,,35484522.00,30873861.00,2.16
1102,亞泥,113,3,114/10/29,,55437725.00,48018509.00,2.72
1103,嘉泥,113,4,114/10/29,,2985357.00,2550390.00,0.48
1103,嘉泥,113,1,114/10/29,,699142.00,594879.00,-0.06
1103,嘉泥,113,3,114/10/29,,2213179.00,1862363.00,0.79
1103,嘉泥,113,2,114/10/29,,1437444.00,1213991.00,0.05
1104,環泥,113,3,114/10/29,,5873438.00,4710193.00,1.61
1104,環泥,113,4,114/10/29,,7953734.00,6355678.00,2.16
1104,環泥,113,1,114/10/29,,1908572.00,1525149.00,0.37
1104,環泥,113,2,114/10/29,,4000652.00,3183420.00,0.92
1108,幸福,113,4,114/10/29,,4867094.00,3939390.00,1.22
1108,幸福,113,1,114/10/29,,1192968.00,967758.00,0.30
1108,幸福,113,2,114/10/29,,2410081.00,1932515.00,0.63
1108,幸福,113,3,114/10/29,,3554781.00,2886591.00,0.90
1109,信大,113,2,114/10/29,,2473105.00,1924825.00,0.90
1109,信大,113,3,114/10/29,,3532176.00,2799499.00,1.08
1109,信大,113,4,114/10/29,,4656290.00,3664642.00,1.38
1109,信大,113,1,114/10/29,,1097070.00,887220.00,0.35
1110,東泥,113,3,114/10/29,,2072159.00,1686064.00,0.50
1110,東泥,113,2,114/10/29,,1181516.00,986410.00,0.15
1110,東泥,113,1,114/10/29,,576896.00,478917.00,0.05
1110,東泥,113,4,114/10/29,,2872958.00,2349919.00,0.61
1201,味全,113,2,114/10/29,,11240318.00,8121489.00,0.46
1201,味全,113,4,114/10/29,,23473804.00,17050563.00,0.87
1201,味全,113,1,114/10/29,,5334450.00,3850093.00,0.26
1201,味全,113,3,114/10/29,,17746414.00,12843818.00,0.74
1203,味王,113,3,114/10/29,,4524638.00,3029569.00,1.58
1203,味王,113,1,114/10/29,,1557822.00,1026121.00,0.64
1203,味王,113,4,114/10/29,,6287463.00,4163195.00,2.36
1203,味王,113,2,114/10/29,,3080915.00,2036098.00,1.14
1210,大成,113,4,114/10/29,,102749063.00,87948997.00,4.21
1210,大成,113,1,114/10/29,,25249608.00,21653587.00,1.00
1210,大成,113,3,114/10/29,,76102717.00,65230479.00,2.94
1210,大成,113,2,114/10/29,,50244551.00,43077715.00,1.94
1213,大飲,113,2,114/10/29,,75252.00,102272.00,-0.43
1213,大飲,113,3,114/10/29,,138932.00,168383.00,-0.75
1213,大飲,113,1,114/10/29,,33348.00,50113.00,-0.43
1213,大飲,113,4,114/10/29,,190548.00,233019.00,8.71
1215,卜蜂,113,2,114/10/29,,13617092.00,11465742.00,2.53
1215,卜蜂,113,1,114/10/29,,6912107.00,5822404.00,1.25
1215,卜蜂,113,3,114/10/29,,20631062.00,17441655.00,4.27
1215,卜蜂,113,4,114/10/29,,27957258.00,23360580.00,6.55
1216,統一,113,3,114/10/29,,499797980.00,334562680.00,3.09
1216,統一,113,1,114/10/29,,158756079.00,107038579.00,0.97
1216,統一,113,4,114/10/29,,657636534.00,442507068.00,3.64
1216,統一,113,2,114/10/29,,320876218.00,214675967.00,2.01
1217,愛之味,113,4,114/10/29,,5115585.00,3663059.00,0.58
