公司代號名稱,股東會日期,股利所屬年(季)度,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1101B - 台泥乙特,110/06/11,109年 年度,109/01/01~109/12/31,股東會確認,1.75000000,0.0,0.0,"        350,000,000",0.0,0.0,0.0,                  0
1101B - 台泥乙特,110/06/11,109年 年度,109/01/01~109/12/31,股東會確認,1.75000000,0.0,0.0,"        350,000,000",0.0,0.0,0.0,                  0
1101 - 台泥,110/06/11,109年 年度,109/01/01~109/12/31,股東會確認,3.50000000,0.0,0.0,"     20,594,434,165",0.0,0.0,0.0,                  0
1101 - 台泥,110/06/11,109年 年度,109/01/01~109/12/31,股東會確認,3.50000000,0.0,0.0,"     20,594,434,165",0.0,0.0,0.0,                  0
1101B - 台泥乙特,110/06/11,109年 年度,109/01/01~109/12/31,股東會確認,1.75000000,0.0,0.0,"        350,000,000",0.0,0.0,0.0,                  0
1101 - 台泥,110/06/11,109年 年度,109/01/01~109/12/31,股東會確認,3.50000000,0.0,0.0,"     20,594,434,165",0.0,0.0,0.0,                  0
1102 - 亞泥,110/06/25,109年 年度,109/01/01~109/12/31,股東會確認,3.55000000,0.0,0.0,"     11,933,137,553",0.0,0.0,0.0,                  0
1102 - 亞泥,110/06/25,109年 年度,109/01/01~109/12/31,股東會確認,3.55000000,0.0,0.0,"     11,933,137,553",0.0,0.0,0.0,                  0
1102 - 亞泥,110/06/25,109年 年度,109/01/01~109/12/31,股東會確認,3.55000000,0.0,0.0,"     11,933,137,553",0.0,0.0,0.0,                  0
1103 - 嘉泥,110/06/17,109年 年度,109/01/01~109/12/31,股東會確認,1.40000000,0.0,0.0,"      1,079,560,367",0.0,0.0,0.0,                  0
1103 - 嘉泥,110/06/17,109年 年度,109/01/01~109/12/31,股東會確認,1.40000000,0.0,0.0,"      1,079,560,367",0.0,0.0,0.0,                  0
1103 - 嘉泥,110/06/17,109年 年度,109/01/01~109/12/31,股東會確認,1.40000000,0.0,0.0,"      1,079,560,367",0.0,0.0,0.0,                  0
1104 - 環泥,110/06/28,109年 年度,109/01/01~109/12/31,股東會確認,1.10000000,0.0,0.0,"        718,970,111",0.0,0.0,0.0,                  0
1104 - 環泥,110/06/28,109年 年度,109/01/01~109/12/31,股東會確認,1.10000000,0.0,0.0,"        718,970,111",0.0,0.0,0.0,                  0
1104 - 環泥,110/06/28,109年 年度,109/01/01~109/12/31,股東會確認,1.10000000,0.0,0.0,"        718,970,111",0.0,0.0,0.0,                  0
1108 - 幸福,110/06/16,109年 下半年,109/07/01~109/12/31,股東會確認,0.70000000,0.0,0.0,"        283,316,634",0.0,0.0,0.0,                  0
1108 - 幸福,110/06/16,109年 下半年,109/07/01~109/12/31,股東會確認,0.70000000,0.0,0.0,"        283,316,634",0.0,0.0,0.0,                  0
1108 - 幸福,不適用,109年 上半年,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1108 - 幸福,110/06/16,109年 下半年,109/07/01~109/12/31,股東會確認,0.70000000,0.0,0.0,"        283,316,634",0.0,0.0,0.0,                  0
1108 - 幸福,不適用,109年 上半年,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1108 - 幸福,不適用,109年 上半年,109/01/01~109/06/30,董事會決議,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1109 - 信大,110/06/24,109年 年度,109/01/01~109/12/31,股東會確認,1.50000000,0.0,0.0,"        512,936,802",0.0,0.0,0.0,                  0
1109 - 信大,110/06/24,109年 年度,109/01/01~109/12/31,股東會確認,1.50000000,0.0,0.0,"        512,936,802",0.0,0.0,0.0,                  0
1109 - 信大,110/06/24,109年 年度,109/01/01~109/12/31,股東會確認,1.50000000,0.0,0.0,"        512,936,802",0.0,0.0,0.0,                  0
1110 - 東泥,110/06/25,109年 年度,109/01/01~109/12/31,股東會確認,0.10000000,0.0,0.0,"         57,200,079",0.0,0.0,0.0,                  0
1110 - 東泥,110/06/25,109年 年度,109/01/01~109/12/31,股東會確認,0.10000000,0.0,0.0,"         57,200,079",0.0,0.0,0.0,                  0
1110 - 東泥,110/06/25,109年 年度,109/01/01~109/12/31,股東會確認,0.10000000,0.0,0.0,"         57,200,079",0.0,0.0,0.0,                  0
1201 - 味全,不適用,109年 年度,109/01/01~109/12/31,董事會決議,0.53000000,0.0,0.0,"        268,213,344",0.0,0.0,0.0,                  0
1201 - 味全,不適用,109年 年度,109/01/01~109/12/31,董事會決議,0.53000000,0.0,0.0,"        268,213,344",0.0,0.0,0.0,                  0
1201 - 味全,不適用,109年 年度,109/01/01~109/12/31,董事會決議,0.53000000,0.0,0.0,"        268,213,344",0.0,0.0,0.0,                  0
1203 - 味王,110/06/23,109年 年度,109/01/01~109/12/31,股東會確認,1.10000000,0.0,0.0,"        264,000,000",0.0,0.0,0.0,                  0
1203 - 味王,110/06/23,109年 年度,109/01/01~109/12/31,股東會確認,1.10000000,0.0,0.0,"        264,000,000",0.0,0.0,0.0,                  0
1203 - 味王,110/06/23,109年 年度,109/01/01~109/12/31,股東會確認,1.10000000,0.0,0.0,"        264,000,000",0.0,0.0,0.0,                  0
1210 - 大成,110/06/11,109年 年度,109/01/01~109/12/31,現金股利經董事會決議、增資配股經股東會確認,2.70000000,0.0,0.0,"      2,233,815,532",0.30000000,0.0,0.0,"         24,820,173"
1210 - 大成,110/06/11,109年 年度,109/01/01~109/12/31,現金股利經董事會決議、增資配股經股東會確認,2.70000000,0.0,0.0,"      2,233,815,532",0.30000000,0.0,0.0,"         24,820,173"
1210 - 大成,110/06/11,109年 年度,109/01/01~109/12/31,現金股利經董事會決議、增資配股經股東會確認,2.70000000,0.0,0.0,"      2,233,815,532",0.30000000,0.0,0.0,"         24,820,173"
1213 - 大飲,110/06/07,109年 年度,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1213 - 大飲,110/06/07,109年 年度,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1213 - 大飲,110/06/07,109年 年度,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,                  0,0.0,0.0,0.0,                  0
1215 - 卜蜂,不適用,109年 年度,109/01/01~109/12/31,董事會決議,4.50000000,0.0,0.0,"      1,205,959,491",0.0,0.0,0.0,                  0
1215 - 卜蜂,不適用,109年 年度,109/01/01~109/12/31,董事會決議,4.50000000,0.0,0.0,"      1,205,959,491",0.0,0.0,0.0,                  0
1215 - 卜蜂,不適用,109年 年度,109/01/01~109/12/31,董事會決議,4.50000000,0.0,0.0,"      1,205,959,491",0.0,0.0,0.0,                  0
1216 - 統一,110/06/23,109年 年度,109/01/01~109/12/31,股東會確認,2.70000000,0.0,0.0,"     15,341,441,637",0.0,0.0,0.0,                  0
1216 - 統一,110/06/23,109年 年度,109/01/01~109/12/31,股東會確認,2.70000000,0.0,0.0,"     15,341,441,637",0.0,0.0,0.0,                  0
