公司代號,公司名稱,年度,季別,歸屬於母公司業主之權益合計,不動產及設備－淨額,無形資產－淨額,流動資產,資產總額,流動負債,非流動負債,非控制權益,每股參考淨值
1101,台泥,113,2,239362656.00,,,171878544.00,,92784347.00,193528227.00,57825050.00,30.96
1101,台泥,113,4,248097494.00,,,173380580.00,,86373382.00,199132001.00,59810770.00,32.09
1101,台泥,113,3,246909945.00,,,171245549.00,,85893664.00,197210153.00,56473777.00,31.94
1101,台泥,113,1,238925148.00,,,176118197.00,,83624804.00,188434804.00,57002207.00,30.90
1102,亞泥,113,4,181347447.00,,,116609749.00,,79652998.00,47322542.00,23504237.00,51.13
1102,亞泥,113,3,177752368.00,,,113444327.00,,77548186.00,50505442.00,22985601.00,50.12
1102,亞泥,113,1,170738338.00,,,126200652.00,,88921160.00,61862679.00,23453981.00,48.14
1102,亞泥,113,2,177784409.00,,,124423684.00,,84680479.00,56375010.00,23210205.00,50.13
1103,嘉泥,113,3,21712094.00,,,10246779.00,,2454258.00,11091088.00,746040.00,32.88
1103,嘉泥,113,2,21342019.00,,,10827742.00,,3473125.00,10758395.00,728449.00,32.39
1103,嘉泥,113,1,20862006.00,,,10562877.00,,2861263.00,11141016.00,703589.00,31.66
1103,嘉泥,113,4,20881663.00,,,9848540.00,,2925659.00,10562664.00,708094.00,31.62
1104,環泥,113,1,22760563.00,,,6635033.00,,3607841.00,1418554.00,786501.00,33.81
1104,環泥,113,3,23286571.00,,,6680330.00,,3625437.00,1387663.00,774949.00,33.91
1104,環泥,113,4,23656756.00,,,7179390.00,,3799190.00,1372753.00,798807.00,34.45
1104,環泥,113,2,22502461.00,,,7415382.00,,4558247.00,1398487.00,770448.00,33.43
1108,幸福,113,2,4926373.00,,,5854257.00,,3958201.00,1150623.00,67.00,12.17
1108,幸福,113,1,4780856.00,,,5802834.00,,3680966.00,1417812.00,67.00,11.81
1108,幸福,113,3,5040085.00,,,5810858.00,,4034244.00,1026119.00,67.00,12.45
1108,幸福,113,4,5185678.00,,,5998794.00,,4163555.00,1081968.00,66.00,12.81
