出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","109","1","2801","彰銀","25408212.00","183025594.00","19465542.00","106589160.00","294019978.00","301740.00","--","20149569.00","422411.00","--","--","1469115330.00","--","--","33282035.00","20672125.00","1669633.00","13871055.00","674630.00","3040062.00","1888228.00","2193595304.00","120632875.00","--","2536673.00","--","1830657.00","23286095.00","777489.00","--","1805746515.00","55577340.00","--","--","3517721.00","5229013.00","1476145.00","7985798.00","2857708.00","2031454029.00","99853111.00","--","60998439.00","1289725.00","0.00","162141275.00","--","--","--","162141275.00","--","0.00","0.00","16.24"
"114/10/29","109","1","2812","台中銀","9372078.00","35952725.00","21960739.00","33176656.00","109303636.00","--","11516062.00","13069871.00","3279.00","--","--","437724569.00","153546.00","492553.00","2246.00","10737141.00","829747.00","18080.00","157832.00","810706.00","2324937.00","687606403.00","6930567.00","5615044.00","387676.00","--","11368863.00","5829957.00","570886.00","--","586072481.00","14000000.00","--","--","1437697.00","1363794.00","847667.00","111021.00","920833.00","635456486.00","37088349.00","726981.00","13519679.00","814908.00","0.00","52149917.00","0.00","--","0.00","52149917.00","0.00","0.00","0.00","14.06"
"114/10/29","109","1","2820","華票","259092.00","302540.00","90439354.00","99090609.00","--","--","748000.00","1085533.00","308184.00","--","--","--","--","--","713320.00","158599.00","3980.00","--","--","150434.00","48922.00","193308567.00","14855712.00","--","22377.00","--","151680324.00","505689.00","47877.00","--","--","--","--","--","0.00","1395327.00","4021.00","13238.00","859031.00","169383596.00","13429600.00","9028.00","10157462.00","328881.00","--","--","--","--","--","23924971.00","0.00","0.00","0.00","17.82"
"114/10/29","109","1","2834","臺企銀","28746480.00","79728337.00","18021541.00","103162480.00","244137680.00","--","1680280.00","29648375.00","4364.00","--","--","1138944246.00","--","--","18608.00","14438253.00","995877.00","--","345974.00","1722737.00","4656575.00","1666251807.00","109947252.00","658040.00","9630394.00","--","1256932.00","33655585.00","418639.00","--","1342424222.00","58250000.00","--","--","6253179.00","3153451.00","973385.00","881326.00","3266413.00","1570768818.00","71319842.00","815900.00","20975416.00","2371831.00","0.00","95482989.00","0.00","--","0.00","95482989.00","0.00","0.00","0.00","13.39"
"114/10/29","109","1","2836","高雄銀","2520415.00","11659914.00","386152.00","17819691.00","48146223.00","--","3452734.00","1608017.00","26822.00","--","--","173971281.00","--","--","227704.00","2923840.00","299062.00","--","121020.00","175551.00","348204.00","263686630.00","8592824.00","--","80966.00","--","7613722.00","3359444.00","18116.00","--","220540239.00","7500000.00","--","--","150.00","380660.00","312241.00","--","103029.00","248501391.00","10809165.00","1242676.00","3227902.00","-94504.00","--","--","--","--","--","15185239.00","--","0.00","0.00","14.05"
"114/10/29","109","1","2838","聯邦銀","9053553.00","24525844.00","37342940.00","41627250.00","104004527.00","--","57608078.00","20068813.00","91196.00","--","--","386791346.00","1579333.00","--","4116577.00","7973855.00","1364329.00","5377468.00","2130358.00","648932.00","9576196.00","713880595.00","24350662.00","--","321656.00","--","64748682.00","4407282.00","543617.00","--","542728395.00","10200000.00","1484243.00","--","5002898.00","318581.00","1342229.00","1404122.00","3346276.00","660198643.00","30844553.00","8035484.00","12587052.00","2213322.00","--","53680411.00","--","--","1541.00","53681952.00","--","0.00","0.00","17.40"
"114/10/29","109","1","2845","遠東銀","13621864.00","30170350.00","48675304.00","135354696.00","2558531.00","--","12069271.00","20138326.00","--","--","--","399693056.00","1822960.00","--","7797544.00","2946359.00","973168.00","--","1667748.00","315856.00","279791.00","678084824.00","11942554.00","--","5450798.00","--","10533837.00","13830548.00","370313.00","--","542827049.00","25001900.00","--","--","17850141.00","1193968.00","979486.00","--","653215.00","630633809.00","33558193.00","456426.00","13104260.00","332136.00","--","47451015.00","--","--","--","47451015.00","--","0.00","0.00","14.14"
"114/10/29","109","1","2849","安泰銀","2418814.00","13726694.00","13793870.00","38460162.00","35059704.00","--","2354306.00","4685599.00","56001.00","--","--","197522885.00","--","--","0.00","684436.00","696199.00","--","191347.00","582427.00","1990023.00","312222467.00","6268926.00","--","1283023.00","--","1804720.00","2085247.00","85916.00","--","260883450.00","--","--","144181.00","3931974.00","475838.00","709951.00","35075.00","82586.00","277790887.00","19579101.00","404990.00","13930484.00","517005.00","0.00","--","--","--","--","34431580.00","0.00","0.00","0.00","17.59"
"114/10/29","109","1","2897","王道銀行","5465661.00","22236319.00","156817349.00","148416400.00","0.00","--","748000.00","15135872.00","439455.00","--","--","200117346.00","--","--","1936535.00","2829375.00","468478.00","--","2285938.00","812454.00","907728.00","558616910.00","45472746.00","--","447785.00","--","154382338.00","2802811.00","122933.00","--","268133219.00","18700000.00","--","--","12790052.00","1949496.00","483332.00","432724.00","2638003.00","508355439.00","27130063.00","10574.00","6257714.00","-745379.00","-10704.00","32642268.00","--","--","17619203.00","50261471.00","--","1650000.00","0.00","12.04"
"114/10/29","109","1","5876","上海商銀","52694761.00","226288118.00","13386896.00","504801853.00","104996876.00","--","3024803.00","17280107.00","109219.00","--","--","1131513326.00","1893889.00","--","2126379.00","21384272.00","2483058.00","5762314.00","1800874.00","1130912.00","3970419.00","2094648076.00","74237890.00","--","5917520.00","--","11721506.00","28741948.00","1841323.00","--","1660448844.00","83366856.00","--","--","4626868.00","2444352.00","2559923.00","9813463.00","3727557.00","1889448050.00","44816031.00","16432561.00","88626897.00","4233789.00","-83144.00","154026134.00","--","--","51173892.00","205200026.00","--","11397439.00","0.00","34.46"
